InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.404%,20110,890
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.012%,43,480
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,0.922%,4847,200
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,12,124
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.046%,1166,85
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.004%,255,70
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.026%,2446,10
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.157%,6741,2
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,4,0
2-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.427%
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,97.992%,26520,890
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.021%,139,480
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.249%,7860,200
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,5,124
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.129%,2736,85
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.007%,540,70
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.022%,618,10
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.029%,1046,2
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,5,0
6-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.551%
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,97.978%,25610,890
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.014%,165,480
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.271%,8008,200
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,8,124
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.122%,2542,85
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.008%,518,70
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.010%,624,10
2-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.045%,1771,2
