"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:23:54:889","139891896862730","   1.000","  55.354"," 3595"," 1200"," 4100"," 4699","  54.746","  54.750","  15.208","  52.191","  52.195","  14.499"," 70","0"," 53"," 75","   2.086","   2.086","   0.580","  45.000","    0","    0"
"02:23:55:897","139894219738916","   2.008","  65.136"," 3686"," 3400"," 4200"," 4800","  65.250"," 120.534","  33.482","  62.662"," 115.370","  32.047"," 72","0"," 59"," 77","   2.126","   4.230","   1.175","  45.000","  350","  333"
"02:23:56:906","139896543638076","   3.017","  71.848"," 3370"," 2800"," 3600"," 4800","  52.648"," 173.637","  48.232","  49.576"," 165.375","  45.937"," 71","0"," 60"," 75","   2.764","   7.017","   1.949","  45.000","  350","  333"
"02:23:57:907","139898849314222","   4.018","  59.119"," 3127"," 1200"," 3700"," 4795","  43.274"," 216.942","  60.262","  38.796"," 204.199","  56.722"," 69","0"," 60"," 74","   2.869","   9.888","   2.747","  45.000","    0","    0"
"02:23:58:914","139901169705788","   5.025","  30.769"," 2714"," 1200"," 4100"," 3244","  21.074"," 238.166","  66.157","  19.045"," 223.379","  62.050"," 72","0"," 56"," 73","   1.348","  11.246","   3.124","  45.000","  600","  633"
"02:23:59:919","139903486303420","   6.030","  45.161"," 3553"," 1200"," 4100"," 4459","  43.662"," 282.066","  78.352","  40.283"," 263.882","  73.301"," 61","0"," 58"," 77","   2.494","  13.754","   3.821","  45.000","    0","    0"
"02:24:00:929","139905813154530","   7.040","  45.637"," 2686"," 1200"," 4300"," 4248","  22.655"," 304.945","  84.707","  19.349"," 283.423","  78.729"," 67","0"," 57"," 71","   2.107","  15.882","   4.412","  45.000","  800","  800"
"02:24:01:937","139908135832174","   8.048","  48.997"," 3114"," 2600"," 4300"," 4800","  38.003"," 343.257","  95.349","  34.487"," 318.189","  88.386"," 78","0"," 61"," 79","   2.333","  18.234","   5.065","  45.000","    0","    0"
"02:24:02:940","139910446923160","   9.051","  39.240"," 3689"," 1200"," 4300"," 4641","  47.325"," 390.728"," 108.536","  45.562"," 363.891"," 101.081"," 72","0"," 62"," 83","   1.581","  19.819","   5.505","  45.000","    0","    0"
"02:24:03:949","139912770787964","  10.060","  37.259"," 3547"," 1200"," 4100"," 4689","  45.486"," 436.606"," 121.279","  43.369"," 407.635"," 113.232"," 74","0"," 63"," 83","   1.777","  21.611","   6.003","  45.000","  400","  400"
"02:24:04:952","139915082118152","  11.063","  74.109"," 2789"," 2300"," 3500"," 4800","  40.896"," 477.632"," 132.676","  30.965"," 438.698"," 121.860"," 70","0"," 65"," 76","   3.582","  25.205","   7.001","  45.000"," 1150"," 1200"
"02:24:05:962","139917408348546","  12.073","  36.207"," 3100"," 1200"," 4300"," 4479","  33.990"," 511.950"," 142.208","  29.802"," 468.787"," 130.219"," 69","0"," 61"," 77","   2.087","  27.313","   7.587","  45.000","  850","  833"
"02:24:06:969","139919729434982","  13.080","  45.812"," 2581"," 1200"," 3600"," 4569","  29.173"," 541.340"," 150.372","  20.844"," 489.786"," 136.052"," 67","0"," 62"," 71","   2.677","  30.009","   8.336","  45.000","  800","  800"
"02:24:07:975","139922046343012","  14.086","  25.373"," 2826"," 1200"," 4300"," 3344","  23.118"," 564.588"," 156.830","  20.487"," 510.387"," 141.774"," 70","0"," 61"," 80","   1.456","  31.473","   8.742","  45.000","    0","    0"
"02:24:08:985","139924372969862","  15.096","  40.731"," 3017"," 1200"," 4300"," 4596","  37.459"," 602.414"," 167.337","  31.413"," 542.109"," 150.586"," 71","0"," 63"," 77","   2.555","  34.053","   9.459","  45.000"," 1100","    0"
"02:24:09:986","139926678942536","  16.096","  17.227"," 3230"," 1200"," 4300"," 4065","  22.536"," 624.970"," 173.603","  19.730"," 561.856"," 156.071"," 70","0"," 62"," 79","   1.462","  35.515","   9.865","  45.000","  700","  700"
"02:24:10:989","139928991044402","  17.100","  23.546"," 3132"," 1200"," 4000"," 4190","  23.452"," 648.505"," 180.140","  20.148"," 582.075"," 161.688"," 73","0"," 62"," 79","   1.738","  37.260","  10.350","  45.000","  600","  600"
"02:24:11:996","139931311298066","  18.107","  24.397"," 3026"," 1200"," 4000"," 3838","  25.367"," 674.051"," 187.236","  22.634"," 604.869"," 168.019"," 66","0"," 62"," 76","   1.640","  38.911","  10.809","  45.000","  350","  333"
"02:24:13:005","139933634791008","  19.116","  11.532"," 2513"," 1200"," 4100"," 2734","  10.919"," 685.062"," 190.295","   9.144"," 614.090"," 170.580"," 64","0"," 61"," 72","   1.054","  39.974","  11.104","  45.000","    0","    0"
"02:24:14:006","139935941451488","  20.117","  18.734"," 3235"," 1200"," 3700"," 4140","  20.604"," 705.689"," 196.025","  18.540"," 632.651"," 175.736"," 65","0"," 62"," 76","   1.306","  41.281","  11.467","  45.000","    0","    0"
"02:24:15:012","139938259267962","  21.123","  12.787"," 2812"," 1200"," 3700"," 3252","  12.342"," 718.105"," 199.474","  10.415"," 643.129"," 178.647"," 64","0"," 61"," 75","   1.061","  42.349","  11.764","  45.000","    0","    0"
"02:24:16:019","139940580545562","  22.130","  13.708"," 2106"," 1200"," 3800"," 2139","   9.051"," 727.224"," 202.007","   7.562"," 650.747"," 180.763"," 65","0"," 61"," 74","   0.877","  43.232","  12.009","  45.000","    0","    0"
"02:24:17:022","139942890836596","  23.133","  26.598"," 1972"," 1200"," 3700"," 2039","  12.017"," 739.273"," 205.354","  10.577"," 661.353"," 183.709"," 66","0"," 61"," 73","   0.920","  44.154","  12.265","  45.000","    0","    0"
"02:24:18:022","139945195583554","  24.133","  19.412"," 2093"," 1200"," 4100"," 2199","  12.409"," 751.687"," 208.802","  10.927"," 672.284"," 186.745"," 64","0"," 61"," 79","   0.908","  45.063","  12.517","  45.000","    0","    0"
"02:24:19:026","139947507920538","  25.137","  13.820"," 2011"," 1200"," 3600"," 2044","   8.192"," 759.909"," 211.086","   6.832"," 679.140"," 188.650"," 63","0"," 60"," 66","   0.805","  45.871","  12.742","  45.000","    0","    0"
"02:24:20:030","139949821672006","  26.141","  27.080"," 2315"," 1200"," 3700"," 2550","  15.301"," 775.274"," 215.354","  13.495"," 692.692"," 192.414"," 68","0"," 60"," 76","   1.164","  47.040","  13.067","  45.000","    0","    0"
"02:24:21:037","139952140587980","  27.148","  20.334"," 1958"," 1200"," 3700"," 1983","  10.154"," 785.494"," 218.193","   8.573"," 701.320"," 194.811"," 63","0"," 60"," 70","   1.002","  48.048","  13.347","  45.000","    0","    0"
"02:24:22:041","139954454005510","  28.152","  13.647"," 1928"," 1200"," 3600"," 1949","   7.433"," 792.958"," 220.266","   5.924"," 707.269"," 196.464"," 63","0"," 60"," 65","   0.902","  48.954","  13.598","  45.000","    0","    0"
"02:24:23:044","139956765567960","  29.155","  28.886"," 1748"," 1200"," 3600"," 1765","   9.683"," 802.672"," 222.965","   8.293"," 715.589"," 198.775"," 63","0"," 60"," 67","   0.873","  49.831","  13.842","  45.000","    0","    0"
"02:24:24:051","139959084759820","  30.162","  19.495"," 1939"," 1200"," 3600"," 1963","   9.746"," 812.482"," 225.690","   8.344"," 723.989"," 201.108"," 63","0"," 60"," 68","   0.850","  50.686","  14.080","  45.000","    0","    0"
"02:24:25:058","139961406920172","  31.169","  16.801"," 2127"," 1200"," 3700"," 2170","  10.728"," 823.295"," 228.693","   9.363"," 733.425"," 203.729"," 65","0"," 60"," 70","   0.836","  51.529","  14.314","  45.000","    0","    0"
"02:24:26:059","139963712995900","  32.170","  22.739"," 2618"," 1200"," 4100"," 2957","  18.962"," 842.274"," 233.965","  17.453"," 750.894"," 208.582"," 64","0"," 60"," 82","   0.975","  52.505","  14.585","  45.000","    0","    0"
"02:24:27:060","139966019290442","  33.171","  14.389"," 1711"," 1200"," 3700"," 1731","   6.623"," 848.904"," 235.807","   5.082"," 755.981"," 209.995"," 62","0"," 59"," 70","   0.825","  53.331","  14.814","  45.000","    0","    0"
"02:24:28:067","139968339353362","  34.178","  30.916"," 2729"," 1200"," 4100"," 3249","  25.813"," 874.897"," 243.027","  22.891"," 779.031"," 216.398"," 65","0"," 59"," 75","   1.710","  55.053","  15.292","  45.000","    0","    0"
"02:24:29:074","139970658533232","  35.185","  21.047"," 2667"," 1200"," 4000"," 3014","  20.106"," 895.136"," 248.649","  17.660"," 796.807"," 221.335"," 64","0"," 61"," 74","   1.412","  56.474","  15.687","  45.000","    0","    0"
"02:24:30:075","139972965664594","  36.186","  19.250"," 2359"," 1200"," 3800"," 2539","  14.142"," 909.297"," 252.582","  12.591"," 809.416"," 224.838"," 63","0"," 60"," 72","   1.000","  57.475","  15.965","  45.000","    0","    0"
"02:24:31:082","139975286069648","  37.193","  29.824"," 2105"," 1200"," 4100"," 2158","  14.936"," 924.339"," 256.761","  13.331"," 822.841"," 228.567"," 66","0"," 60"," 73","   1.088","  58.572","  16.270","  45.000","    0","    0"
"02:24:32:083","139977590950870","  38.194","  17.810"," 2029"," 1200"," 3700"," 2061","   9.851"," 934.194"," 259.498","   8.435"," 831.279"," 230.911"," 63","0"," 60"," 71","   0.898","  59.470","  16.519","  45.000","    0","    0"
"02:24:33:092","139979915144740","  39.203","  25.895"," 1924"," 1200"," 3700"," 1964","  11.246"," 945.539"," 262.650","   9.858"," 841.223"," 233.673"," 63","0"," 60"," 69","   0.863","  60.340","  16.761","  45.000","    0","    0"
"02:24:34:094","139982223715328","  40.205","  19.495"," 2015"," 1200"," 3600"," 2041","  10.596"," 956.156"," 265.599","   9.123"," 850.364"," 236.212"," 63","0"," 60"," 70","   0.909","  61.251","  17.014","  45.000","    0","    0"
"02:24:35:094","139984529271708","  41.205","  14.579"," 2028"," 1200"," 4100"," 2072","   8.726"," 964.888"," 268.024","   7.314"," 857.683"," 238.245"," 64","0"," 59"," 69","   0.831","  62.083","  17.245","  45.000","    0","    0"
"02:24:36:095","139986835983458","  42.206","  25.839"," 1966"," 1200"," 3700"," 1995","  11.290"," 976.191"," 271.164","   9.916"," 867.610"," 241.003"," 63","0"," 59"," 69","   0.867","  62.951","  17.486","  45.000","    0","    0"
"02:24:37:098","139989147091936","  43.209","  19.552"," 1816"," 1200"," 3700"," 1838","   8.663"," 984.881"," 273.578","   7.310"," 874.943"," 243.040"," 63","0"," 59"," 67","   0.810","  63.763","  17.712","  45.000","    0","    0"
"02:24:38:108","139991472521404","  44.219","  15.075"," 2302"," 1200"," 3700"," 2459","  11.473"," 996.461"," 276.795","  10.002"," 885.038"," 245.844"," 65","0"," 59"," 70","   0.917","  64.688","  17.969","  45.000","    0","    0"
"02:24:39:115","139993792142722","  45.226","  27.777"," 1936"," 1200"," 3700"," 1961","  11.534","1008.074"," 280.020","  10.101"," 895.208"," 248.669"," 61","0"," 59"," 68","   0.913","  65.608","  18.224","  45.000","    0","    0"
"02:24:40:115","139996097589556","  46.226","  19.176"," 1823"," 1200"," 3600"," 1839","   8.399","1016.478"," 282.355","   6.994"," 902.206"," 250.613"," 62","0"," 59"," 65","   0.847","  66.455","  18.460","  45.000","    0","    0"
"02:24:41:116","139998402920622","  47.227","  17.956"," 1947"," 1200"," 3600"," 1972","   9.075","1025.558"," 284.877","   7.714"," 909.924"," 252.757"," 63","0"," 58"," 67","   0.827","  67.283","  18.690","  45.000","    0","    0"
"02:24:42:118","140000712211372","  48.229","  28.467"," 1857"," 1200"," 3700"," 1883","  10.972","1036.555"," 287.932","   9.479"," 919.425"," 255.396"," 62","0"," 59"," 66","   0.939","  68.224","  18.951","  45.000","    0","    0"
"02:24:43:118","140003017088540","  49.229","  18.914"," 1865"," 1200"," 3600"," 1883","   8.889","1045.448"," 290.402","   7.504"," 926.932"," 257.481"," 62","0"," 59"," 66","   0.845","  69.069","  19.186","  45.000","    0","    0"
"02:24:44:124","140005334297210","  50.235","  18.221"," 2063"," 1200"," 4300"," 2168","  10.538","1056.047"," 293.346","   9.150"," 936.135"," 260.037"," 62","0"," 58"," 75","   0.868","  69.942","  19.428","  45.000","    0","    0"
"02:24:45:130","140007650903062","  51.241","  26.688"," 1633"," 1200"," 3700"," 1648","   8.216","1064.307"," 295.641","   6.771"," 942.943"," 261.929"," 60","0"," 58"," 69","   0.851","  70.798","  19.666","  45.000","    0","    0"
"02:24:46:136","140009969691362","  52.247","  17.540"," 1641"," 1200"," 3600"," 1654","   6.907","1071.258"," 297.572","   5.474"," 948.452"," 263.459"," 62","0"," 58"," 66","   0.787","  71.589","  19.886","  45.000","    0","    0"
"02:24:47:140","140012282092158","  53.251","  13.551"," 2022"," 1200"," 4200"," 2085","   8.574","1079.864"," 299.962","   7.235"," 955.714"," 265.476"," 62","0"," 58"," 66","   0.794","  72.386","  20.107","  45.000","    0","    0"
"02:24:48:147","140014603721616","  54.258","  29.378"," 1969"," 1200"," 4100"," 2045","  14.013","1093.984"," 303.885","  12.507"," 968.317"," 268.977"," 65","0"," 58"," 75","   0.978","  73.372","  20.381","  45.000","    0","    0"
"02:24:49:148","140016908626368","  55.259","  19.251"," 1864"," 1200"," 3600"," 1884","   8.668","1102.656"," 306.293","   7.279"," 975.598"," 271.000"," 61","0"," 58"," 66","   0.840","  74.212","  20.614","  45.000","    0","    0"
"02:24:50:148","140019213489330","  56.259","  15.344"," 1975"," 1200"," 3900"," 2006","   8.382","1111.042"," 308.623","   7.029"," 982.630"," 272.953"," 61","0"," 58"," 69","   0.806","  75.018","  20.838","  45.000","    0","    0"
"02:24:51:149","140021519691670","  57.260","  27.368"," 1953"," 1200"," 4100"," 1984","  12.018","1123.071"," 311.964","  10.543"," 993.184"," 275.884"," 62","0"," 58"," 70","   0.980","  75.999","  21.111","  45.000","    0","    0"
"02:24:52:155","140023837077010","  58.266","  19.711"," 1909"," 1200"," 3700"," 1929","   9.476","1132.602"," 314.612","   8.045","1001.275"," 278.132"," 62","0"," 58"," 64","   0.912","  76.917","  21.366","  45.000","    0","    0"
