"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:01:37:508","310990710223826","   1.005","   1.402"," 1560"," 1200"," 2500"," 1569","   1.310","   1.316","   0.366","   0.476","   0.478","   0.133"," 37","0"," 33"," 38","   0.725","   0.728","   0.202","  45.000","    0","    0"
"23:01:38:519","310993039453442","   2.016","   1.746"," 2001"," 1200"," 3700"," 2274","   1.686","   3.020","   0.839","   0.970","   1.459","   0.405"," 36","0"," 34"," 46","   0.679","   1.414","   0.393","  45.000","    0","    0"
"23:01:39:527","310995362387148","   3.024","   4.766"," 1497"," 1200"," 3600"," 1509","   2.137","   5.175","   1.437","   1.205","   2.674","   0.743"," 37","0"," 33"," 38","   0.675","   2.094","   0.582","  45.000","    0","    0"
"23:01:40:528","310997668538554","   4.025","   2.244"," 2458"," 1200"," 3700"," 2794","   2.695","   7.873","   2.187","   1.810","   4.485","   1.246"," 37","0"," 33"," 43","   0.739","   2.834","   0.787","  45.000","    0","    0"
"23:01:41:529","310999975125000","   5.026","   1.322"," 1620"," 1200"," 3000"," 1681","   1.181","   9.055","   2.515","   0.500","   4.985","   1.385"," 37","0"," 33"," 37","   0.667","   3.501","   0.973","  45.000","    0","    0"
"23:01:42:538","311002299245338","   6.035","   1.268"," 1729"," 1200"," 2900"," 1807","   1.203","  10.268","   2.852","   0.531","   5.522","   1.534"," 37","0"," 33"," 37","   0.664","   4.171","   1.159","  45.000","    0","    0"
"23:01:43:545","311004619890610","   7.042","   1.186"," 1454"," 1200"," 2500"," 1461","   1.041","  11.317","   3.143","   0.382","   5.907","   1.641"," 37","0"," 33"," 37","   0.663","   4.839","   1.344","  45.000","    0","    0"
"23:01:44:551","311006938626138","   8.048","   1.153"," 1489"," 1200"," 2500"," 1504","   1.054","  12.377","   3.438","   0.399","   6.309","   1.752"," 36","0"," 33"," 37","   0.662","   5.505","   1.529","  45.000","    0","    0"
"23:01:45:553","311009246864200","   9.050","   1.412"," 1510"," 1200"," 3100"," 1520","   1.302","  13.682","   3.800","   0.476","   6.785","   1.885"," 37","0"," 33"," 37","   0.719","   6.225","   1.729","  45.000","    0","    0"
"23:01:46:562","311011571264364","  10.059","   1.226"," 1551"," 1200"," 3000"," 1574","   1.238","  14.930","   4.147","   0.438","   7.227","   2.008"," 37","0"," 33"," 37","   0.711","   6.942","   1.928","  45.000","    0","    0"
"23:01:47:564","311013879860402","  11.061","   1.133"," 1536"," 1200"," 2600"," 1568","   1.052","  15.985","   4.440","   0.391","   7.619","   2.116"," 37","0"," 33"," 37","   0.664","   7.607","   2.113","  45.000","    0","    0"
"23:01:48:568","311016192690748","  12.065","   1.168"," 1508"," 1200"," 2500"," 1519","   1.074","  17.063","   4.740","   0.409","   8.030","   2.230"," 37","0"," 33"," 38","   0.664","   8.273","   2.298","  45.000","    0","    0"
"23:01:49:575","311018512565036","  13.072","   1.140"," 1428"," 1200"," 2500"," 1444","   1.026","  18.096","   5.027","   0.367","   8.400","   2.333"," 37","0"," 33"," 37","   0.664","   8.942","   2.484","  45.000","    0","    0"
"23:01:50:576","311020820487026","  14.073","   1.990"," 2407"," 1200"," 3700"," 2903","   2.413","  20.513","   5.698","   1.543","   9.945","   2.763"," 37","0"," 33"," 43","   0.733","   9.676","   2.688","  45.000","    0","    0"
"23:01:51:580","311023132373302","  15.077","   1.300"," 1635"," 1200"," 3100"," 1654","   1.326","  21.843","   6.068","   0.508","  10.455","   2.904"," 37","0"," 33"," 37","   0.717","  10.396","   2.888","  45.000","    0","    0"
"23:01:52:588","311025454208352","  16.084","   1.510"," 2213"," 1200"," 4400"," 2573","   1.896","  23.754","   6.598","   1.190","  11.654","   3.237"," 37","0"," 33"," 52","   0.664","  11.066","   3.074","  45.000","    0","    0"
"23:01:53:589","311027762115178","  17.086","   1.147"," 1489"," 1200"," 2500"," 1507","   1.042","  24.798","   6.888","   0.384","  12.038","   3.344"," 37","0"," 33"," 37","   0.664","  11.730","   3.258","  45.000","    0","    0"
"23:01:54:592","311030072672836","  18.089","   1.098"," 1467"," 1200"," 2500"," 1477","   1.036","  25.837","   7.177","   0.380","  12.419","   3.450"," 36","0"," 33"," 37","   0.662","  12.394","   3.443","  45.000","    0","    0"
"23:01:55:593","311032378048444","  19.090","   1.775"," 1604"," 1200"," 3100"," 1624","   1.305","  27.143","   7.540","   0.581","  13.000","   3.611"," 37","0"," 33"," 37","   0.676","  13.071","   3.631","  45.000","    0","    0"
"23:01:56:597","311034690977462","  20.093","   1.309"," 1618"," 1200"," 3100"," 1639","   1.169","  28.317","   7.866","   0.484","  13.487","   3.746"," 36","0"," 33"," 37","   0.670","  13.743","   3.818","  45.000","    0","    0"
"23:01:57:597","311036996902190","  21.094","   1.284"," 1552"," 1200"," 2500"," 1570","   1.293","  29.611","   8.225","   0.468","  13.956","   3.877"," 37","0"," 32"," 37","   0.717","  14.461","   4.017","  45.000","    0","    0"
"23:01:58:598","311039303224832","  22.095","   1.523"," 2279"," 1200"," 4400"," 2502","   2.043","  31.656","   8.793","   1.342","  15.299","   4.250"," 36","0"," 32"," 53","   0.667","  15.128","   4.202","  45.000","    0","    0"
"23:01:59:609","311041631116366","  23.106","   1.239"," 1495"," 1200"," 2700"," 1513","   1.235","  32.904","   9.140","   0.427","  15.730","   4.370"," 37","0"," 33"," 37","   0.714","  15.849","   4.403","  45.000","    0","    0"
"23:02:00:619","311043959033390","  24.116","   2.167"," 2327"," 1200"," 3700"," 2768","   2.311","  35.238","   9.788","   1.527","  17.274","   4.798"," 37","0"," 33"," 43","   0.713","  16.570","   4.603","  45.000","    0","    0"
"23:02:01:624","311046274138144","  25.121","   1.243"," 1511"," 1200"," 3100"," 1525","   1.092","  36.336","  10.093","   0.434","  17.710","   4.920"," 37","0"," 33"," 37","   0.667","  17.240","   4.789","  45.000","    0","    0"
"23:02:02:631","311048593327506","  26.127","   2.048"," 1510"," 1200"," 2500"," 1559","   1.338","  37.682","  10.467","   0.566","  18.280","   5.078"," 37","0"," 33"," 38","   0.736","  17.981","   4.995","  45.000","    0","    0"
"23:02:03:632","311050899595770","  27.128","   1.438"," 1758"," 1200"," 3100"," 1771","   1.414","  39.098","  10.861","   0.601","  18.882","   5.245"," 37","0"," 33"," 38","   0.716","  18.698","   5.194","  45.000","    0","    0"
"23:02:04:636","311053213829296","  28.133","   1.007"," 1503"," 1200"," 2600"," 1519","   1.067","  40.169","  11.158","   0.372","  19.255","   5.349"," 36","0"," 33"," 37","   0.665","  19.366","   5.379","  45.000","    0","    0"
"23:02:05:636","311055518475662","  29.133","   2.119"," 2183"," 1200"," 4100"," 2588","   2.185","  42.355","  11.765","   1.415","  20.670","   5.742"," 47","0"," 33"," 48","   0.698","  20.064","   5.573","  45.000","    0","    0"
"23:02:06:637","311057824235574","  30.134","   1.679"," 2021"," 1200"," 4400"," 2111","   2.089","  44.445","  12.346","   1.226","  21.897","   6.082"," 36","0"," 33"," 55","   0.725","  20.789","   5.775","  45.000","    0","    0"

"Total Elapsed Time (sec) = 30.133824"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 44.445374"
"Cumulative Package Energy_0 (mWh) = 12.345937"
"Average Package Power_0 (Watt) = 1.474933"

"Cumulative IA Energy_0 (Joules) = 21.896912"
"Cumulative IA Energy_0 (mWh) = 6.082475"
"Average Package IA_0 (Watt) = 0.726656"

"Cumulative DRAM Energy_0 (Joules) = 20.789124"
"Cumulative DRAM Energy_0 (mWh) = 5.774757"
"Average Package DRAM_0 (Watt) = 0.689893"
