"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:19:04:192","329990900661238","   1.004","  31.825"," 3669"," 1200"," 4300"," 4738","  32.918","  33.042","   9.178","  31.114","  31.231","   8.675"," 58","0"," 34"," 59","   1.533","   1.539","   0.427","  45.000","    0","    0"
"01:19:05:207","329993239237140","   2.019","  65.881"," 3718"," 2800"," 4300"," 4800","  63.515","  97.510","  27.086","  61.161","  93.310","  25.919"," 55","0"," 43"," 63","   2.122","   3.693","   1.026","  45.000","  350","  333"
"01:19:06:217","329995565681494","   3.028","  72.992"," 3800"," 3500"," 4300"," 4800","  71.094"," 169.297","  47.027","  67.287"," 161.252","  44.792"," 58","0"," 51"," 63","   3.156","   6.880","   1.911","  45.000","  350","  400"
"01:19:07:217","329997870293452","   4.029","  22.769"," 3811"," 1200"," 4300"," 4639","  38.457"," 207.764","  57.712","  34.539"," 195.800","  54.389"," 56","0"," 42"," 62","   1.727","   8.607","   2.391","  45.000","    0","    0"
"01:19:08:218","330000176785600","   5.030","  50.821"," 3870"," 3000"," 4300"," 4800","  60.062"," 267.891","  74.414","  56.959"," 252.821","  70.228"," 60","0"," 43"," 64","   2.371","  10.980","   3.050","  45.000","  600","  633"
"01:19:09:226","330002500002748","   6.038","  21.135"," 3745"," 2800"," 4600"," 4800","  32.475"," 300.637","  83.510","  29.678"," 282.747","  78.541"," 54","0"," 44"," 65","   1.607","  12.601","   3.500","  45.000","  500","  500"
"01:19:10:231","330004814505388","   7.043","  64.400"," 3049"," 2400"," 3700"," 4799","  41.256"," 342.081","  95.022","  35.780"," 318.690","  88.525"," 53","0"," 46"," 59","   3.196","  15.812","   4.392","  45.000","    0","    0"
"01:19:11:231","330007119528418","   8.043","  24.126"," 3091"," 1200"," 3700"," 4411","  22.745"," 364.836"," 101.343","  19.673"," 338.372","  93.992"," 52","0"," 42"," 56","   1.837","  17.649","   4.903","  45.000","  700","  700"
"01:19:12:236","330009435272040","   9.048","  63.867"," 2706"," 2300"," 3200"," 4800","  36.751"," 401.775"," 111.604","  25.817"," 364.320"," 101.200"," 52","0"," 47"," 53","   3.454","  21.121","   5.867","  45.000","    0","    0"
"01:19:13:244","330011756450518","  10.056","  24.329"," 2787"," 1200"," 3600"," 4471","  16.733"," 418.633"," 116.287","  12.948"," 377.365"," 104.824"," 51","0"," 42"," 52","   1.890","  23.025","   6.396","  45.000"," 1000"," 1000"
"01:19:14:244","330014061066786","  11.056","  18.951"," 2573"," 1200"," 3700"," 4258","  14.839"," 433.475"," 120.410","   9.434"," 386.801"," 107.445"," 46","0"," 42"," 52","   1.820","  24.845","   6.901","  45.000","    0","    0"
"01:19:15:251","330016380160252","  12.062","  10.097"," 3011"," 1200"," 3700"," 4070","  11.502"," 445.053"," 123.626","   8.931"," 395.790"," 109.942"," 47","0"," 42"," 54","   1.379","  26.234","   7.287","  45.000","    0","    0"
"01:19:16:259","330018704318360","  13.071","  23.406"," 3076"," 1200"," 3800"," 4629","  24.342"," 469.607"," 130.446","  18.334"," 414.285"," 115.079"," 46","0"," 42"," 55","   2.134","  28.387","   7.885","  45.000","    0","    0"
"01:19:17:264","330021018368470","  14.076","   9.819"," 3183"," 1200"," 3700"," 4052","  13.530"," 483.196"," 134.221","  10.573"," 424.904"," 118.029"," 46","0"," 42"," 56","   1.402","  29.795","   8.276","  45.000","    0","    0"
"01:19:18:264","330023323863434","  15.076","   9.619"," 2908"," 1200"," 3600"," 3520","  10.927"," 494.131"," 137.259","   8.616"," 433.526"," 120.424"," 46","0"," 42"," 54","   1.382","  31.178","   8.660","  45.000","  350","  333"
