"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:41:12:694","299874492011446","   1.010","   1.478"," 1634"," 1200"," 2900"," 1682","   1.395","   1.408","   0.391","   0.555","   0.561","   0.156"," 37","0"," 34"," 38","   0.727","   0.734","   0.204","  45.000","    0","    0"
"21:41:13:704","299876819600902","   2.020","   1.869"," 1850"," 1200"," 3700"," 2061","   1.661","   3.086","   0.857","   0.911","   1.481","   0.411"," 37","0"," 34"," 44","   0.682","   1.423","   0.395","  45.000","    0","    0"
"21:41:14:707","299879129300786","   3.022","   1.396"," 1457"," 1200"," 3600"," 1462","   1.289","   4.378","   1.216","   0.453","   1.935","   0.537"," 37","0"," 34"," 38","   0.723","   2.148","   0.597","  45.000","    0","    0"
"21:41:15:716","299881456000178","   4.032","   1.231"," 1481"," 1200"," 2700"," 1515","   1.100","   5.489","   1.525","   0.414","   2.353","   0.653"," 37","0"," 34"," 38","   0.667","   2.822","   0.784","  45.000","    0","    0"
"21:41:16:723","299883775804018","   5.039","   1.276"," 1567"," 1200"," 3000"," 1584","   1.278","   6.776","   1.882","   0.463","   2.819","   0.783"," 37","0"," 34"," 38","   0.716","   3.543","   0.984","  45.000","    0","    0"
"21:41:17:727","299886087822852","   6.043","   1.388"," 1525"," 1200"," 2700"," 1546","   1.156","   7.936","   2.205","   0.465","   3.285","   0.912"," 37","0"," 34"," 38","   0.667","   4.212","   1.170","  45.000","    0","    0"
"21:41:18:733","299888406134002","   7.049","   1.147"," 1618"," 1200"," 3000"," 1648","   1.263","   9.207","   2.557","   0.445","   3.732","   1.037"," 37","0"," 34"," 38","   0.716","   4.933","   1.370","  45.000","    0","    0"
"21:41:19:738","299890723036448","   8.054","   1.977"," 2317"," 1200"," 3700"," 2793","   2.159","  11.378","   3.160","   1.424","   5.164","   1.434"," 37","0"," 34"," 43","   0.687","   5.624","   1.562","  45.000","    0","    0"
"21:41:20:746","299893045523158","   9.062","   1.283"," 1577"," 1200"," 3100"," 1595","   1.289","  12.676","   3.521","   0.472","   5.640","   1.567"," 37","0"," 34"," 37","   0.718","   6.348","   1.763","  45.000","    0","    0"
"21:41:21:755","299895368593020","  10.071","   2.293"," 2420"," 1200"," 3700"," 2948","   2.532","  15.229","   4.230","   1.778","   7.433","   2.065"," 37","0"," 34"," 44","   0.695","   7.049","   1.958","  45.000","    0","    0"
"21:41:22:761","299897686774168","  11.077","   1.315"," 1667"," 1200"," 3600"," 1816","   1.239","  16.476","   4.577","   0.540","   7.977","   2.216"," 37","0"," 34"," 41","   0.668","   7.721","   2.145","  45.000","    0","    0"
"21:41:23:769","299900009372770","  12.085","   1.187"," 1494"," 1200"," 2900"," 1510","   1.102","  17.587","   4.885","   0.413","   8.393","   2.332"," 37","0"," 34"," 38","   0.668","   8.394","   2.332","  45.000","    0","    0"
"21:41:24:770","299902315027894","  13.086","   1.338"," 1526"," 1200"," 2500"," 1527","   1.271","  18.859","   5.239","   0.449","   8.842","   2.456"," 37","0"," 34"," 38","   0.718","   9.112","   2.531","  45.000","    0","    0"
