"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:44:08:856","246475011615578","   1.007","   1.851"," 1676"," 1200"," 2900"," 1711","   1.523","   1.534","   0.426","   0.654","   0.659","   0.183"," 40","0"," 37"," 41","   0.739","   0.744","   0.207","  45.000","    0","    0"
"18:44:09:873","246477353947278","   2.024","   1.641"," 1915"," 1200"," 3700"," 2162","   1.614","   3.175","   0.882","   0.902","   1.576","   0.438"," 41","0"," 37"," 49","   0.673","   1.428","   0.397","  45.000","    0","    0"
"18:44:10:876","246479664625384","   3.027","   6.153"," 1433"," 1200"," 3600"," 1443","   2.594","   5.776","   1.605","   1.491","   3.071","   0.853"," 41","0"," 37"," 43","   0.655","   2.085","   0.579","  45.000","    0","    0"
"18:44:11:876","246481970066262","   4.028","   2.056"," 1502"," 1200"," 2900"," 1518","   1.340","   7.117","   1.977","   0.612","   3.683","   1.023"," 40","0"," 37"," 42","   0.679","   2.764","   0.768","  45.000","    0","    0"
"18:44:12:883","246484289508950","   5.034","   1.165"," 1644"," 1200"," 3000"," 1675","   1.142","   8.267","   2.296","   0.468","   4.154","   1.154"," 40","0"," 37"," 43","   0.666","   3.434","   0.954","  45.000","    0","    0"
"18:44:13:893","246486617317266","   6.045","   1.348"," 1481"," 1200"," 2500"," 1502","   1.133","   9.412","   2.614","   0.457","   4.616","   1.282"," 41","0"," 37"," 41","   0.664","   4.105","   1.140","  45.000","    0","    0"
"18:44:14:895","246488924982304","   7.046","   1.167"," 1487"," 1200"," 2500"," 1497","   1.199","  10.613","   2.948","   0.411","   5.028","   1.397"," 40","0"," 37"," 41","   0.711","   4.817","   1.338","  45.000","    0","    0"
"18:44:15:903","246491247058418","   8.054","   1.694"," 1538"," 1200"," 2800"," 1562","   1.266","  11.889","   3.303","   0.569","   5.601","   1.556"," 41","0"," 37"," 42","   0.674","   5.496","   1.527","  45.000","    0","    0"
"18:44:16:911","246493569350450","   9.062","   2.145"," 2371"," 1200"," 3700"," 2811","   2.345","  14.254","   3.959","   1.619","   7.233","   2.009"," 40","0"," 37"," 47","   0.685","   6.187","   1.719","  45.000","    0","    0"
"18:44:17:911","246495874337014","  10.063","   1.872"," 2398"," 1200"," 4400"," 2698","   2.539","  16.794","   4.665","   1.793","   9.027","   2.507"," 40","0"," 37"," 58","   0.670","   6.857","   1.905","  45.000","    0","    0"
"18:44:18:912","246498179786390","  11.063","   1.160"," 1468"," 1200"," 2500"," 1477","   1.070","  17.865","   4.962","   0.404","   9.431","   2.620"," 41","0"," 37"," 41","   0.660","   7.518","   2.088","  45.000","    0","    0"
"18:44:19:916","246500492891290","  12.067","   1.069"," 1494"," 1200"," 2600"," 1509","   1.048","  18.917","   5.255","   0.403","   9.836","   2.732"," 40","0"," 37"," 41","   0.663","   8.183","   2.273","  45.000","    0","    0"
"18:44:20:917","246502799652300","  13.068","   1.101"," 1549"," 1200"," 3100"," 1561","   1.090","  20.008","   5.558","   0.430","  10.266","   2.852"," 41","0"," 37"," 41","   0.666","   8.849","   2.458","  45.000","    0","    0"
"18:44:21:922","246505115854172","  14.074","   1.354"," 1551"," 1200"," 3000"," 1571","   1.153","  21.167","   5.880","   0.477","  10.746","   2.985"," 41","0"," 37"," 41","   0.666","   9.519","   2.644","  45.000","    0","    0"
