"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:13:20:090","316864446285362","   1.007","  53.177"," 3822"," 3500"," 4400"," 4800","  60.203","  60.632","  16.842","  58.024","  58.437","  16.233"," 57","0"," 39"," 63","   1.802","   1.815","   0.504","  45.000","    0","    0"
"03:13:21:142","316866869747704","   2.059","  81.600"," 3477"," 2800"," 3700"," 4800","  60.402"," 124.166","  34.490","  56.869"," 118.255","  32.849"," 53","0"," 47"," 62","   3.076","   5.050","   1.403","  45.000","  400","  400"
"03:13:22:047","316869174910584","   2.964","  45.394"," 3539"," 2800"," 4300"," 4800","  43.757"," 167.945","  46.651","  39.698"," 157.973","  43.881"," 49","0"," 42"," 58","   2.570","   7.622","   2.117","  45.000","  800","  800"
"03:13:23:054","316871494452724","   3.971","  63.029"," 2815"," 2300"," 4100"," 4800","  34.236"," 202.411","  56.225","  28.696"," 186.862","  51.906"," 50","0"," 43"," 53","   3.132","  10.776","   2.993","  45.000","    0","    0"
"03:13:24:062","316873816370004","   4.979","  35.332"," 3664"," 1200"," 4400"," 4687","  43.779"," 246.530","  68.481","  41.118"," 228.300","  63.417"," 54","0"," 42"," 61","   1.948","  12.739","   3.539","  45.000","    0","    0"
"03:13:25:068","316876134282840","   5.985","  31.321"," 3574"," 1800"," 4100"," 4745","  37.893"," 284.652","  79.070","  35.132"," 263.644","  73.234"," 53","0"," 44"," 60","   2.079","  14.830","   4.120","  45.000","  550","  533"
"03:13:26:068","316878440123484","   6.986","  63.477"," 2905"," 2400"," 3600"," 4800","  35.722"," 320.403","  89.001","  30.655"," 294.323","  81.757"," 52","0"," 45"," 53","   3.258","  18.091","   5.025","  45.000","    0","    0"
"03:13:27:069","316880745648644","   7.986","   9.700"," 3453"," 1200"," 4300"," 4311","  13.740"," 334.152","  92.820","  12.218"," 306.550","  85.153"," 44","0"," 41"," 63","   1.149","  19.241","   5.345","  45.000","    0","    0"
"03:13:28:079","316883072377468","   8.996","   2.981"," 2341"," 1200"," 3600"," 3065","   2.848"," 337.028","  93.619","   1.959"," 308.528","  85.702"," 42","0"," 40"," 49","   0.799","  20.048","   5.569","  45.000","    0","    0"
"03:13:29:085","316885390950472","  10.002","   2.092"," 1535"," 1200"," 2500"," 1546","   1.475"," 338.513","  94.031","   0.666"," 309.199","  85.889"," 43","0"," 40"," 43","   0.710","  20.762","   5.767","  45.000","    0","    0"
