"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:24:06:959","252000236917138","   1.005","   2.243"," 2290"," 1200"," 3700"," 2638","   2.481","   2.493","   0.693","   1.629","   1.638","   0.455"," 34","0"," 31"," 41","   0.744","   0.747","   0.208","  45.000","    0","    0"
"19:24:07:975","252002576992562","   2.021","   1.662"," 1879"," 1200"," 3700"," 2134","   1.546","   4.063","   1.129","   0.855","   2.505","   0.696"," 34","0"," 31"," 43","   0.673","   1.431","   0.398","  45.000","    0","    0"
"19:24:08:984","252004901722638","   3.030","   1.489"," 1642"," 1200"," 3600"," 1706","   1.209","   5.283","   1.468","   0.540","   3.051","   0.847"," 34","0"," 31"," 35","   0.672","   2.110","   0.586","  45.000","    0","    0"
"19:24:09:994","252007230128168","   4.040","   1.068"," 1436"," 1200"," 2500"," 1444","   1.002","   6.296","   1.749","   0.356","   3.411","   0.947"," 34","0"," 31"," 35","   0.661","   2.778","   0.772","  45.000","    0","    0"
"19:24:10:996","252009537145370","   5.042","   2.360"," 2327"," 1200"," 4200"," 2686","   2.637","   8.937","   2.482","   1.750","   5.164","   1.434"," 34","0"," 31"," 41","   0.728","   3.507","   0.974","  45.000","    0","    0"
"19:24:11:998","252011845299232","   6.043","   1.193"," 1604"," 1200"," 3000"," 1624","   1.104","  10.042","   2.790","   0.432","   5.597","   1.555"," 34","0"," 31"," 35","   0.666","   4.174","   1.160","  45.000","    0","    0"
"19:24:13:001","252014157937846","   7.047","   1.018"," 1479"," 1200"," 2500"," 1490","   0.995","  11.041","   3.067","   0.351","   5.949","   1.652"," 34","0"," 31"," 35","   0.659","   4.836","   1.343","  45.000","    0","    0"
"19:24:14:011","252016485061296","   8.057","   1.071"," 1452"," 1200"," 2500"," 1465","   1.016","  12.067","   3.352","   0.364","   6.317","   1.755"," 34","0"," 31"," 35","   0.663","   5.505","   1.529","  45.000","    0","    0"
"19:24:15:016","252018800168716","   9.062","   1.269"," 1720"," 1200"," 3000"," 1791","   1.205","  13.278","   3.688","   0.524","   6.843","   1.901"," 34","0"," 31"," 35","   0.667","   6.176","   1.716","  45.000","    0","    0"
"19:24:16:025","252021124672122","  10.071","   1.758"," 1871"," 1200"," 3600"," 2001","   1.597","  14.890","   4.136","   0.760","   7.609","   2.114"," 35","0"," 31"," 39","   0.721","   6.903","   1.917","  45.000","    0","    0"
"19:24:17:026","252023429801348","  11.071","   2.240"," 2321"," 1200"," 3700"," 2773","   2.418","  17.308","   4.808","   1.667","   9.277","   2.577"," 34","0"," 31"," 41","   0.690","   7.593","   2.109","  45.000","    0","    0"
"19:24:18:027","252025737494748","  12.073","   0.989"," 1473"," 1200"," 2500"," 1492","   0.999","  18.309","   5.086","   0.355","   9.633","   2.676"," 34","0"," 31"," 35","   0.660","   8.254","   2.293","  45.000","    0","    0"
"19:24:19:028","252028043872776","  13.074","   1.090"," 1535"," 1200"," 3000"," 1551","   1.066","  19.376","   5.382","   0.398","  10.031","   2.786"," 34","0"," 31"," 35","   0.663","   8.918","   2.477","  45.000","    0","    0"
"19:24:20:030","252030351822172","  14.076","   1.097"," 1551"," 1200"," 2500"," 1561","   1.046","  20.423","   5.673","   0.398","  10.430","   2.897"," 34","0"," 30"," 35","   0.664","   9.582","   2.662","  45.000","    0","    0"
"19:24:21:032","252032661643712","  15.078","   1.253"," 1676"," 1200"," 3000"," 1762","   1.187","  21.613","   6.004","   0.516","  10.948","   3.041"," 33","0"," 31"," 35","   0.664","  10.248","   2.847","  45.000","    0","    0"
"19:24:22:035","252034970443062","  16.080","   1.287"," 1607"," 1200"," 3000"," 1627","   1.248","  22.864","   6.351","   0.469","  11.418","   3.172"," 34","0"," 31"," 34","   0.713","  10.962","   3.045","  45.000","    0","    0"

"Total Elapsed Time (sec) = 16.080298"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 22.864319"
"Cumulative Package Energy_0 (mWh) = 6.351200"
"Average Package Power_0 (Watt) = 1.421884"

"Cumulative IA Energy_0 (Joules) = 11.417542"
"Cumulative IA Energy_0 (mWh) = 3.171539"
"Average Package IA_0 (Watt) = 0.710033"

"Cumulative DRAM Energy_0 (Joules) = 10.961670"
"Cumulative DRAM Energy_0 (mWh) = 3.044908"
"Average Package DRAM_0 (Watt) = 0.681683"
