"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:18:42:316","151720904335632","   1.009","   1.516"," 1830"," 1200"," 3600"," 1986","   1.541","   1.556","   0.432","   0.697","   0.703","   0.195"," 39","0"," 34"," 42","   0.719","   0.725","   0.202","  45.000","  500","  500"
"07:18:43:330","151723239933826","   2.023","   1.999"," 1891"," 1200"," 3700"," 2085","   1.760","   3.340","   0.928","   0.976","   1.692","   0.470"," 39","0"," 35"," 45","   0.697","   1.432","   0.398","  45.000","  500","  500"
"07:18:44:338","151725562967404","   3.031","   1.698"," 1654"," 1200"," 3000"," 1727","   1.338","   4.689","   1.303","   0.586","   2.283","   0.634"," 39","0"," 35"," 39","   0.697","   2.135","   0.593","  45.000","    0","    0"
"07:18:45:348","151727888039248","   4.041","   2.089"," 2443"," 1200"," 3800"," 2598","   2.537","   7.249","   2.014","   1.684","   3.983","   1.106"," 39","0"," 34"," 44","   0.708","   2.849","   0.791","  45.000","    0","    0"
"07:18:46:349","151730195006966","   5.042","   2.058"," 1488"," 1200"," 2500"," 1502","   1.321","   8.572","   2.381","   0.567","   4.550","   1.264"," 39","0"," 34"," 39","   0.732","   3.582","   0.995","  45.000","    0","    0"
"07:18:47:356","151732514903822","   6.049","   1.057"," 1507"," 1200"," 2600"," 1529","   1.046","   9.626","   2.674","   0.361","   4.914","   1.365"," 37","0"," 34"," 39","   0.672","   4.258","   1.183","  45.000","    0","    0"
"07:18:48:363","151734836551286","   7.056","   1.313"," 1697"," 1200"," 3000"," 1788","   1.195","  10.830","   3.008","   0.518","   5.436","   1.510"," 38","0"," 34"," 38","   0.678","   4.941","   1.373","  45.000","    0","    0"
"07:18:49:370","151737154747944","   8.063","   1.264"," 1560"," 1200"," 2800"," 1597","   1.112","  11.949","   3.319","   0.431","   5.870","   1.631"," 37","0"," 34"," 38","   0.671","   5.616","   1.560","  45.000","    0","    0"
"07:18:50:371","151739462683932","   9.064","   1.182"," 1587"," 1200"," 2900"," 1603","   1.099","  13.050","   3.625","   0.430","   6.301","   1.750"," 37","0"," 34"," 40","   0.668","   6.286","   1.746","  45.000","    0","    0"
"07:18:51:373","151741771051928","  10.066","   3.428"," 2784"," 1200"," 3700"," 3518","   3.953","  17.010","   4.725","   3.162","   9.470","   2.630"," 39","0"," 34"," 45","   0.723","   7.010","   1.947","  45.000","    0","    0"
