"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:13:09:492","43128090181816","   1.000","   6.935"," 3985"," 1700"," 4700"," 4177","  17.064","  17.066","   4.741","  15.590","  15.592","   4.331"," 47","0"," 40"," 66","   0.867","   0.867","   0.241","  45.000","    0","    0"
"18:13:10:506","43130426358190","   2.014","   5.789"," 3077"," 1200"," 4400"," 3138","   7.718","  24.891","   6.914","   6.445","  22.127","   6.146"," 48","0"," 39"," 57","   0.676","   1.553","   0.431","  45.000","    0","    0"
"18:13:11:507","43132731291622","   3.015","   5.301"," 2847"," 1200"," 4100"," 2868","   6.340","  31.234","   8.676","   5.078","  27.207","   7.557"," 44","0"," 39"," 51","   0.662","   2.215","   0.615","  45.000","    0","    0"
"18:13:12:514","43135051660524","   4.022","   5.371"," 2844"," 1200"," 4100"," 2854","   6.482","  37.763","  10.490","   5.217","  32.461","   9.017"," 46","0"," 39"," 51","   0.663","   2.882","   0.801","  45.000","    0","    0"
"18:13:13:521","43137371044410","   5.028","   5.532"," 3299"," 1400"," 4700"," 3333","   9.624","  47.451","  13.181","   8.257","  40.773","  11.326"," 71","0"," 39"," 72","   0.752","   3.640","   1.011","  45.000","    0","    0"
"18:13:14:521","43139675732608","   6.029","   9.807"," 3691"," 1200"," 4700"," 4345","  18.228","  65.684","  18.246","  17.011","  57.789","  16.053"," 52","0"," 40"," 74","   0.846","   4.486","   1.246","  45.000","    0","    0"
"18:13:15:529","43141998322582","   7.037","  38.815"," 3827"," 2000"," 4300"," 4778","  47.700"," 113.769","  31.602","  45.522"," 103.678","  28.800"," 62","0"," 42"," 67","   1.608","   6.107","   1.696","  45.000","    0","    0"
"18:13:16:538","43144323227620","   8.046","  61.610"," 3714"," 3500"," 4100"," 4800","  61.358"," 175.684","  48.801","  58.872"," 163.084","  45.301"," 63","0"," 48"," 67","   2.137","   8.264","   2.295","  45.000","    0","    0"
"18:13:17:540","43146631002518","   9.048","  64.669"," 3515"," 2800"," 4100"," 4800","  57.918"," 233.696","  64.916","  54.684"," 217.858","  60.516"," 56","0"," 52"," 66","   2.673","  10.941","   3.039","  45.000","  400","  400"
"18:13:18:543","43148940797682","  10.050","  62.064"," 3379"," 2800"," 3600"," 4800","  48.752"," 282.571","  78.492","  45.050"," 263.022","  73.062"," 54","0"," 49"," 63","   3.036","  13.984","   3.884","  45.000","  650","  633"
"18:13:19:546","43151252469204","  11.054","  53.842"," 2907"," 2300"," 3700"," 4798","  35.755"," 318.445","  88.457","  29.269"," 292.388","  81.219"," 54","0"," 48"," 60","   2.990","  16.984","   4.718","  45.000"," 1050"," 1033"
"18:13:20:546","43153557611790","  12.054","  16.704"," 3649"," 1200"," 4400"," 4490","  26.551"," 345.009","  95.836","  24.870"," 317.271","  88.131"," 55","0"," 47"," 68","   1.097","  18.081","   5.022","  45.000","    0","    0"
"18:13:21:556","43155884648524","  13.064","  47.376"," 3173"," 2300"," 3700"," 4800","  39.060"," 384.460"," 106.794","  35.441"," 353.066","  98.074"," 57","0"," 48"," 63","   2.653","  20.760","   5.767","  45.000","    0","    0"
"18:13:22:565","43158208040122","  14.073","  37.243"," 3292"," 1200"," 3700"," 4749","  35.096"," 419.851"," 116.625","  32.094"," 385.430"," 107.064"," 56","0"," 48"," 64","   2.164","  22.942","   6.373","  45.000","  650","  633"
"18:13:23:569","43160521435400","  15.077","  51.293"," 3081"," 2500"," 3700"," 4800","  37.329"," 457.332"," 127.037","  33.173"," 418.738"," 116.316"," 60","0"," 51"," 63","   2.871","  25.825","   7.174","  45.000","  400","  400"
"18:13:24:572","43162832825814","  16.080","   3.521"," 2123"," 1200"," 3600"," 2312","   3.023"," 460.365"," 127.879","   1.894"," 420.639"," 116.844"," 50","0"," 46"," 62","   0.848","  26.675","   7.410","  45.000","    0","    0"
"18:13:25:573","43165138847298","  17.081","   2.973"," 2229"," 1200"," 3700"," 2567","   2.850"," 463.217"," 128.671","   1.919"," 422.559"," 117.377"," 54","0"," 46"," 56","   0.772","  27.448","   7.624","  45.000","    0","    0"
