"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:50:16:131","98024121602390","   1.004","   3.011"," 1931"," 1200"," 4400"," 2073","   2.807","   2.818","   0.783","   1.772","   1.779","   0.494"," 57","0"," 51"," 59","   0.778","   0.781","   0.217","  45.000","  500","  500"
"00:50:17:142","98026452391950","   2.015","   5.480"," 3669"," 1200"," 4600"," 4023","  12.443","  15.406","   4.279","  10.971","  12.878","   3.577"," 58","0"," 53"," 75","   0.655","   1.443","   0.401","  45.000","  500","  500"
"00:50:18:143","98028758792216","   3.017","   6.059"," 3898"," 1200"," 4600"," 4311","  14.362","  29.783","   8.273","  12.887","  25.778","   7.160"," 59","0"," 53"," 71","   0.687","   2.131","   0.592","  45.000","    0","    0"
"00:50:19:144","98031063466414","   4.017","   5.257"," 3721"," 1200"," 4600"," 4046","  12.714","  42.501","  11.806","  11.280","  37.061","  10.295"," 58","0"," 53"," 63","   0.635","   2.766","   0.768","  45.000","    0","    0"
"00:50:20:144","98033367993566","   5.017","   5.155"," 3797"," 1200"," 4600"," 4151","  12.463","  54.966","  15.268","  11.034","  48.097","  13.360"," 58","0"," 54"," 63","   0.633","   3.400","   0.944","  45.000","    0","    0"
"00:50:21:146","98035675908676","   6.019","   4.934"," 3575"," 1200"," 4600"," 3911","  11.432","  66.418","  18.449","  10.041","  58.155","  16.154"," 55","0"," 53"," 62","   0.634","   4.035","   1.121","  45.000","    0","    0"
"00:50:22:154","98037998905744","   7.027","   2.842"," 2917"," 1200"," 4400"," 3087","   4.339","  70.793","  19.665","   3.399","  61.582","  17.106"," 58","0"," 52"," 63","   0.672","   4.713","   1.309","  45.000","    0","    0"
"00:50:23:154","98040303569710","   8.027","   5.166"," 3812"," 1200"," 4600"," 4154","  12.583","  83.379","  23.161","  11.025","  72.610","  20.169"," 58","0"," 53"," 63","   0.677","   5.391","   1.497","  45.000","  350","  333"
"00:50:24:154","98042608368282","   9.028","   5.131"," 3754"," 1200"," 4600"," 4096","  12.487","  95.870","  26.631","  11.048","  83.662","  23.239"," 58","0"," 53"," 62","   0.632","   6.023","   1.673","  45.000","  350","  333"
"00:50:25:162","98044930702160","  10.036","   5.135"," 3933"," 1200"," 4600"," 4313","  13.675"," 109.653","  30.459","  12.230","  95.989","  26.664"," 60","0"," 54"," 74","   0.639","   6.667","   1.852","  45.000","  350","  333"
"00:50:26:170","98047251789206","  11.043","   5.218"," 3693"," 1200"," 4600"," 4029","  12.254"," 121.998","  33.888","  10.782"," 106.851","  29.681"," 58","0"," 53"," 63","   0.657","   7.329","   2.036","  45.000","    0","    0"
"00:50:27:170","98049556195372","  12.043","   5.077"," 3879"," 1200"," 4600"," 4248","  13.018"," 135.019","  37.505","  11.580"," 118.433","  32.898"," 59","0"," 54"," 63","   0.630","   7.959","   2.211","  45.000","    0","    0"
"00:50:28:176","98051873145658","  13.049","  14.012"," 3387"," 1200"," 4600"," 3743","  20.207"," 155.340","  43.150","  18.646"," 137.184","  38.107"," 60","0"," 54"," 71","   0.888","   8.852","   2.459","  45.000","    0","    0"
"00:50:29:186","98054200667692","  14.059","   8.050"," 3206"," 1200"," 4400"," 3443","  10.609"," 166.057","  46.127","   9.351"," 146.631","  40.731"," 56","0"," 53"," 67","   0.801","   9.661","   2.684","  45.000","    0","    0"
"00:50:30:192","98056519721344","  15.065","   2.012"," 1698"," 1200"," 3200"," 1799","   1.426"," 167.492","  46.526","   0.756"," 147.392","  40.942"," 54","0"," 52"," 56","   0.627","  10.292","   2.859","  45.000","    0","    0"
"00:50:31:196","98058831475078","  16.069","   2.217"," 2117"," 1200"," 3900"," 2158","   2.367"," 169.868","  47.185","   1.612"," 149.010","  41.392"," 57","0"," 51"," 58","   0.605","  10.899","   3.028","  45.000","    0","    0"
"00:50:32:196","98061136413842","  17.069","   6.184"," 3855"," 1200"," 4600"," 4204","  14.513"," 184.386","  51.218","  13.187"," 162.202","  45.056"," 58","0"," 53"," 65","   0.601","  11.500","   3.194","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.069217"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 184.386475"
"Cumulative Package Energy_0 (mWh) = 51.218465"
"Average Package Power_0 (Watt) = 10.802281"

"Cumulative IA Energy_0 (Joules) = 162.201843"
"Cumulative IA Energy_0 (mWh) = 45.056068"
"Average Package IA_0 (Watt) = 9.502594"

"Cumulative DRAM Energy_0 (Joules) = 11.499878"
"Cumulative DRAM Energy_0 (mWh) = 3.194411"
"Average Package DRAM_0 (Watt) = 0.673720"
