"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:21:31:970","102345965991634","   1.002","   5.189"," 3879"," 1200"," 4600"," 4195","  13.513","  13.533","   3.759","  11.983","  12.001","   3.334"," 56","0"," 51"," 61","   0.667","   0.668","   0.186","  45.000","    0","    0"
"01:21:32:982","102348295880436","   2.013","   6.160"," 3743"," 1200"," 4600"," 4116","  14.136","  27.828","   7.730","  12.692","  24.835","   6.899"," 56","0"," 51"," 70","   0.675","   1.351","   0.375","  45.000","    0","    0"
"01:21:33:988","102350613953532","   3.019","   5.238"," 3797"," 1200"," 4600"," 4168","  12.644","  40.549","  11.264","  11.066","  35.969","   9.991"," 54","0"," 52"," 61","   0.702","   2.057","   0.571","  45.000","  400","  400"
"01:21:34:989","102352921104126","   4.020","   5.080"," 3660"," 1200"," 4600"," 3981","  11.906","  52.471","  14.575","  10.486","  46.469","  12.908"," 55","0"," 51"," 61","   0.622","   2.680","   0.744","  45.000","  400","  400"
"01:21:35:999","102355246904794","   5.030","   5.179"," 3796"," 1200"," 4600"," 4126","  13.096","  65.691","  18.248","  11.669","  58.249","  16.180"," 54","0"," 51"," 61","   0.634","   3.320","   0.922","  45.000","  350","  333"
"01:21:36:999","102357551926894","   6.030","   6.136"," 3721"," 1200"," 4600"," 4072","  13.608","  79.306","  22.029","  12.186","  70.441","  19.567"," 55","0"," 51"," 66","   0.650","   3.971","   1.103","  45.000","  350","  333"
"01:21:38:003","102359865349596","   7.035","   5.347"," 3691"," 1200"," 4600"," 4007","  12.910","  92.268","  25.630","  11.442","  81.930","  22.758"," 56","0"," 51"," 63","   0.652","   4.625","   1.285","  45.000","    0","    0"
"01:21:39:004","102362170307390","   8.035","   5.446"," 3720"," 1200"," 4600"," 4061","  12.493"," 104.767","  29.102","  11.062","  92.996","  25.832"," 55","0"," 52"," 64","   0.640","   5.266","   1.463","  45.000","  400","  400"
"01:21:40:006","102364479743890","   9.037","   5.035"," 3817"," 1200"," 4600"," 4143","  12.555"," 117.351","  32.598","  11.143"," 104.165","  28.935"," 55","0"," 52"," 61","   0.625","   5.892","   1.637","  45.000","  350","  333"
"01:21:41:007","102366784811684","  10.038","   5.327"," 3688"," 1200"," 4600"," 4008","  12.618"," 129.975","  36.104","  11.196"," 115.366","  32.046"," 55","0"," 52"," 61","   0.638","   6.531","   1.814","  45.000","  350","  333"
"01:21:42:007","102369089747354","  11.038","   5.246"," 3671"," 1200"," 4600"," 3999","  12.453"," 142.433","  39.565","  11.010"," 126.380","  35.106"," 55","0"," 52"," 65","   0.635","   7.167","   1.991","  45.000","    0","    0"
"01:21:43:008","102371394535894","  12.039","   6.049"," 3849"," 1200"," 4600"," 4248","  14.891"," 157.329","  43.703","  13.331"," 139.716","  38.810"," 56","0"," 51"," 70","   0.707","   7.874","   2.187","  45.000","  350","  333"
"01:21:44:008","102373700626326","  13.040","   5.163"," 3837"," 1200"," 4600"," 4162","  12.718"," 170.059","  47.239","  11.293"," 151.020","  41.950"," 55","0"," 52"," 63","   0.634","   8.508","   2.363","  45.000","  350","  333"
"01:21:45:014","102376017513184","  14.045","   4.936"," 3639"," 1200"," 4600"," 3971","  11.485"," 181.608","  50.447","   9.992"," 161.068","  44.741"," 54","0"," 51"," 62","   0.698","   9.210","   2.558","  45.000","    0","    0"
"01:21:46:015","102378322438752","  15.046","   1.639"," 1376"," 1200"," 3400"," 1376","   1.255"," 182.864","  50.795","   0.512"," 161.580","  44.883"," 53","0"," 50"," 54","   0.708","   9.918","   2.755","  45.000","    0","    0"
"01:21:47:020","102380638664786","  16.051","   2.264"," 2245"," 1200"," 3700"," 2429","   2.545"," 185.422","  51.506","   1.739"," 163.328","  45.369"," 52","0"," 49"," 60","   0.696","  10.617","   2.949","  45.000","    0","    0"
"01:21:48:028","102382961153430","  17.059","   1.054"," 1480"," 1200"," 2700"," 1509","   1.078"," 186.508","  51.808","   0.418"," 163.750","  45.486"," 52","0"," 49"," 53","   0.661","  11.284","   3.134","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.058996"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 186.508057"
"Cumulative Package Energy_0 (mWh) = 51.807794"
"Average Package Power_0 (Watt) = 10.933121"

"Cumulative IA Energy_0 (Joules) = 163.750061"
"Cumulative IA Energy_0 (mWh) = 45.486128"
"Average Package IA_0 (Watt) = 9.599045"

"Cumulative DRAM Energy_0 (Joules) = 11.283813"
"Cumulative DRAM Energy_0 (mWh) = 3.134393"
"Average Package DRAM_0 (Watt) = 0.661458"
