"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:27:05:758","103115016997176","   1.003","   2.585"," 2101"," 1200"," 3700"," 2503","   2.597","   2.606","   0.724","   1.676","   1.682","   0.467"," 50","0"," 47"," 58","   0.739","   0.741","   0.206","  45.000","    0","    0"
"01:27:06:765","103117338464700","   2.011","   1.660"," 2005"," 1200"," 3700"," 2289","   1.814","   4.434","   1.232","   0.964","   2.653","   0.737"," 49","0"," 47"," 60","   0.717","   1.464","   0.407","  45.000","    0","    0"
"01:27:07:771","103119656268164","   3.017","   2.009"," 2471"," 1200"," 3700"," 2709","   2.551","   7.000","   1.945","   1.788","   4.451","   1.237"," 50","0"," 47"," 58","   0.675","   2.143","   0.595","  45.000","    0","    0"
"01:27:08:773","103121964084138","   4.018","   1.620"," 1685"," 1200"," 2900"," 1707","   1.425","   8.428","   2.341","   0.639","   5.092","   1.414"," 50","0"," 46"," 50","   0.697","   2.841","   0.789","  45.000","  400","  400"
"01:27:09:781","103124285983172","   5.026","   1.258"," 1602"," 1200"," 2600"," 1611","   1.154","   9.591","   2.664","   0.489","   5.585","   1.551"," 49","0"," 46"," 50","   0.671","   3.518","   0.977","  45.000","  400","  400"
"01:27:10:788","103126606380598","   6.033","   1.338"," 1844"," 1200"," 3000"," 2018","   1.304","  10.904","   3.029","   0.608","   6.197","   1.721"," 49","0"," 46"," 53","   0.682","   4.205","   1.168","  45.000","  350","  333"
"01:27:11:793","103128923460992","   7.039","   1.108"," 1487"," 1200"," 2500"," 1495","   1.122","  12.033","   3.343","   0.436","   6.636","   1.843"," 49","0"," 46"," 49","   0.666","   4.875","   1.354","  45.000","    0","    0"
"01:27:12:796","103131232954344","   8.041","   1.099"," 1578"," 1200"," 2900"," 1606","   1.104","  13.139","   3.650","   0.442","   7.079","   1.966"," 48","0"," 45"," 49","   0.671","   5.548","   1.541","  45.000","    0","    0"
"01:27:13:799","103133543901850","   9.044","   1.236"," 1583"," 1200"," 2800"," 1618","   1.288","  14.431","   4.009","   0.507","   7.588","   2.108"," 49","0"," 45"," 49","   0.705","   6.255","   1.737","  45.000","    0","    0"
"01:27:14:804","103135859666470","  10.049","   1.175"," 1682"," 1200"," 3000"," 1767","   1.318","  15.756","   4.377","   0.496","   8.086","   2.246"," 49","0"," 45"," 49","   0.724","   6.983","   1.940","  45.000","    0","    0"
"01:27:15:811","103138180660638","  11.057","   2.253"," 2331"," 1200"," 3700"," 2751","   2.445","  18.219","   5.061","   1.698","   9.796","   2.721"," 49","0"," 45"," 58","   0.686","   7.674","   2.132","  45.000","    0","    0"
"01:27:16:818","103140500825924","  12.064","   2.676"," 2089"," 1200"," 3700"," 2469","   2.623","  20.860","   5.795","   1.787","  11.596","   3.221"," 49","0"," 45"," 56","   0.748","   8.427","   2.341","  45.000","    0","    0"
"01:27:17:820","103142808026628","  13.065","   1.876"," 2458"," 1200"," 3700"," 2599","   2.428","  23.292","   6.470","   1.686","  13.284","   3.690"," 48","0"," 45"," 56","   0.671","   9.098","   2.527","  45.000","    0","    0"
"01:27:18:821","103145116051418","  14.067","   1.260"," 1823"," 1200"," 3000"," 1927","   1.378","  24.672","   6.853","   0.581","  13.866","   3.852"," 48","0"," 45"," 49","   0.717","   9.817","   2.727","  45.000","    0","    0"
"01:27:19:830","103147439942408","  15.076","   0.956"," 1426"," 1200"," 2500"," 1433","   1.023","  25.704","   7.140","   0.373","  14.243","   3.956"," 48","0"," 45"," 48","   0.659","  10.482","   2.912","  45.000","    0","    0"
"01:27:20:834","103149753574216","  16.080","   1.138"," 1499"," 1200"," 2500"," 1509","   1.078","  26.786","   7.441","   0.419","  14.664","   4.073"," 48","0"," 44"," 49","   0.664","  11.148","   3.097","  45.000","    0","    0"
"01:27:21:841","103152073089284","  17.086","   1.093"," 1424"," 1200"," 2500"," 1445","   1.051","  27.845","   7.735","   0.398","  15.065","   4.185"," 47","0"," 44"," 48","   0.662","  11.814","   3.282","  45.000","    0","    0"
"01:27:22:847","103154391409930","  18.093","   1.211"," 1717"," 1200"," 3000"," 1822","   1.352","  29.205","   8.112","   0.539","  15.607","   4.335"," 48","0"," 44"," 48","   0.718","  12.537","   3.483","  45.000","    0","    0"
"01:27:23:856","103156714881772","  19.101","   1.228"," 1558"," 1200"," 2800"," 1580","   1.145","  30.360","   8.433","   0.463","  16.074","   4.465"," 47","0"," 44"," 48","   0.669","  13.212","   3.670","  45.000","    0","    0"
"01:27:24:857","103159022295950","  20.103","   1.027"," 1449"," 1200"," 2500"," 1467","   1.021","  31.382","   8.717","   0.375","  16.449","   4.569"," 48","0"," 44"," 48","   0.662","  13.875","   3.854","  45.000","    0","    0"
"01:27:25:866","103161347085070","  21.112","   1.835"," 2413"," 1200"," 3700"," 2919","   2.382","  33.786","   9.385","   1.550","  18.013","   5.004"," 48","0"," 44"," 55","   0.727","  14.609","   4.058","  45.000","    0","    0"
"01:27:26:873","103163666862208","  22.118","   1.059"," 1640"," 1200"," 3300"," 1719","   1.120","  34.914","   9.698","   0.450","  18.466","   5.129"," 47","0"," 44"," 48","   0.668","  15.281","   4.245","  45.000","    0","    0"
"01:27:27:874","103165972481880","  23.119","   2.117"," 2538"," 1200"," 3700"," 2721","   2.626","  37.542","  10.428","   1.876","  20.343","   5.651"," 48","0"," 44"," 55","   0.673","  15.954","   4.432","  45.000","    0","    0"
"01:27:28:882","103168295863370","  24.128","   1.227"," 1693"," 1200"," 2900"," 1742","   1.170","  38.721","  10.756","   0.507","  20.854","   5.793"," 47","0"," 44"," 48","   0.666","  16.626","   4.618","  45.000","    0","    0"
"01:27:29:892","103170622320974","  25.137","   1.167"," 1478"," 1200"," 2600"," 1493","   1.240","  39.973","  11.104","   0.435","  21.293","   5.915"," 47","0"," 43"," 48","   0.706","  17.339","   4.816","  45.000","    0","    0"
"01:27:30:899","103172942046720","  26.144","   1.283"," 1642"," 1200"," 3000"," 1726","   1.179","  41.160","  11.433","   0.499","  21.796","   6.054"," 46","0"," 43"," 48","   0.674","  18.018","   5.005","  45.000","    0","    0"
"01:27:31:904","103175259404562","  27.150","   1.045"," 1431"," 1200"," 2500"," 1434","   1.032","  42.198","  11.722","   0.379","  22.176","   6.160"," 46","0"," 43"," 48","   0.659","  18.680","   5.189","  45.000","    0","    0"
"01:27:32:912","103177580131084","  28.157","   1.178"," 1581"," 1200"," 2800"," 1605","   1.271","  43.479","  12.077","   0.463","  22.642","   6.290"," 47","0"," 43"," 47","   0.709","  19.394","   5.387","  45.000","    0","    0"
