"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:04:57:005","448414386755058","   1.001","  16.067"," 1970"," 1200"," 4400"," 2134","   7.931","   7.936","   2.204","   6.537","   6.541","   1.817"," 49","0"," 46"," 66","   0.793","   0.793","   0.220","  45.000","    0","    0"
"19:04:58:019","448416721177078","   2.014","  17.645"," 1765"," 1200"," 4300"," 1869","   8.806","  16.858","   4.683","   7.508","  14.149","   3.930"," 50","0"," 46"," 65","   0.747","   1.550","   0.431","  45.000","    0","    0"
"19:04:59:027","448419043646552","   3.022","  13.917"," 1479"," 1200"," 3600"," 1490","   4.661","  21.556","   5.988","   3.382","  17.557","   4.877"," 49","0"," 46"," 51","   0.690","   2.246","   0.624","  45.000","    0","    0"
"19:05:00:034","448421365011042","   4.029","  10.655"," 1500"," 1200"," 3600"," 1515","   4.081","  25.667","   7.130","   2.805","  20.384","   5.662"," 49","0"," 46"," 50","   0.670","   2.921","   0.811","  45.000","    0","    0"
"19:05:01:037","448423675435364","   5.032","  20.458"," 1346"," 1200"," 3600"," 1354","   4.432","  30.111","   8.364","   3.143","  23.536","   6.538"," 49","0"," 46"," 50","   0.701","   3.624","   1.007","  45.000","    0","    0"
"19:05:02:040","448425985769242","   6.035","  16.911"," 1454"," 1200"," 3600"," 1463","   5.141","  35.266","   9.796","   3.862","  27.408","   7.613"," 49","0"," 46"," 50","   0.690","   4.315","   1.199","  45.000","    0","    0"
"19:05:03:040","448428290547694","   7.035","  15.558"," 1436"," 1200"," 3600"," 1444","   4.891","  40.159","  11.155","   3.508","  30.917","   8.588"," 49","0"," 46"," 50","   0.742","   5.057","   1.405","  45.000","    0","    0"
"19:05:04:050","448430618277756","   8.046","  10.565"," 1583"," 1200"," 3600"," 1604","   4.530","  44.735","  12.427","   3.264","  34.215","   9.504"," 49","0"," 46"," 52","   0.668","   5.732","   1.592","  45.000","    0","    0"
"19:05:05:059","448432941783208","   9.054","  20.036"," 1360"," 1200"," 3600"," 1370","   4.403","  49.176","  13.660","   3.134","  37.375","  10.382"," 49","0"," 46"," 50","   0.688","   6.425","   1.785","  45.000","    0","    0"
"19:05:06:065","448435259291324","  10.060","  16.551"," 1429"," 1200"," 3600"," 1438","   4.940","  54.145","  15.040","   3.670","  41.067","  11.408"," 49","0"," 45"," 49","   0.682","   7.111","   1.975","  45.000","    0","    0"
"19:05:07:072","448437580641584","  11.067","  51.806"," 2403"," 1200"," 3900"," 2774","  23.105","  77.424","  21.507","  21.486","  62.715","  17.421"," 59","0"," 46"," 66","   1.544","   8.666","   2.407","  45.000","    0","    0"
"19:05:08:072","448439885343786","  12.068","  74.006"," 1753"," 1200"," 4100"," 1923","  21.601","  99.032","  27.509","  19.932","  82.653","  22.959"," 51","0"," 49"," 66","   1.444","  10.111","   2.809","  45.000","    0","    0"
"19:05:09:080","448442206598156","  13.075","  89.146"," 1488"," 1200"," 3600"," 1503","  14.225"," 113.363","  31.490","  12.524","  95.271","  26.464"," 51","0"," 49"," 57","   1.517","  11.640","   3.233","  45.000","    0","    0"
"19:05:10:080","448444511414308","  14.076","  81.287"," 1370"," 1200"," 2500"," 1380","  11.896"," 125.264","  34.796","  10.405"," 105.680","  29.355"," 51","0"," 49"," 53","   1.151","  12.791","   3.553","  45.000","    0","    0"
"19:05:11:081","448446816540816","  15.076","  87.009"," 1415"," 1200"," 2500"," 1428","  12.837"," 138.107","  38.363","  11.296"," 116.981","  32.495"," 51","0"," 49"," 53","   1.349","  14.141","   3.928","  45.000","    0","    0"
"19:05:12:088","448449137231932","  16.083","  76.717"," 1416"," 1200"," 3100"," 1432","  12.569"," 150.767","  41.880","  11.001"," 128.062","  35.573"," 51","0"," 49"," 54","   1.239","  15.389","   4.275","  45.000","    0","    0"
"19:05:13:089","448451442753600","  17.084","  83.264"," 1478"," 1200"," 3100"," 1497","  13.738"," 164.514","  45.698","  12.167"," 140.237","  38.955"," 53","0"," 49"," 55","   1.389","  16.778","   4.661","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.083902"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 164.514282"
"Cumulative Package Energy_0 (mWh) = 45.698412"
"Average Package Power_0 (Watt) = 9.629784"

"Cumulative IA Energy_0 (Joules) = 140.236816"
"Cumulative IA Energy_0 (mWh) = 38.954671"
"Average Package IA_0 (Watt) = 8.208711"

"Cumulative DRAM Energy_0 (Joules) = 16.778320"
"Cumulative DRAM Energy_0 (mWh) = 4.660645"
"Average Package DRAM_0 (Watt) = 0.982113"
