"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:24:38:579","492608096956816","   1.008","   1.434"," 1671"," 1200"," 3100"," 1699","   1.332","   1.343","   0.373","   0.550","   0.554","   0.154"," 37","0"," 33"," 37","   0.722","   0.728","   0.202","  45.000","    0","    0"
"00:24:39:594","492610435089930","   2.023","   2.348"," 2492"," 1200"," 3700"," 3022","   2.702","   4.085","   1.135","   1.934","   2.517","   0.699"," 38","0"," 33"," 44","   0.696","   1.435","   0.399","  45.000","  350","  333"
"00:24:40:595","492612742528082","   3.025","   1.079"," 1434"," 1200"," 3400"," 1442","   1.106","   5.193","   1.442","   0.368","   2.885","   0.801"," 37","0"," 33"," 37","   0.697","   2.133","   0.592","  45.000","    0","    0"
"00:24:41:603","492615064839402","   4.033","   1.556"," 1762"," 1200"," 3600"," 1935","   1.347","   6.550","   1.820","   0.671","   3.561","   0.989"," 37","0"," 33"," 42","   0.666","   2.804","   0.779","  45.000","    0","    0"
"00:24:42:605","492617371560966","   5.034","   1.128"," 1453"," 1200"," 2500"," 1469","   1.127","   7.679","   2.133","   0.398","   3.960","   1.100"," 37","0"," 33"," 37","   0.691","   3.496","   0.971","  45.000","  400","  400"
"00:24:43:607","492619682423552","   6.037","   1.207"," 1518"," 1200"," 3100"," 1531","   1.054","   8.737","   2.427","   0.414","   4.375","   1.215"," 37","0"," 33"," 37","   0.661","   4.159","   1.155","  45.000","  350","  333"
"00:24:44:608","492621988657746","   7.038","   1.839"," 1784"," 1200"," 3000"," 1808","   1.550","  10.288","   2.858","   0.681","   5.057","   1.405"," 38","0"," 33"," 38","   0.784","   4.944","   1.373","  45.000","    0","    0"
"00:24:45:610","492624296746070","   8.040","   0.988"," 1453"," 1200"," 2500"," 1467","   1.022","  11.312","   3.142","   0.352","   5.410","   1.503"," 37","0"," 33"," 37","   0.670","   5.615","   1.560","  45.000","    0","    0"
"00:24:46:612","492626604953524","   9.041","   1.403"," 1579"," 1200"," 2500"," 1598","   1.230","  12.544","   3.484","   0.482","   5.894","   1.637"," 37","0"," 33"," 37","   0.695","   6.311","   1.753","  45.000","  350","  333"
"00:24:47:620","492628926313764","  10.049","   1.315"," 1479"," 1200"," 2500"," 1498","   1.131","  13.683","   3.801","   0.427","   6.324","   1.757"," 37","0"," 33"," 37","   0.674","   6.990","   1.942","  45.000","    0","    0"
"00:24:48:628","492631248537234","  11.057","   1.324"," 1833"," 1200"," 3600"," 1859","   1.350","  15.044","   4.179","   0.671","   7.001","   1.945"," 37","0"," 33"," 39","   0.675","   7.670","   2.131","  45.000","    0","    0"
"00:24:49:629","492633555095624","  12.058","   1.957"," 2472"," 1200"," 3700"," 2894","   2.420","  17.466","   4.852","   1.616","   8.618","   2.394"," 37","0"," 33"," 44","   0.724","   8.396","   2.332","  45.000","    0","    0"
"00:24:50:632","492635866137330","  13.061","   0.996"," 1443"," 1200"," 3500"," 1440","   0.994","  18.463","   5.129","   0.348","   8.968","   2.491"," 37","0"," 33"," 37","   0.663","   9.060","   2.517","  45.000","    0","    0"
"00:24:51:633","492638172450272","  14.062","   1.445"," 1648"," 1200"," 3600"," 1772","   1.243","  19.707","   5.474","   0.556","   9.524","   2.646"," 37","0"," 33"," 41","   0.662","   9.723","   2.701","  45.000","    0","    0"
"00:24:52:642","492640497564774","  15.071","   1.001"," 1584"," 1200"," 2700"," 1632","   1.045","  20.761","   5.767","   0.396","   9.924","   2.757"," 37","0"," 33"," 37","   0.665","  10.394","   2.887","  45.000","    0","    0"
"00:24:53:648","492642816844266","  16.078","   1.158"," 1508"," 1200"," 2800"," 1535","   1.069","  21.837","   6.066","   0.415","  10.341","   2.873"," 37","0"," 33"," 37","   0.664","  11.063","   3.073","  45.000","    0","    0"
"00:24:54:658","492645143067702","  17.087","   1.110"," 1573"," 1200"," 2900"," 1602","   1.199","  23.048","   6.402","   0.441","  10.787","   2.996"," 37","0"," 33"," 37","   0.706","  11.775","   3.271","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.087446"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 23.047791"
"Cumulative Package Energy_0 (mWh) = 6.402164"
"Average Package Power_0 (Watt) = 1.348814"

"Cumulative IA Energy_0 (Joules) = 10.786743"
"Cumulative IA Energy_0 (mWh) = 2.996318"
"Average Package IA_0 (Watt) = 0.631267"

"Cumulative DRAM Energy_0 (Joules) = 11.775085"
"Cumulative DRAM Energy_0 (mWh) = 3.270857"
"Average Package DRAM_0 (Watt) = 0.689107"
