"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:20:09:777","906704076947718","   1.007","   2.202"," 1515"," 1200"," 2500"," 1533","   1.540","   1.549","   0.430","   0.646","   0.650","   0.180"," 38","0"," 33"," 38","   0.744","   0.748","   0.208","  45.000","    0","    0"
"02:20:10:792","906706412247228","   2.021","   1.916"," 1958"," 1200"," 3700"," 2234","   1.782","   3.355","   0.932","   1.055","   1.719","   0.477"," 37","0"," 34"," 47","   0.683","   1.441","   0.400","  45.000","    0","    0"
"02:20:11:794","906708719243328","   3.023","   1.257"," 1488"," 1200"," 2800"," 1512","   1.089","   4.446","   1.235","   0.427","   2.146","   0.596"," 37","0"," 33"," 38","   0.670","   2.111","   0.586","  45.000","    0","    0"
"02:20:12:797","906711027801696","   4.026","   1.044"," 1439"," 1200"," 2500"," 1462","   1.002","   5.449","   1.514","   0.359","   2.505","   0.696"," 37","0"," 33"," 37","   0.659","   2.772","   0.770","  45.000","    0","    0"
"02:20:13:808","906713355760982","   5.037","   1.054"," 1520"," 1200"," 2500"," 1533","   1.171","   6.633","   1.842","   0.404","   2.914","   0.809"," 37","0"," 33"," 38","   0.706","   3.485","   0.968","  45.000","    0","    0"
"02:20:14:809","906715660806990","   6.038","   0.930"," 1394"," 1200"," 2400"," 1401","   0.959","   7.593","   2.109","   0.329","   3.243","   0.901"," 36","0"," 33"," 37","   0.656","   4.141","   1.150","  45.000","    0","    0"
"02:20:15:815","906717977508064","   7.045","   2.064"," 2337"," 1200"," 3700"," 2840","   2.343","   9.948","   2.763","   1.522","   4.773","   1.326"," 37","0"," 33"," 43","   0.730","   4.876","   1.354","  45.000","    0","    0"
"02:20:16:824","906720300225138","   8.053","   1.150"," 1564"," 1200"," 3600"," 1587","   1.078","  11.035","   3.065","   0.429","   5.206","   1.446"," 37","0"," 33"," 37","   0.662","   5.543","   1.540","  45.000","    0","    0"
"02:20:17:833","906722624309490","   9.063","   1.113"," 1491"," 1200"," 2500"," 1506","   1.034","  12.078","   3.355","   0.394","   5.604","   1.557"," 37","0"," 33"," 37","   0.661","   6.210","   1.725","  45.000","    0","    0"
"02:20:18:844","906724951340416","  10.073","   1.424"," 1462"," 1200"," 2500"," 1483","   1.108","  13.198","   3.666","   0.440","   6.048","   1.680"," 37","0"," 33"," 37","   0.664","   6.881","   1.911","  45.000","    0","    0"
"02:20:19:846","906727259399208","  11.075","   1.232"," 1603"," 1200"," 2500"," 1627","   1.256","  14.456","   4.016","   0.465","   6.514","   1.809"," 37","0"," 33"," 37","   0.710","   7.592","   2.109","  45.000","    0","    0"
"02:20:20:849","906729569834158","  12.079","   1.306"," 1528"," 1200"," 2700"," 1554","   1.241","  15.701","   4.361","   0.455","   6.970","   1.936"," 37","0"," 33"," 37","   0.712","   8.306","   2.307","  45.000","    0","    0"
"02:20:21:855","906731885385032","  13.084","   1.033"," 1517"," 1200"," 2700"," 1565","   1.008","  16.714","   4.643","   0.375","   7.347","   2.041"," 37","0"," 33"," 37","   0.658","   8.968","   2.491","  45.000","    0","    0"
"02:20:22:856","906734190496912","  14.085","   0.903"," 1482"," 1200"," 2500"," 1508","   0.966","  17.681","   4.911","   0.345","   7.692","   2.137"," 37","0"," 33"," 37","   0.657","   9.626","   2.674","  45.000","    0","    0"
"02:20:23:864","906736513524428","  15.094","   0.952"," 1478"," 1200"," 2500"," 1488","   0.975","  18.664","   5.184","   0.347","   8.042","   2.234"," 37","0"," 33"," 37","   0.655","  10.286","   2.857","  45.000","    0","    0"
"02:20:24:871","906738832694866","  16.101","   0.904"," 1408"," 1200"," 2500"," 1421","   0.939","  19.609","   5.447","   0.321","   8.365","   2.324"," 37","0"," 33"," 37","   0.655","  10.945","   3.040","  45.000","    0","    0"
"02:20:25:873","906741140410722","  17.103","   2.587"," 2575"," 1200"," 3700"," 3261","   2.850","  22.464","   6.240","   2.105","  10.474","   2.909"," 42","0"," 33"," 43","   0.699","  11.645","   3.235","  45.000","    0","    0"
"02:20:26:878","906743454096556","  18.107","   1.395"," 2058"," 1200"," 3700"," 2343","   1.590","  24.060","   6.683","   0.918","  11.396","   3.166"," 36","0"," 33"," 43","   0.665","  12.313","   3.420","  45.000","    0","    0"
"02:20:27:886","906745776981580","  19.116","   1.525"," 1914"," 1200"," 3700"," 2144","   1.498","  25.570","   7.103","   0.796","  12.198","   3.388"," 37","0"," 33"," 41","   0.666","  12.985","   3.607","  45.000","    0","    0"
"02:20:28:894","906748099410660","  20.124","   4.145"," 1662"," 1200"," 3700"," 1742","   2.536","  28.127","   7.813","   1.530","  13.740","   3.817"," 37","0"," 33"," 44","   0.736","  13.727","   3.813","  45.000","    0","    0"
"02:20:29:896","906750406903680","  21.126","   1.857"," 2656"," 1200"," 4400"," 3066","   2.940","  31.071","   8.631","   2.096","  15.839","   4.400"," 37","0"," 33"," 54","   0.740","  14.468","   4.019","  45.000","    0","    0"
"02:20:30:898","906752715430756","  22.128","   1.226"," 1546"," 1200"," 3200"," 1558","   1.078","  32.151","   8.931","   0.435","  16.275","   4.521"," 37","0"," 33"," 38","   0.661","  15.130","   4.203","  45.000","    0","    0"
"02:20:31:900","906755021877572","  23.129","   2.046"," 1424"," 1200"," 2800"," 1446","   1.284","  33.437","   9.288","   0.525","  16.801","   4.667"," 37","0"," 33"," 38","   0.724","  15.855","   4.404","  45.000","    0","    0"
"02:20:32:904","906757334994192","  24.133","   2.064"," 2339"," 1200"," 3700"," 2786","   2.404","  35.850","   9.958","   1.541","  18.348","   5.097"," 43","0"," 33"," 46","   0.731","  16.589","   4.608","  45.000","    0","    0"
"02:20:33:911","906759653876160","  25.140","   2.009"," 2484"," 1200"," 3700"," 3299","   2.183","  38.047","  10.569","   1.462","  19.820","   5.505"," 37","0"," 33"," 46","   0.709","  17.302","   4.806","  45.000","    0","    0"
"02:20:34:916","906761969403904","  26.145","   0.907"," 1411"," 1200"," 2500"," 1420","   0.953","  39.004","  10.835","   0.328","  20.149","   5.597"," 37","0"," 33"," 37","   0.655","  17.961","   4.989","  45.000","    0","    0"
"02:20:35:921","906764285009938","  27.150","   2.231"," 2380"," 1200"," 3700"," 2862","   2.505","  41.522","  11.534","   1.655","  21.812","   6.059"," 37","0"," 33"," 43","   0.732","  18.696","   5.193","  45.000","    0","    0"
"02:20:36:930","906766608932804","  28.159","   1.089"," 1598"," 1200"," 3100"," 1623","   1.065","  42.597","  11.832","   0.419","  22.235","   6.176"," 37","0"," 33"," 38","   0.660","  19.361","   5.378","  45.000","    0","    0"
"02:20:37:931","906768916295484","  29.161","   1.293"," 1424"," 1200"," 2500"," 1432","   1.065","  43.663","  12.129","   0.410","  22.645","   6.290"," 37","0"," 33"," 37","   0.662","  20.025","   5.562","  45.000","    0","    0"
"02:20:38:934","906771227202916","  30.164","   1.269"," 1578"," 1200"," 2900"," 1588","   1.265","  44.931","  12.481","   0.478","  23.124","   6.423"," 37","0"," 33"," 38","   0.709","  20.736","   5.760","  45.000","    0","    0"
"02:20:39:943","906773550889422","  31.173","   0.983"," 1410"," 1200"," 2500"," 1423","   0.981","  45.921","  12.756","   0.338","  23.465","   6.518"," 37","0"," 33"," 37","   0.656","  21.398","   5.944","  45.000","    0","    0"
"02:20:40:950","906775869748540","  32.179","   1.152"," 1496"," 1200"," 2800"," 1515","   1.040","  46.969","  13.047","   0.397","  23.864","   6.629"," 37","0"," 33"," 37","   0.661","  22.063","   6.129","  45.000","    0","    0"
"02:20:41:960","906778197552018","  33.190","   1.170"," 1570"," 1200"," 2800"," 1605","   1.220","  48.201","  13.389","   0.447","  24.316","   6.754"," 37","0"," 33"," 37","   0.709","  22.779","   6.327","  45.000","    0","    0"
"02:20:42:966","906780515466414","  34.196","   1.127"," 1438"," 1200"," 2500"," 1457","   1.161","  49.369","  13.714","   0.387","  24.705","   6.863"," 37","0"," 33"," 37","   0.707","  23.491","   6.525","  45.000","    0","    0"
"02:20:43:975","906782839810766","  35.205","   1.024"," 1478"," 1200"," 2500"," 1509","   1.126","  50.505","  14.029","   0.369","  25.078","   6.966"," 36","0"," 33"," 37","   0.705","  24.202","   6.723","  45.000","    0","    0"
"02:20:44:979","906785152040840","  36.208","   1.233"," 1506"," 1200"," 2600"," 1538","   1.069","  51.578","  14.327","   0.413","  25.493","   7.081"," 37","0"," 33"," 37","   0.660","  24.865","   6.907","  45.000","    0","    0"
"02:20:45:988","906787477381252","  37.218","   1.852"," 2358"," 1200"," 3700"," 2864","   2.104","  53.701","  14.917","   1.406","  26.912","   7.476"," 37","0"," 33"," 44","   0.678","  25.550","   7.097","  45.000","    0","    0"
"02:20:46:990","906789785124508","  38.219","   1.088"," 1612"," 1200"," 2800"," 1643","   1.181","  54.884","  15.245","   0.420","  27.332","   7.592"," 36","0"," 33"," 37","   0.707","  26.257","   7.294","  45.000","    0","    0"
"02:20:47:995","906792099878574","  39.224","   1.283"," 1780"," 1200"," 3700"," 2004","   1.311","  56.201","  15.611","   0.638","  27.974","   7.770"," 37","0"," 33"," 43","   0.660","  26.921","   7.478","  45.000","    0","    0"
"02:20:48:999","906794414255598","  40.229","   1.393"," 1526"," 1200"," 2900"," 1544","   1.135","  57.341","  15.928","   0.457","  28.432","   7.898"," 37","0"," 33"," 37","   0.661","  27.585","   7.662","  45.000","    0","    0"
"02:20:50:007","906796735907332","  41.236","   1.085"," 1538"," 1200"," 2500"," 1551","   1.040","  58.389","  16.219","   0.394","  28.829","   8.008"," 37","0"," 33"," 37","   0.660","  28.250","   7.847","  45.000","    0","    0"
"02:20:51:015","906799058265224","  42.245","   1.184"," 1544"," 1200"," 2800"," 1559","   1.208","  59.606","  16.557","   0.433","  29.266","   8.129"," 37","0"," 33"," 37","   0.708","  28.964","   8.046","  45.000","    0","    0"
"02:20:52:018","906801369417324","  43.248","   1.044"," 1516"," 1200"," 2800"," 1553","   1.020","  60.629","  16.841","   0.383","  29.650","   8.236"," 37","0"," 33"," 37","   0.659","  29.625","   8.229","  45.000","    0","    0"
