"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:51:08:978","1093462587400666","   1.002","   2.198"," 1537"," 1200"," 2800"," 1549","   1.571","   1.573","   0.437","   0.656","   0.657","   0.183"," 37","0"," 33"," 37","   0.751","   0.752","   0.209","  45.000","    0","    0"
"00:51:09:994","1093464928636420","   2.018","   2.380"," 2498"," 1200"," 3700"," 3029","   2.719","   4.336","   1.204","   1.949","   2.637","   0.733"," 37","0"," 33"," 44","   0.695","   1.458","   0.405","  45.000","    0","    0"
"00:51:10:995","1093467235019684","   3.019","   1.596"," 1704"," 1200"," 3000"," 1813","   1.331","   5.669","   1.575","   0.632","   3.270","   0.908"," 36","0"," 33"," 37","   0.680","   2.139","   0.594","  45.000","    0","    0"
"00:51:11:996","1093469540262368","   4.019","   1.175"," 1590"," 1200"," 2900"," 1619","   1.096","   6.766","   1.879","   0.432","   3.702","   1.028"," 37","0"," 33"," 37","   0.668","   2.808","   0.780","  45.000","    0","    0"
"00:51:13:004","1093471862639404","   5.027","   1.172"," 1515"," 1200"," 2600"," 1532","   1.207","   7.982","   2.217","   0.424","   4.130","   1.147"," 36","0"," 33"," 37","   0.709","   3.523","   0.979","  45.000","    0","    0"
"00:51:14:010","1093474181182280","   6.034","   1.144"," 1545"," 1200"," 2500"," 1562","   1.083","   9.072","   2.520","   0.419","   4.552","   1.264"," 37","0"," 33"," 37","   0.667","   4.194","   1.165","  45.000","    0","    0"
"00:51:15:016","1093476499334134","   7.040","   1.629"," 1514"," 1200"," 2500"," 1521","   1.345","  10.426","   2.896","   0.525","   5.080","   1.411"," 36","0"," 33"," 37","   0.715","   4.913","   1.365","  45.000","    0","    0"
"00:51:16:021","1093478814767950","   8.045","   1.315"," 1586"," 1200"," 2700"," 1619","   1.267","  11.699","   3.250","   0.471","   5.554","   1.543"," 36","0"," 33"," 37","   0.716","   5.633","   1.565","  45.000","    0","    0"
"00:51:17:029","1093481136859374","   9.053","   1.307"," 1537"," 1200"," 2700"," 1573","   1.107","  12.815","   3.560","   0.453","   6.010","   1.669"," 37","0"," 33"," 37","   0.667","   6.306","   1.752","  45.000","    0","    0"
"00:51:18:030","1093483443009288","  10.053","   1.082"," 1564"," 1200"," 2500"," 1579","   1.187","  14.003","   3.890","   0.415","   6.426","   1.785"," 37","0"," 33"," 37","   0.710","   7.016","   1.949","  45.000","    0","    0"
