#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,04-11-23T19-37-52,mono,api-baseline,34.175732,12.467448,5.673269,6.470083,44.882812,20.423767,23.292297,43.0
1,04-11-23T19-37-52,mono,api-monitor,34.170070,17.693397,9.612427,6.782803,63.696228,34.604736,24.418091,40.05882352941177
1,04-11-23T19-37-52,mono,frontend-baseline,196.912670,83.105943,41.671431,37.851885,299.181396,150.017151,136.266785,38.98979591836735
1,04-11-23T19-37-52,mono,frontend-monitor,197.090865,323.858795,252.923652,50.870887,1165.891663,910.525146,183.135193,44.57142857142857
10,04-11-23T19-37-52,mono,api-baseline,34.205605,19.161292,10.737881,6.826528,68.980652,38.656372,24.575500,37.0
10,04-11-23T19-37-52,mono,api-monitor,34.156193,12.585415,5.935686,6.452298,45.307495,21.368469,23.228271,35.76470588235294
10,04-11-23T19-37-52,mono,frontend-baseline,196.925564,131.793518,87.522278,37.663659,474.456665,315.080200,135.589172,37.62755102040816
10,04-11-23T19-37-52,mono,frontend-monitor,196.924417,350.527717,287.955424,48.678911,1261.899780,1036.639526,175.244080,42.92857142857143
11,04-11-23T19-37-52,mono,api-baseline,34.162756,14.355842,7.409600,6.505805,51.681030,26.674561,23.420898,36.11764705882353
11,04-11-23T19-37-52,mono,api-monitor,34.161735,16.696777,8.511692,6.788873,60.108398,30.642090,24.439941,36.029411764705884
11,04-11-23T19-37-52,mono,frontend-baseline,196.999164,98.288218,55.619405,38.076358,353.837585,200.229858,137.074890,36.87244897959184
11,04-11-23T19-37-52,mono,frontend-monitor,196.947726,313.400591,241.464844,51.041633,1128.242126,869.273438,183.749878,42.83673469387755
12,04-11-23T19-37-52,mono,api-baseline,34.185072,21.980320,14.745297,6.645643,79.129150,53.083069,23.924316,38.411764705882355
12,04-11-23T19-37-52,mono,api-monitor,34.191568,13.401388,6.513146,6.550479,48.244995,23.447327,23.581726,35.73529411764706
12,04-11-23T19-37-52,mono,frontend-baseline,196.929337,80.822839,39.670173,37.818519,290.962219,142.812622,136.146667,36.36224489795919
12,04-11-23T19-37-52,mono,frontend-monitor,196.933098,330.624288,260.194617,51.127353,1190.247437,936.700623,184.058472,43.01020408163265
13,04-11-23T19-37-52,mono,api-baseline,34.169142,18.489058,10.204756,6.803843,66.560608,36.737122,24.493835,36.76470588235294
13,04-11-23T19-37-52,mono,api-monitor,34.175129,13.451046,6.732890,6.488495,48.423767,24.238403,23.358582,37.294117647058826
13,04-11-23T19-37-52,mono,frontend-baseline,196.912651,100.161574,57.918633,37.947744,360.581665,208.507080,136.611877,37.18877551020408
13,04-11-23T19-37-52,mono,frontend-monitor,197.035327,379.346873,311.476305,50.246955,1365.648743,1121.314697,180.889038,45.173469387755105
14,04-11-23T19-37-52,mono,api-baseline,34.165203,18.616350,10.178172,6.821628,67.018860,36.641418,24.557861,36.3235294117647
14,04-11-23T19-37-52,mono,api-monitor,34.158005,20.290154,13.313599,6.581726,73.044556,47.928955,23.694214,35.73529411764706
14,04-11-23T19-37-52,mono,frontend-baseline,196.888474,107.326881,65.573510,37.822147,386.376770,236.064636,136.159729,36.84183673469388
14,04-11-23T19-37-52,mono,frontend-monitor,196.769728,477.447086,387.594689,50.861935,1718.809509,1395.340881,183.102966,48.58163265306123
15,04-11-23T19-37-52,mono,api-baseline,34.100254,12.886997,5.674422,6.508382,46.393188,20.427917,23.430176,36.85294117647059
15,04-11-23T19-37-52,mono,api-monitor,34.161276,16.642778,8.432176,6.831309,59.914001,30.355835,24.592712,36.8235294117647
15,04-11-23T19-37-52,mono,frontend-baseline,196.918573,142.888675,98.426090,37.948863,514.399231,354.333923,136.615906,39.316326530612244
15,04-11-23T19-37-52,mono,frontend-monitor,196.923856,330.226712,258.185883,51.242710,1188.816162,929.469177,184.473755,43.566326530612244
16,04-11-23T19-37-52,mono,api-baseline,34.178270,14.356910,7.167969,6.641439,51.684875,25.804688,23.909180,37.088235294117645
16,04-11-23T19-37-52,mono,api-monitor,34.169699,18.220045,10.608080,6.604072,65.592163,38.189087,23.774658,38.35294117647059
16,04-11-23T19-37-52,mono,frontend-baseline,196.883990,97.140147,54.409214,37.897441,349.704529,195.873169,136.430786,37.30612244897959
16,04-11-23T19-37-52,mono,frontend-monitor,196.941650,350.122206,281.947123,50.979445,1260.439941,1015.009644,183.526001,43.857142857142854
17,04-11-23T19-37-52,mono,api-baseline,34.135218,17.607659,9.521196,6.780023,63.387573,34.276306,24.408081,37.55882352941177
17,04-11-23T19-37-52,mono,api-monitor,34.080360,152.738427,140.603858,7.624444,549.858337,506.173889,27.447998,45.05882352941177
17,04-11-23T19-37-52,mono,frontend-baseline,196.914395,79.343007,39.035238,37.561222,285.634827,140.526855,135.220398,37.255102040816325
17,04-11-23T19-37-52,mono,frontend-monitor,197.000529,317.396105,246.383786,50.643039,1142.625977,886.981628,182.314941,42.83163265306123
18,04-11-23T19-37-52,mono,api-baseline,34.179007,13.762699,6.872711,6.474219,49.545715,24.741760,23.307190,36.73529411764706
18,04-11-23T19-37-52,mono,api-monitor,34.203497,11.692284,5.187361,6.415761,42.092224,18.674500,23.096741,35.85294117647059
18,04-11-23T19-37-52,mono,frontend-baseline,196.891891,76.327549,36.513875,37.467414,274.779175,131.449951,134.882690,36.545918367346935
18,04-11-23T19-37-52,mono,frontend-monitor,196.992209,313.467611,242.601861,50.737966,1128.483398,873.366699,182.656677,43.015306122448976
19,04-11-23T19-37-52,mono,api-baseline,34.191015,14.205780,7.396088,6.465590,51.140808,26.625916,23.276123,36.88235294117647
19,04-11-23T19-37-52,mono,api-monitor,34.187348,13.373464,6.455502,6.491648,48.144470,23.239807,23.369934,36.11764705882353
19,04-11-23T19-37-52,mono,frontend-baseline,196.972763,75.679491,35.674659,37.616052,272.446167,128.428772,135.417786,36.642857142857146
19,04-11-23T19-37-52,mono,frontend-monitor,196.967118,344.168989,272.889964,51.202715,1239.008362,982.403870,184.329773,42.90816326530612
2,04-11-23T19-37-52,mono,api-baseline,34.202296,14.028863,6.775140,6.671058,50.503906,24.390503,24.015808,37.88235294117647
2,04-11-23T19-37-52,mono,api-monitor,34.169533,16.688588,9.421828,6.493954,60.078918,33.918579,23.378235,36.1764705882353
2,04-11-23T19-37-52,mono,frontend-baseline,196.953994,96.765340,54.564395,37.980686,348.355225,196.431824,136.730469,37.36224489795919
2,04-11-23T19-37-52,mono,frontend-monitor,196.954022,330.918054,259.565955,50.766975,1191.304993,934.437439,182.761108,43.67857142857143
20,04-11-23T19-37-52,mono,api-baseline,34.194988,13.033685,6.280433,6.484494,46.921265,22.609558,23.344177,36.5
20,04-11-23T19-37-52,mono,api-monitor,34.167749,18.550229,10.510813,6.763272,66.780823,37.838928,24.347778,35.73529411764706
20,04-11-23T19-37-52,mono,frontend-baseline,196.960401,81.812354,40.489282,37.853953,294.524475,145.761414,136.274231,36.43877551020408
20,04-11-23T19-37-52,mono,frontend-monitor,197.049237,310.482517,240.422092,50.885908,1117.737061,865.519531,183.189270,42.265306122448976
21,04-11-23T19-37-52,mono,api-baseline,34.136779,45.323758,35.491079,6.748539,163.165527,127.767883,24.294739,38.3235294117647
21,04-11-23T19-37-52,mono,api-monitor,34.217592,17.661285,10.646854,6.591220,63.580627,38.328674,23.728394,36.088235294117645
21,04-11-23T19-37-52,mono,frontend-baseline,196.952218,97.055579,54.356300,37.886827,349.400085,195.682678,136.392578,37.244897959183675
21,04-11-23T19-37-52,mono,frontend-monitor,196.972907,309.825677,240.820736,50.446913,1115.372437,866.954651,181.608887,42.45918367346939
22,04-11-23T19-37-52,mono,api-baseline,34.161881,13.091176,6.321716,6.441125,47.128235,22.758179,23.188049,36.029411764705884
22,04-11-23T19-37-52,mono,api-monitor,34.199337,12.723033,6.103227,6.468218,45.802917,21.971619,23.285583,35.0
22,04-11-23T19-37-52,mono,frontend-baseline,196.957746,76.321818,36.748895,37.576124,274.758545,132.296021,135.274048,36.142857142857146
22,04-11-23T19-37-52,mono,frontend-monitor,197.005058,441.968943,368.135783,51.645372,1591.088196,1325.288818,185.923340,50.83163265306123
23,04-11-23T19-37-52,mono,api-baseline,34.164469,13.205719,6.386532,6.517639,47.540588,22.991516,23.463501,37.3235294117647
23,04-11-23T19-37-52,mono,api-monitor,34.158252,12.050629,5.345442,6.459283,43.382263,19.243591,23.253418,36.05882352941177
23,04-11-23T19-37-52,mono,frontend-baseline,197.025721,97.121836,55.808021,37.733188,349.638611,200.908875,135.839478,36.95918367346939
23,04-11-23T19-37-52,mono,frontend-monitor,196.931020,327.283173,259.837816,49.708896,1178.219421,935.416138,178.952026,42.58673469387755
24,04-11-23T19-37-52,mono,api-baseline,34.169311,12.890371,6.103634,6.428884,46.405334,21.973083,23.143982,35.205882352941174
24,04-11-23T19-37-52,mono,api-monitor,34.151973,12.562341,6.022814,6.445058,45.224426,21.682129,23.202209,34.38235294117647
24,04-11-23T19-37-52,mono,frontend-baseline,196.951285,81.824544,41.656223,37.629513,294.568359,149.962402,135.466248,35.984693877551024
24,04-11-23T19-37-52,mono,frontend-monitor,197.052626,335.890740,268.553450,49.738871,1209.206665,966.792419,179.059937,42.41326530612245
25,04-11-23T19-37-52,mono,api-baseline,34.174650,12.817027,6.091902,6.463081,46.141296,21.930847,23.267090,36.088235294117645
25,04-11-23T19-37-52,mono,api-monitor,34.167904,12.328203,5.780996,6.428053,44.381531,20.811584,23.140991,35.705882352941174
25,04-11-23T19-37-52,mono,frontend-baseline,196.775192,152.089386,102.883640,37.473891,547.521790,370.381104,134.906006,38.19387755102041
25,04-11-23T19-37-52,mono,frontend-monitor,197.011460,313.032939,243.405592,50.842641,1126.918579,876.260132,183.033508,41.954081632653065
26,04-11-23T19-37-52,mono,api-baseline,34.167728,19.403788,12.320421,6.571791,69.853638,44.353516,23.658447,36.11764705882353
26,04-11-23T19-37-52,mono,api-monitor,34.195433,17.371945,9.263255,6.772834,62.539001,33.347717,24.382202,36.1764705882353
26,04-11-23T19-37-52,mono,frontend-baseline,196.997800,95.978936,54.735006,37.968750,345.524170,197.046021,136.687500,36.035714285714285
26,04-11-23T19-37-52,mono,frontend-monitor,196.897081,323.537716,253.075155,50.825314,1164.735779,911.070557,182.971130,42.39795918367347
27,04-11-23T19-37-52,mono,api-baseline,34.182480,15.003781,8.198717,6.441803,54.013611,29.515381,23.190491,38.14705882352941
