Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,2,588.7663269999999,False
2,micro,2,537.6418765,False
3,micro,2,525.3950195,False
4,micro,2,669.268921,False
5,micro,2,544.9057615,False
6,micro,2,527.9232175,False
7,micro,2,523.674835,False
8,micro,2,550.278107,False
9,micro,2,523.0005189999999,False
10,micro,2,530.890198,False
11,micro,2,532.5045775,False
12,micro,2,862.1116025,False
13,micro,2,539.6554565,False
14,micro,2,523.8262025,False
15,micro,2,576.20929,False
16,micro,2,543.625427,False
17,micro,2,665.4537965000001,False
18,micro,2,522.974121,False
19,micro,2,545.6486815,False
20,micro,2,540.3294985,False
21,micro,2,543.33551,False
22,micro,2,566.916748,False
23,micro,2,538.3858945,False
24,micro,2,805.2093199999999,False
25,micro,2,519.8395695,False
26,micro,2,524.124756,False
27,micro,2,535.7123415,False
28,micro,2,981.0436095,False
29,micro,2,1030.9057315,False
30,micro,2,618.2900695000001,False
1,mono,2,614.7939455000001,False
2,mono,2,625.6919555,False
3,mono,2,588.8103945,False
4,mono,2,602.488464,False
5,mono,2,1515.941528,False
6,mono,2,1354.5740965,False
7,mono,2,997.550476,False
8,mono,2,642.331024,False
9,mono,2,607.202454,False
10,mono,2,653.6036375,False
11,mono,2,594.1752620000001,False
12,mono,2,619.246216,False
13,mono,2,707.036255,False
14,mono,2,895.9270325,False
15,mono,2,624.3650815000001,False
16,mono,2,663.0160520000001,False
17,mono,2,846.2421569999999,False
18,mono,2,585.287811,False
19,mono,2,643.576416,False
20,mono,2,592.258942,False
21,mono,2,589.476532,False
22,mono,2,818.4455565,False
23,mono,2,610.800842,False
24,mono,2,627.2155455,False
25,mono,2,585.650055,False
26,mono,2,613.6373900000001,False
27,mono,2,639.6818845,False
28,mono,2,593.688202,False
29,mono,2,657.3688355,False
30,mono,2,640.3259885,False
