"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:53:18:493","217757583221248","   1.007","   1.102"," 1501"," 1200"," 2900"," 1517","   1.078","   1.085","   0.301","   0.398","   0.401","   0.111"," 36","0"," 32"," 36","   0.710","   0.715","   0.199","  45.000","    0","    0"
"00:53:19:502","217759908833486","   2.016","   1.446"," 1866"," 1200"," 3700"," 2011","   1.377","   2.475","   0.688","   0.777","   1.185","   0.329"," 36","0"," 32"," 45","   0.665","   1.386","   0.385","  45.000","    0","    0"
"00:53:20:506","217762220279912","   3.019","   1.055"," 1476"," 1200"," 2600"," 1507","   1.056","   3.535","   0.982","   0.387","   1.574","   0.437"," 36","0"," 32"," 36","   0.708","   2.097","   0.582","  45.000","    0","    0"
"00:53:21:514","217764544217366","   4.028","   1.223"," 1734"," 1200"," 2900"," 1856","   1.104","   4.649","   1.291","   0.535","   2.113","   0.587"," 35","0"," 32"," 36","   0.663","   2.766","   0.768","  45.000","    0","    0"
"00:53:22:523","217766868355406","   5.037","   1.941"," 2430"," 1200"," 3700"," 2981","   2.280","   6.948","   1.930","   1.548","   3.674","   1.021"," 35","0"," 32"," 43","   0.728","   3.500","   0.972","  45.000","    0","    0"
"00:53:23:533","217769194808424","   6.046","   0.879"," 1423"," 1200"," 3300"," 1421","   0.846","   7.803","   2.167","   0.315","   3.993","   1.109"," 35","0"," 32"," 36","   0.653","   4.159","   1.155","  45.000","    0","    0"
"00:53:24:533","217771499598602","   7.047","   0.963"," 1383"," 1200"," 3000"," 1399","   0.875","   8.678","   2.411","   0.331","   4.324","   1.201"," 35","0"," 32"," 36","   0.655","   4.814","   1.337","  45.000","    0","    0"
"00:53:25:533","217773804602112","   8.047","   1.005"," 1493"," 1200"," 2600"," 1511","   0.923","   9.601","   2.667","   0.367","   4.691","   1.303"," 36","0"," 31"," 36","   0.656","   5.470","   1.519","  45.000","    0","    0"
"00:53:26:540","217776123185284","   9.053","   1.035"," 1605"," 1200"," 2700"," 1618","   1.082","  10.690","   2.970","   0.423","   5.116","   1.421"," 35","0"," 32"," 36","   0.704","   6.178","   1.716","  45.000","    0","    0"
"00:53:27:549","217778448605664","  10.063","   1.336"," 1581"," 1200"," 2900"," 1603","   1.157","  11.858","   3.294","   0.469","   5.589","   1.553"," 36","0"," 32"," 36","   0.714","   6.899","   1.916","  45.000","    0","    0"
"00:53:28:553","217780761991322","  11.067","   1.058"," 1452"," 1200"," 2500"," 1467","   0.921","  12.783","   3.551","   0.374","   5.965","   1.657"," 35","0"," 32"," 36","   0.656","   7.557","   2.099","  45.000","    0","    0"
"00:53:29:556","217783071808740","  12.069","   1.707"," 1385"," 1200"," 2500"," 1390","   1.098","  13.884","   3.857","   0.459","   6.425","   1.785"," 35","0"," 32"," 36","   0.726","   8.285","   2.301","  45.000","    0","    0"
"00:53:30:559","217785382598116","  13.072","   0.852"," 1442"," 1200"," 2500"," 1457","   0.847","  14.733","   4.093","   0.314","   6.739","   1.872"," 35","0"," 32"," 36","   0.651","   8.939","   2.483","  45.000","    0","    0"
"00:53:31:565","217787700350714","  14.078","   1.251"," 1778"," 1200"," 3300"," 1959","   1.245","  15.986","   4.441","   0.568","   7.311","   2.031"," 36","0"," 32"," 40","   0.705","   9.648","   2.680","  45.000","    0","    0"
"00:53:32:573","217790023321600","  15.087","   1.937"," 2347"," 1200"," 3700"," 2825","   2.117","  18.121","   5.033","   1.497","   8.820","   2.450"," 35","0"," 32"," 42","   0.677","  10.330","   2.869","  45.000","    0","    0"
"00:53:33:582","217792348130402","  16.096","   1.348"," 1484"," 1200"," 2900"," 1498","   1.111","  19.242","   5.345","   0.415","   9.239","   2.566"," 35","0"," 32"," 36","   0.709","  11.045","   3.068","  45.000","    0","    0"
"00:53:34:586","217794661931758","  17.100","   1.260"," 1455"," 1200"," 2500"," 1467","   0.984","  20.230","   5.620","   0.408","   9.649","   2.680"," 35","0"," 31"," 36","   0.658","  11.706","   3.252","  45.000","    0","    0"
"00:53:35:595","217796985483840","  18.108","   0.893"," 1445"," 1200"," 2500"," 1457","   0.884","  21.122","   5.867","   0.343","   9.995","   2.776"," 35","0"," 32"," 36","   0.653","  12.364","   3.434","  45.000","    0","    0"
"00:53:36:598","217799296475178","  19.111","   1.609"," 2167"," 1200"," 3700"," 2540","   1.735","  22.862","   6.351","   1.044","  11.042","   3.067"," 36","0"," 32"," 42","   0.709","  13.075","   3.632","  45.000","    0","    0"
"00:53:37:604","217801614895172","  20.118","   1.242"," 1518"," 1200"," 2900"," 1535","   0.996","  23.865","   6.629","   0.438","  11.483","   3.190"," 35","0"," 32"," 36","   0.660","  13.740","   3.817","  45.000","    0","    0"
"00:53:38:605","217803921325142","  21.119","   0.937"," 1499"," 1200"," 2500"," 1513","   1.002","  24.868","   6.908","   0.359","  11.842","   3.289"," 36","0"," 31"," 36","   0.700","  14.440","   4.011","  45.000","    0","    0"
"00:53:39:609","217806234496290","  22.123","   0.920"," 1414"," 1200"," 2500"," 1425","   0.871","  25.742","   7.150","   0.322","  12.165","   3.379"," 35","0"," 32"," 36","   0.654","  15.097","   4.194","  45.000","    0","    0"
"00:53:40:610","217808540318756","  23.123","   0.892"," 1457"," 1200"," 2400"," 1495","   0.859","  26.602","   7.389","   0.332","  12.497","   3.471"," 36","0"," 32"," 36","   0.655","  15.753","   4.376","  45.000","    0","    0"
"00:53:41:617","217810861403438","  24.131","   1.834"," 2336"," 1200"," 4400"," 2735","   2.077","  28.694","   7.971","   1.467","  13.974","   3.882"," 35","0"," 32"," 50","   0.664","  16.422","   4.562","  45.000","    0","    0"
"00:53:42:619","217813170878500","  25.133","   1.923"," 2412"," 1200"," 3700"," 2905","   2.263","  30.962","   8.601","   1.538","  15.516","   4.310"," 35","0"," 32"," 43","   0.725","  17.149","   4.763","  45.000","    0","    0"
"00:53:43:622","217815479791688","  26.135","   1.143"," 1487"," 1200"," 3100"," 1494","   0.976","  31.940","   8.872","   0.403","  15.920","   4.422"," 35","0"," 32"," 36","   0.657","  17.807","   4.946","  45.000","    0","    0"
"00:53:44:632","217817807382408","  27.146","   0.858"," 1435"," 1200"," 2500"," 1457","   0.841","  32.790","   9.108","   0.312","  16.235","   4.510"," 35","0"," 32"," 36","   0.650","  18.463","   5.129","  45.000","    0","    0"
