"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:16:11:097","229214476291226","   1.006","   1.753"," 1620"," 1200"," 2900"," 1635","   1.342","   1.350","   0.375","   0.598","   0.602","   0.167"," 36","0"," 32"," 37","   0.730","   0.734","   0.204","  45.000","    0","    0"
"02:16:12:112","229216814319388","   2.020","   1.733"," 1828"," 1200"," 3700"," 2068","   1.446","   2.817","   0.783","   0.836","   1.450","   0.403"," 36","0"," 33"," 45","   0.671","   1.415","   0.393","  45.000","    0","    0"
"02:16:13:121","229219139495480","   3.029","   1.838"," 2390"," 1200"," 3700"," 2920","   2.066","   4.902","   1.362","   1.457","   2.920","   0.811"," 37","0"," 32"," 43","   0.678","   2.099","   0.583","  45.000","    0","    0"
"02:16:14:131","229221467040978","   4.040","   0.919"," 1420"," 1200"," 3000"," 1447","   0.865","   5.776","   1.604","   0.335","   3.259","   0.905"," 36","0"," 33"," 37","   0.653","   2.759","   0.766","  45.000","    0","    0"
"02:16:15:136","229223782929276","   5.045","   0.963"," 1466"," 1200"," 2500"," 1472","   1.025","   6.806","   1.891","   0.366","   3.626","   1.007"," 36","0"," 33"," 37","   0.702","   3.465","   0.962","  45.000","    0","    0"
"02:16:16:147","229226110930604","   6.055","   0.942"," 1527"," 1200"," 2700"," 1552","   0.912","   7.728","   2.147","   0.364","   3.994","   1.109"," 37","0"," 33"," 36","   0.656","   4.128","   1.147","  45.000","    0","    0"
"02:16:17:154","229228431929934","   7.063","   1.032"," 1545"," 1200"," 2800"," 1589","   0.932","   8.666","   2.407","   0.382","   4.379","   1.216"," 36","0"," 32"," 37","   0.657","   4.789","   1.330","  45.000","    0","    0"
"02:16:18:159","229230746324508","   8.067","   0.945"," 1450"," 1200"," 2500"," 1505","   0.869","   9.539","   2.650","   0.333","   4.714","   1.309"," 36","0"," 32"," 36","   0.655","   5.447","   1.513","  45.000","    0","    0"
"02:16:19:160","229233053264812","   9.068","   0.950"," 1463"," 1200"," 2500"," 1469","   1.014","  10.554","   2.932","   0.359","   5.073","   1.409"," 36","0"," 32"," 37","   0.702","   6.151","   1.708","  45.000","    0","    0"
"02:16:20:164","229235368042760","  10.073","   0.841"," 1461"," 1200"," 2500"," 1488","   0.871","  11.430","   3.175","   0.332","   5.406","   1.502"," 36","0"," 32"," 37","   0.652","   6.805","   1.890","  45.000","    0","    0"
"02:16:21:165","229237674478476","  11.074","   1.236"," 1745"," 1200"," 2900"," 1901","   1.115","  12.547","   3.485","   0.547","   5.954","   1.654"," 36","0"," 32"," 37","   0.663","   7.469","   2.075","  45.000","    0","    0"
"02:16:22:174","229239999240154","  12.083","   1.070"," 1586"," 1200"," 2900"," 1633","   0.960","  13.515","   3.754","   0.417","   6.375","   1.771"," 36","0"," 32"," 37","   0.657","   8.132","   2.259","  45.000","    0","    0"
"02:16:23:177","229242308209152","  13.085","   1.704"," 2502"," 1200"," 3700"," 3076","   2.029","  15.548","   4.319","   1.450","   7.828","   2.175"," 36","0"," 32"," 42","   0.674","   8.807","   2.446","  45.000","    0","    0"
"02:16:24:177","229244613180252","  14.086","   1.062"," 1509"," 1200"," 3300"," 1522","   1.054","  16.603","   4.612","   0.382","   8.210","   2.281"," 36","0"," 32"," 37","   0.706","   9.513","   2.642","  45.000","    0","    0"
"02:16:25:178","229246919617294","  15.087","   0.882"," 1427"," 1200"," 2500"," 1427","   0.855","  17.458","   4.849","   0.318","   8.528","   2.369"," 36","0"," 32"," 36","   0.652","  10.166","   2.824","  45.000","    0","    0"
"02:16:26:179","229249226652968","  16.088","   0.937"," 1550"," 1200"," 2700"," 1578","   0.918","  18.377","   5.105","   0.370","   8.898","   2.472"," 36","0"," 32"," 36","   0.658","  10.824","   3.007","  45.000","    0","    0"
"02:16:27:180","229251533089760","  17.089","   1.077"," 1518"," 1200"," 2700"," 1563","   0.951","  19.329","   5.369","   0.385","   9.284","   2.579"," 36","0"," 32"," 37","   0.658","  11.483","   3.190","  45.000","    0","    0"
"02:16:28:190","229253859006906","  18.098","   0.844"," 1411"," 1200"," 2500"," 1428","   0.847","  20.185","   5.607","   0.308","   9.594","   2.665"," 36","0"," 32"," 37","   0.654","  12.144","   3.373","  45.000","    0","    0"
"02:16:29:191","229256166448758","  19.100","   1.809"," 1443"," 1200"," 2500"," 1456","   1.221","  21.408","   5.947","   0.494","  10.088","   2.802"," 36","0"," 32"," 37","   0.768","  12.913","   3.587","  45.000","    0","    0"
"02:16:30:195","229258479889242","  20.104","   0.957"," 1551"," 1200"," 2500"," 1573","   0.914","  22.326","   6.202","   0.374","  10.464","   2.907"," 36","0"," 33"," 36","   0.656","  13.571","   3.770","  45.000","    0","    0"
"02:16:31:197","229260787234454","  21.105","   1.179"," 1563"," 1200"," 2800"," 1593","   1.001","  23.329","   6.480","   0.434","  10.899","   3.027"," 36","0"," 32"," 36","   0.663","  14.235","   3.954","  45.000","    0","    0"
"02:16:32:203","229263105337180","  22.112","   1.062"," 1506"," 1200"," 2700"," 1530","   0.922","  24.256","   6.738","   0.382","  11.283","   3.134"," 36","0"," 32"," 37","   0.655","  14.894","   4.137","  45.000","    0","    0"
"02:16:33:204","229265411712000","  23.113","   1.797"," 2446"," 1200"," 3700"," 3013","   2.073","  26.331","   7.314","   1.472","  12.756","   3.543"," 37","0"," 32"," 42","   0.676","  15.571","   4.325","  45.000","    0","    0"
"02:16:34:205","229267716879922","  24.113","   1.299"," 1565"," 1200"," 3300"," 1584","   1.039","  27.370","   7.603","   0.460","  13.216","   3.671"," 36","0"," 32"," 37","   0.660","  16.231","   4.509","  45.000","    0","    0"
"02:16:35:205","229270022038038","  25.114","   0.869"," 1432"," 1200"," 2500"," 1483","   0.860","  28.231","   7.842","   0.326","  13.542","   3.762"," 36","0"," 32"," 37","   0.655","  16.886","   4.691","  45.000","    0","    0"
"02:16:36:208","229272332483970","  26.116","   1.154"," 1586"," 1200"," 2800"," 1613","   0.983","  29.217","   8.116","   0.429","  13.972","   3.881"," 36","0"," 32"," 36","   0.658","  17.546","   4.874","  45.000","    0","    0"
"02:16:37:214","229274651818358","  27.123","   1.197"," 1601"," 1200"," 2700"," 1635","   1.094","  30.318","   8.422","   0.444","  14.419","   4.005"," 36","0"," 32"," 36","   0.708","  18.259","   5.072","  45.000","    0","    0"
"02:16:38:217","229276961181288","  28.125","   0.934"," 1503"," 1200"," 2500"," 1537","   0.914","  31.235","   8.676","   0.358","  14.778","   4.105"," 36","0"," 32"," 36","   0.655","  18.915","   5.254","  45.000","    0","    0"
"02:16:39:218","229279268902032","  29.127","   1.275"," 1578"," 1200"," 3100"," 1596","   1.159","  32.395","   8.999","   0.473","  15.252","   4.237"," 36","0"," 32"," 38","   0.704","  19.620","   5.450","  45.000","    0","    0"
"02:16:40:226","229281590887016","  30.135","   1.378"," 1799"," 1200"," 2900"," 1882","   1.164","  33.569","   9.325","   0.591","  15.847","   4.402"," 36","0"," 32"," 37","   0.666","  20.291","   5.636","  45.000","    0","    0"
"02:16:41:229","229283900678500","  31.137","   1.005"," 1590"," 1200"," 2800"," 1627","   0.943","  34.515","   9.587","   0.394","  16.242","   4.512"," 36","0"," 32"," 36","   0.658","  20.951","   5.820","  45.000","    0","    0"
"02:16:42:233","229286215900488","  32.142","   1.162"," 1578"," 1200"," 2600"," 1625","   0.999","  35.518","   9.866","   0.435","  16.679","   4.633"," 36","0"," 32"," 36","   0.658","  21.612","   6.003","  45.000","    0","    0"
"02:16:43:240","229288534865120","  33.148","   1.704"," 2444"," 1200"," 3700"," 3013","   2.005","  37.536","  10.427","   1.412","  18.101","   5.028"," 37","0"," 32"," 43","   0.673","  22.289","   6.192","  45.000","    0","    0"
"02:16:44:243","229290847028900","  34.152","   0.979"," 1519"," 1200"," 3300"," 1525","   1.022","  38.562","  10.712","   0.365","  18.467","   5.130"," 36","0"," 32"," 36","   0.703","  22.995","   6.387","  45.000","    0","    0"
"02:16:45:250","229293166341420","  35.159","   0.882"," 1432"," 1200"," 3000"," 1433","   0.870","  39.437","  10.955","   0.329","  18.799","   5.222"," 36","0"," 32"," 36","   0.653","  23.652","   6.570","  45.000","    0","    0"
"02:16:46:256","229295483926926","  36.165","   1.101"," 1553"," 1200"," 3600"," 1566","   1.081","  40.524","  11.257","   0.413","  19.214","   5.337"," 36","0"," 32"," 36","   0.705","  24.362","   6.767","  45.000","    0","    0"
