"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:57:46:709","234964259734628","   1.007","   1.254"," 1553"," 1200"," 2900"," 1570","   1.116","   1.124","   0.312","   0.439","   0.442","   0.123"," 35","0"," 31"," 36","   0.713","   0.718","   0.199","  45.000","    0","    0"
"02:57:47:716","234966579705366","   2.014","   1.480"," 1933"," 1200"," 3700"," 2167","   1.413","   2.547","   0.707","   0.822","   1.271","   0.353"," 36","0"," 31"," 43","   0.665","   1.388","   0.385","  45.000","    0","    0"
"02:57:48:727","234968907946220","   3.024","   1.041"," 1458"," 1200"," 2500"," 1466","   0.916","   3.472","   0.965","   0.363","   1.637","   0.455"," 35","0"," 31"," 36","   0.661","   2.056","   0.571","  45.000","    0","    0"
"02:57:49:734","234971227445810","   4.031","   0.908"," 1412"," 1200"," 2900"," 1421","   0.865","   4.344","   1.207","   0.329","   1.968","   0.547"," 34","0"," 31"," 36","   0.653","   2.713","   0.754","  45.000","    0","    0"
"02:57:50:735","234973535720172","   5.033","   0.906"," 1438"," 1200"," 2700"," 1456","   0.860","   5.205","   1.446","   0.330","   2.299","   0.639"," 35","0"," 31"," 35","   0.654","   3.369","   0.936","  45.000","    0","    0"
"02:57:51:739","234975847688772","   6.036","   1.217"," 1696"," 1200"," 2900"," 1789","   1.044","   6.253","   1.737","   0.498","   2.798","   0.777"," 35","0"," 31"," 36","   0.658","   4.029","   1.119","  45.000","    0","    0"
"02:57:52:741","234978156522844","   7.038","   0.992"," 1584"," 1200"," 2700"," 1614","   1.046","   7.301","   2.028","   0.394","   3.193","   0.887"," 34","0"," 31"," 35","   0.704","   4.734","   1.315","  45.000","    0","    0"
"02:57:53:743","234980466105650","   8.041","   1.826"," 2506"," 1200"," 3700"," 3080","   2.150","   9.456","   2.627","   1.552","   4.749","   1.319"," 35","0"," 31"," 41","   0.678","   5.414","   1.504","  45.000","    0","    0"
"02:57:54:754","234982793948412","   9.051","   0.989"," 1478"," 1200"," 2600"," 1497","   0.911","  10.377","   2.882","   0.362","   5.115","   1.421"," 34","0"," 31"," 36","   0.655","   6.076","   1.688","  45.000","    0","    0"
"02:57:55:763","234985118405132","  10.060","   0.855"," 1415"," 1200"," 2500"," 1419","   0.833","  11.216","   3.116","   0.314","   5.432","   1.509"," 34","0"," 31"," 35","   0.654","   6.736","   1.871","  45.000","    0","    0"
"02:57:56:764","234987425621920","  11.061","   1.061"," 1563"," 1200"," 2800"," 1593","   0.946","  12.164","   3.379","   0.396","   5.829","   1.619"," 34","0"," 31"," 36","   0.655","   7.391","   2.053","  45.000","    0","    0"
"02:57:57:765","234989731298674","  12.062","   1.064"," 1551"," 1200"," 2700"," 1583","   1.043","  13.208","   3.669","   0.401","   6.230","   1.731"," 34","0"," 31"," 36","   0.704","   8.096","   2.249","  45.000","    0","    0"
"02:57:58:766","234992039324220","  13.064","   1.108"," 1440"," 1200"," 2700"," 1453","   0.930","  14.140","   3.928","   0.375","   6.606","   1.835"," 34","0"," 31"," 35","   0.668","   8.765","   2.435","  45.000","    0","    0"
"02:57:59:771","234994353946624","  14.069","   1.681"," 1428"," 1200"," 2500"," 1440","   1.232","  15.377","   4.271","   0.496","   7.105","   1.974"," 34","0"," 31"," 35","   0.764","   9.533","   2.648","  45.000","    0","    0"
"02:58:00:773","234996661779962","  15.070","   0.892"," 1482"," 1200"," 2700"," 1494","   0.901","  16.279","   4.522","   0.338","   7.444","   2.068"," 35","0"," 31"," 35","   0.668","  10.202","   2.834","  45.000","    0","    0"
"02:58:01:781","234998984936114","  16.078","   1.003"," 1497"," 1200"," 2600"," 1527","   0.921","  17.208","   4.780","   0.367","   7.814","   2.171"," 34","0"," 31"," 35","   0.662","  10.869","   3.019","  45.000","    0","    0"
"02:58:02:788","235001305093710","  17.085","   1.097"," 1596"," 1200"," 3200"," 1626","   1.076","  18.291","   5.081","   0.427","   8.244","   2.290"," 34","0"," 31"," 35","   0.704","  11.578","   3.216","  45.000","    0","    0"
"02:58:03:789","235003611868914","  18.087","   2.447"," 2434"," 1200"," 3800"," 2994","   2.521","  20.815","   5.782","   1.869","  10.115","   2.810"," 35","0"," 31"," 42","   0.690","  12.269","   3.408","  45.000","    0","    0"
"02:58:04:790","235005917832786","  19.088","   1.299"," 1580"," 1200"," 3600"," 1584","   1.026","  21.841","   6.067","   0.456","  10.571","   2.936"," 34","0"," 31"," 36","   0.660","  12.930","   3.592","  45.000","    0","    0"
"02:58:05:792","235008226118400","  20.089","   0.906"," 1455"," 1200"," 2500"," 1470","   0.877","  22.720","   6.311","   0.333","  10.904","   3.029"," 34","0"," 31"," 35","   0.654","  13.585","   3.774","  45.000","    0","    0"
"02:58:06:799","235010546662738","  21.097","   1.010"," 1585"," 1200"," 2900"," 1617","   0.933","  23.660","   6.572","   0.401","  11.309","   3.141"," 34","0"," 31"," 36","   0.654","  14.244","   3.957","  45.000","    0","    0"
"02:58:07:801","235012854809088","  22.098","   1.216"," 1618"," 1200"," 2700"," 1640","   1.142","  24.803","   6.890","   0.470","  11.780","   3.272"," 34","0"," 31"," 36","   0.705","  14.950","   4.153","  45.000","    0","    0"
"02:58:08:802","235015160509996","  23.099","   0.908"," 1454"," 1200"," 2700"," 1468","   0.872","  25.676","   7.132","   0.334","  12.114","   3.365"," 35","0"," 31"," 35","   0.656","  15.607","   4.335","  45.000","    0","    0"
"02:58:09:802","235017465709114","  24.100","   1.779"," 1577"," 1200"," 2500"," 1594","   1.192","  26.869","   7.464","   0.584","  12.698","   3.527"," 35","0"," 31"," 36","   0.665","  16.272","   4.520","  45.000","    0","    0"
"02:58:10:810","235019788512462","  25.108","   4.664"," 1630"," 1200"," 3600"," 1646","   2.216","  29.104","   8.084","   1.385","  14.094","   3.915"," 35","0"," 31"," 38","   0.731","  17.009","   4.725","  45.000","    0","    0"
"02:58:11:819","235022113845402","  26.117","   1.146"," 1509"," 1200"," 2900"," 1528","   0.945","  30.057","   8.349","   0.400","  14.497","   4.027"," 35","0"," 31"," 36","   0.658","  17.673","   4.909","  45.000","    0","    0"
"02:58:12:822","235024423223674","  27.119","   0.920"," 1506"," 1200"," 2900"," 1531","   0.891","  30.950","   8.597","   0.352","  14.850","   4.125"," 34","0"," 31"," 36","   0.656","  18.330","   5.092","  45.000","    0","    0"
"02:58:13:827","235026740354294","  28.125","   1.779"," 2467"," 1200"," 3700"," 2985","   2.072","  33.034","   9.176","   1.467","  16.325","   4.535"," 36","0"," 31"," 41","   0.673","  19.007","   5.280","  45.000","    0","    0"
"02:58:14:831","235029052216942","  29.128","   0.925"," 1411"," 1200"," 3400"," 1415","   0.852","  33.889","   9.414","   0.317","  16.643","   4.623"," 34","0"," 31"," 35","   0.656","  19.665","   5.462","  45.000","    0","    0"

"Total Elapsed Time (sec) = 29.128362"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 33.888855"
"Cumulative Package Energy_0 (mWh) = 9.413571"
"Average Package Power_0 (Watt) = 1.163432"

"Cumulative IA Energy_0 (Joules) = 16.642700"
"Cumulative IA Energy_0 (mWh) = 4.622972"
"Average Package IA_0 (Watt) = 0.571357"

"Cumulative DRAM Energy_0 (Joules) = 19.664917"
"Cumulative DRAM Energy_0 (mWh) = 5.462477"
"Average Package DRAM_0 (Watt) = 0.675112"
