"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:12:26:768","203814598137114","   1.003","   1.168"," 1597"," 1200"," 2900"," 1649","   1.128","   1.132","   0.314","   0.448","   0.450","   0.125"," 38","0"," 35"," 39","   0.713","   0.715","   0.199","  45.000","    0","    0"
"23:12:27:782","203816934126468","   2.017","   1.579"," 1868"," 1200"," 3700"," 2095","   1.395","   2.546","   0.707","   0.805","   1.266","   0.352"," 38","0"," 35"," 45","   0.666","   1.390","   0.386","  45.000","    0","    0"
"23:12:28:790","203819255107788","   3.024","   1.806"," 1373"," 1200"," 2500"," 1378","   1.127","   3.681","   1.023","   0.480","   1.749","   0.486"," 38","0"," 35"," 39","   0.731","   2.127","   0.591","  45.000","    0","    0"
"23:12:29:800","203821582133440","   4.034","   1.076"," 1495"," 1200"," 2500"," 1514","   0.934","   4.625","   1.285","   0.382","   2.135","   0.593"," 38","0"," 35"," 39","   0.659","   2.792","   0.776","  45.000","    0","    0"
"23:12:30:808","203823905797476","   5.043","   1.113"," 1517"," 1200"," 2700"," 1544","   1.068","   5.703","   1.584","   0.398","   2.536","   0.704"," 37","0"," 34"," 39","   0.707","   3.505","   0.973","  45.000","    0","    0"
"23:12:31:814","203826223328452","   6.049","   4.171"," 3259"," 1200"," 4500"," 3552","   6.718","  12.460","   3.461","   5.909","   8.479","   2.355"," 45","0"," 35"," 54","   0.721","   4.229","   1.175","  45.000","    0","    0"
"23:12:32:823","203828548785704","   7.058","   6.397"," 3766"," 1200"," 4600"," 3959","  14.033","  26.624","   7.396","  12.959","  21.559","   5.989"," 41","0"," 37"," 58","   0.754","   4.990","   1.386","  45.000","  350","  333"
"23:12:33:825","203830855949170","   8.060","   2.365"," 2488"," 1200"," 4400"," 2895","   2.927","  29.555","   8.210","   2.261","  23.822","   6.617"," 39","0"," 35"," 57","   0.700","   5.691","   1.581","  45.000","  350","  333"
"23:12:34:833","203833178016096","   9.067","   3.010"," 1782"," 1200"," 3700"," 1974","   1.957","  31.527","   8.758","   1.267","  25.100","   6.972"," 39","0"," 35"," 47","   0.681","   6.378","   1.772","  45.000","  350","  333"
"23:12:35:838","203835494978844","  10.073","   1.254"," 1452"," 1200"," 2800"," 1464","   1.003","  32.536","   9.038","   0.401","  25.503","   7.084"," 39","0"," 35"," 39","   0.680","   7.062","   1.962","  45.000","    0","    0"
