"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:06:38:573","410370089229820","   1.005","   1.393"," 1599"," 1200"," 2900"," 1619","   1.226","   1.232","   0.342","   0.514","   0.517","   0.144"," 39","0"," 35"," 39","   0.723","   0.727","   0.202","  45.000","    0","    0"
"00:06:39:585","410372422165700","   2.018","   1.523"," 1839"," 1200"," 3700"," 2073","   1.384","   2.633","   0.731","   0.784","   1.310","   0.364"," 39","0"," 35"," 46","   0.669","   1.405","   0.390","  45.000","    0","    0"
"00:06:40:588","410374732371670","   3.020","   1.173"," 1493"," 1200"," 2500"," 1502","   1.098","   3.734","   1.037","   0.414","   1.726","   0.479"," 39","0"," 35"," 39","   0.716","   2.122","   0.590","  45.000","    0","    0"
"00:06:41:590","410377039428608","   4.022","   1.038"," 1437"," 1200"," 2500"," 1444","   0.902","   4.637","   1.288","   0.352","   2.078","   0.577"," 38","0"," 35"," 39","   0.658","   2.781","   0.773","  45.000","    0","    0"
"00:06:42:590","410379345638614","   5.023","   1.078"," 1507"," 1200"," 2500"," 1532","   0.935","   5.573","   1.548","   0.385","   2.464","   0.684"," 39","0"," 35"," 39","   0.661","   3.443","   0.956","  45.000","    0","    0"
"00:06:43:600","410381672521036","   6.033","   1.115"," 1567"," 1200"," 2900"," 1582","   0.987","   6.570","   1.825","   0.424","   2.892","   0.803"," 38","0"," 34"," 39","   0.663","   4.112","   1.142","  45.000","    0","    0"
"00:06:44:610","410383999759670","   7.043","   1.041"," 1520"," 1200"," 2500"," 1548","   1.057","   7.638","   2.122","   0.389","   3.285","   0.913"," 38","0"," 34"," 39","   0.707","   4.827","   1.341","  45.000","    0","    0"
"00:06:45:611","410386304667488","   8.043","   0.970"," 1530"," 1200"," 2500"," 1549","   0.927","   8.565","   2.379","   0.373","   3.658","   1.016"," 39","0"," 34"," 39","   0.661","   5.488","   1.524","  45.000","    0","    0"
"00:06:46:621","410388632706422","   9.053","   1.879"," 2399"," 1200"," 3700"," 3012","   2.040","  10.627","   2.952","   1.452","   5.125","   1.424"," 39","0"," 34"," 46","   0.682","   6.177","   1.716","  45.000","    0","    0"
"00:06:47:632","410390960777328","  10.064","   1.334"," 1757"," 1200"," 3000"," 1827","   1.292","  11.932","   3.315","   0.614","   5.746","   1.596"," 39","0"," 34"," 39","   0.713","   6.898","   1.916","  45.000","    0","    0"
"00:06:48:640","410393282904378","  11.072","   1.138"," 1547"," 1200"," 2900"," 1559","   0.988","  12.928","   3.591","   0.420","   6.169","   1.714"," 39","0"," 34"," 39","   0.664","   7.568","   2.102","  45.000","    0","    0"
"00:06:49:648","410395605285198","  12.080","   0.968"," 1420"," 1200"," 2500"," 1427","   0.875","  13.810","   3.836","   0.327","   6.499","   1.805"," 38","0"," 34"," 39","   0.658","   8.231","   2.286","  45.000","    0","    0"
"00:06:50:649","410397912740018","  13.081","   1.139"," 1556"," 1200"," 2500"," 1572","   1.097","  14.908","   4.141","   0.421","   6.920","   1.922"," 39","0"," 34"," 39","   0.711","   8.943","   2.484","  45.000","    0","    0"
"00:06:51:656","410400231681420","  14.088","   0.975"," 1410"," 1200"," 2400"," 1423","   0.878","  15.792","   4.387","   0.332","   7.254","   2.015"," 38","0"," 35"," 39","   0.657","   9.605","   2.668","  45.000","    0","    0"
"00:06:52:656","410402536998098","  15.088","   1.372"," 1591"," 1200"," 2800"," 1613","   1.236","  17.029","   4.730","   0.486","   7.740","   2.150"," 39","0"," 34"," 39","   0.754","  10.359","   2.877","  45.000","    0","    0"
"00:06:53:657","410404843181952","  16.089","   2.467"," 1487"," 1200"," 2800"," 1498","   1.377","  18.407","   5.113","   0.698","   8.439","   2.344"," 38","0"," 34"," 39","   0.678","  11.038","   3.066","  45.000","    0","    0"
"00:06:54:667","410407171051090","  17.100","   0.924"," 1463"," 1200"," 2400"," 1478","   0.886","  19.302","   5.362","   0.344","   8.787","   2.441"," 38","0"," 34"," 39","   0.657","  11.701","   3.250","  45.000","    0","    0"
"00:06:55:669","410409478783426","  18.101","   1.936"," 1451"," 1200"," 2500"," 1460","   1.305","  20.610","   5.725","   0.554","   9.342","   2.595"," 37","0"," 34"," 39","   0.780","  12.482","   3.467","  45.000","    0","    0"
"00:06:56:677","410411802049404","  19.110","   1.924"," 2374"," 1200"," 3700"," 2906","   2.218","  22.846","   6.346","   1.497","  10.852","   3.014"," 38","0"," 34"," 46","   0.727","  13.216","   3.671","  45.000","    0","    0"
"00:06:57:688","410414129910436","  20.120","   1.019"," 1533"," 1200"," 2900"," 1562","   0.930","  23.786","   6.607","   0.383","  11.238","   3.122"," 37","0"," 34"," 39","   0.658","  13.881","   3.856","  45.000","    0","    0"
"00:06:58:698","410416457861266","  21.130","   1.135"," 1534"," 1200"," 2900"," 1553","   0.985","  24.780","   6.883","   0.416","  11.658","   3.238"," 37","0"," 34"," 39","   0.663","  14.551","   4.042","  45.000","    0","    0"
"00:06:59:700","410418764898988","  22.132","   1.129"," 1487"," 1200"," 2500"," 1500","   0.965","  25.746","   7.152","   0.408","  12.067","   3.352"," 37","0"," 34"," 39","   0.663","  15.215","   4.226","  45.000","    0","    0"
"00:07:00:701","410421072170122","  23.133","   1.261"," 1519"," 1200"," 2500"," 1535","   1.025","  26.773","   7.437","   0.417","  12.484","   3.468"," 37","0"," 34"," 39","   0.685","  15.900","   4.417","  45.000","    0","    0"
"00:07:01:707","410423391255162","  24.140","   1.072"," 1521"," 1200"," 2500"," 1538","   1.065","  27.845","   7.735","   0.402","  12.889","   3.580"," 38","0"," 33"," 39","   0.706","  16.611","   4.614","  45.000","    0","    0"
"00:07:02:716","410425715269466","  25.148","   1.040"," 1535"," 1200"," 2800"," 1557","   0.928","  28.782","   7.995","   0.378","  13.270","   3.686"," 37","0"," 33"," 38","   0.660","  17.276","   4.799","  45.000","    0","    0"
"00:07:03:719","410428026415608","  26.151","   1.228"," 1533"," 1200"," 2900"," 1550","   1.010","  29.795","   8.276","   0.438","  13.710","   3.808"," 37","0"," 33"," 38","   0.665","  17.943","   4.984","  45.000","    0","    0"
"00:07:04:727","410430347905268","  27.159","   1.754"," 1678"," 1200"," 3100"," 1712","   1.280","  31.085","   8.635","   0.665","  14.379","   3.994"," 37","0"," 34"," 40","   0.668","  18.616","   5.171","  45.000","    0","    0"
"00:07:05:731","410432660737668","  28.163","   1.126"," 1502"," 1200"," 2500"," 1512","   0.947","  32.036","   8.899","   0.390","  14.771","   4.103"," 37","0"," 34"," 39","   0.662","  19.281","   5.356","  45.000","    0","    0"
"00:07:06:731","410434965572844","  29.163","   2.090"," 2307"," 1200"," 3700"," 2745","   2.248","  34.285","   9.524","   1.621","  16.392","   4.553"," 38","0"," 34"," 45","   0.685","  19.965","   5.546","  45.000","    0","    0"
