"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:34:41:573","430836293069454","   1.000","   1.310"," 1598"," 1200"," 2500"," 1626","   1.169","   1.169","   0.325","   0.480","   0.480","   0.133"," 36","0"," 33"," 37","   0.718","   0.718","   0.200","  45.000","    0","    0"
"02:34:42:589","430838634743520","   2.017","   1.747"," 1893"," 1200"," 3700"," 2093","   1.502","   2.696","   0.749","   0.872","   1.367","   0.380"," 36","0"," 33"," 46","   0.677","   1.406","   0.391","  45.000","    0","    0"
"02:34:43:593","430840947379136","   3.021","   1.224"," 1582"," 1200"," 2700"," 1614","   1.131","   3.832","   1.064","   0.450","   1.818","   0.505"," 37","0"," 33"," 37","   0.714","   2.123","   0.590","  45.000","    0","    0"
"02:34:44:594","430843254152324","   4.022","   0.948"," 1511"," 1200"," 2500"," 1525","   0.916","   4.748","   1.319","   0.364","   2.182","   0.606"," 36","0"," 32"," 37","   0.659","   2.783","   0.773","  45.000","    0","    0"
"02:34:45:595","430845560044526","   5.023","   0.911"," 1465"," 1200"," 2500"," 1488","   0.878","   5.627","   1.563","   0.331","   2.514","   0.698"," 37","0"," 33"," 37","   0.657","   3.441","   0.956","  45.000","    0","    0"
"02:34:46:596","430847865195012","   6.023","   1.059"," 1512"," 1200"," 2700"," 1539","   0.940","   6.568","   1.824","   0.379","   2.893","   0.804"," 36","0"," 33"," 38","   0.663","   4.104","   1.140","  45.000","    0","    0"
"02:34:47:599","430850175887564","   7.026","   1.528"," 2029"," 1200"," 3700"," 2249","   1.434","   8.006","   2.224","   0.836","   3.732","   1.037"," 37","0"," 32"," 42","   0.670","   4.775","   1.326","  45.000","    0","    0"
"02:34:48:599","430852480897714","   8.026","   1.342"," 1760"," 1200"," 3000"," 1919","   1.265","   9.271","   2.575","   0.587","   4.319","   1.200"," 39","0"," 33"," 39","   0.715","   5.491","   1.525","  45.000","    0","    0"
"02:34:49:599","430854785767756","   9.027","   1.561"," 2420"," 1200"," 3700"," 2957","   1.902","  11.174","   3.104","   1.309","   5.628","   1.563"," 36","0"," 33"," 44","   0.674","   6.165","   1.713","  45.000","    0","    0"
"02:34:50:600","430857090844164","  10.027","   1.001"," 1507"," 1200"," 2500"," 1532","   0.898","  12.072","   3.353","   0.346","   5.974","   1.660"," 37","0"," 33"," 37","   0.659","   6.825","   1.896","  45.000","    0","    0"
"02:34:51:605","430859407847620","  11.033","   1.185"," 1718"," 1200"," 3200"," 1913","   1.213","  13.292","   3.692","   0.531","   6.508","   1.808"," 36","0"," 33"," 39","   0.708","   7.537","   2.094","  45.000","    0","    0"
"02:34:52:613","430861729601924","  12.041","   1.202"," 1659"," 1200"," 2600"," 1688","   1.056","  14.356","   3.988","   0.470","   6.982","   1.939"," 36","0"," 33"," 37","   0.667","   8.209","   2.280","  45.000","    0","    0"
"02:34:53:617","430864042630054","  13.044","   1.162"," 1632"," 1200"," 2700"," 1661","   1.135","  15.496","   4.304","   0.455","   7.439","   2.066"," 36","0"," 33"," 37","   0.712","   8.924","   2.479","  45.000","    0","    0"
"02:34:54:618","430866348670704","  14.045","   0.979"," 1424"," 1200"," 2500"," 1451","   0.897","  16.394","   4.554","   0.347","   7.786","   2.163"," 36","0"," 33"," 37","   0.657","   9.581","   2.661","  45.000","    0","    0"
"02:34:55:626","430868671371966","  15.053","   1.805"," 1475"," 1200"," 2500"," 1491","   1.267","  17.671","   4.909","   0.530","   8.321","   2.311"," 36","0"," 33"," 37","   0.777","  10.364","   2.879","  45.000","    0","    0"
"02:34:56:627","430870977200256","  16.054","   1.041"," 1542"," 1200"," 2500"," 1569","   0.964","  18.636","   5.177","   0.401","   8.722","   2.423"," 37","0"," 33"," 37","   0.661","  11.026","   3.063","  45.000","    0","    0"
"02:34:57:627","430873281957042","  17.055","   1.256"," 1772"," 1200"," 3300"," 1941","   1.153","  19.789","   5.497","   0.564","   9.286","   2.580"," 36","0"," 33"," 41","   0.665","  11.692","   3.248","  45.000","    0","    0"
"02:34:58:628","430875587542982","  18.055","   1.341"," 1913"," 1200"," 3600"," 2151","   1.241","  21.030","   5.842","   0.669","   9.956","   2.766"," 36","0"," 32"," 39","   0.663","  12.356","   3.432","  45.000","    0","    0"
"02:34:59:638","430877914610432","  19.065","   2.320"," 2663"," 1200"," 4400"," 3221","   2.888","  23.947","   6.652","   2.232","  12.211","   3.392"," 36","0"," 33"," 45","   0.686","  13.048","   3.624","  45.000","    0","    0"
