"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:33:40:365","438989730783730","   1.008","   1.321"," 1537"," 1200"," 2500"," 1547","   1.161","   1.170","   0.325","   0.467","   0.471","   0.131"," 36","0"," 32"," 36","   0.719","   0.725","   0.201","  45.000","    0","    0"
"03:33:41:378","438992064049896","   2.021","   1.485"," 1938"," 1200"," 3700"," 2141","   1.453","   2.642","   0.734","   0.837","   1.319","   0.366"," 36","0"," 32"," 43","   0.679","   1.413","   0.392","  45.000","    0","    0"
"03:33:42:381","438994375422432","   3.024","   1.056"," 1412"," 1200"," 2500"," 1417","   0.910","   3.555","   0.987","   0.354","   1.674","   0.465"," 36","0"," 32"," 36","   0.662","   2.077","   0.577","  45.000","    0","    0"
"03:33:43:383","438996683601372","   4.026","   1.293"," 1504"," 1200"," 2600"," 1521","   1.104","   4.661","   1.295","   0.440","   2.114","   0.587"," 36","0"," 32"," 36","   0.708","   2.787","   0.774","  45.000","    0","    0"
"03:33:44:383","438998989465490","   5.027","   1.127"," 1577"," 1200"," 2600"," 1611","   1.083","   5.745","   1.596","   0.423","   2.538","   0.705"," 36","0"," 32"," 36","   0.709","   3.496","   0.971","  45.000","    0","    0"
"03:33:45:392","439001313200988","   6.035","   0.967"," 1452"," 1200"," 2500"," 1464","   0.909","   6.662","   1.851","   0.352","   2.893","   0.804"," 36","0"," 32"," 36","   0.660","   4.161","   1.156","  45.000","    0","    0"
"03:33:46:397","439003629431100","   7.041","   1.058"," 1570"," 1200"," 2500"," 1582","   0.963","   7.630","   2.119","   0.404","   3.299","   0.916"," 36","0"," 32"," 36","   0.662","   4.827","   1.341","  45.000","    0","    0"
"03:33:47:407","439005956711054","   8.051","   0.934"," 1467"," 1200"," 2500"," 1482","   0.889","   8.528","   2.369","   0.351","   3.654","   1.015"," 35","0"," 32"," 36","   0.659","   5.493","   1.526","  45.000","    0","    0"
"03:33:48:414","439008276800680","   9.058","   2.323"," 2433"," 1200"," 3700"," 2887","   2.517","  11.063","   3.073","   1.768","   5.434","   1.509"," 36","0"," 32"," 41","   0.739","   6.237","   1.733","  45.000","    0","    0"
"03:33:49:419","439010592400090","  10.063","   1.056"," 1523"," 1200"," 2800"," 1537","   0.945","  12.012","   3.337","   0.394","   5.829","   1.619"," 36","0"," 32"," 36","   0.660","   6.900","   1.917","  45.000","    0","    0"
