"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:19:25:428","395548303498564","   1.009","   2.049"," 1506"," 1200"," 3000"," 1524","   1.392","   1.405","   0.390","   0.605","   0.611","   0.170"," 36","0"," 32"," 36","   0.790","   0.798","   0.222","  45.000","    0","    0"
"22:19:26:443","395550642954988","   2.025","   1.817"," 1876"," 1200"," 3700"," 2031","   1.622","   3.052","   0.848","   0.897","   1.521","   0.423"," 35","0"," 32"," 41","   0.722","   1.531","   0.425","  45.000","    0","    0"
"22:19:27:445","395552951023996","   3.026","   1.205"," 1488"," 1200"," 3000"," 1501","   0.980","   4.034","   1.121","   0.412","   1.934","   0.537"," 36","0"," 32"," 36","   0.667","   2.199","   0.611","  45.000","    0","    0"
"22:19:28:446","395555257207552","   4.027","   1.144"," 1504"," 1200"," 2800"," 1536","   0.969","   5.004","   1.390","   0.408","   2.342","   0.651"," 36","0"," 32"," 36","   0.662","   2.862","   0.795","  45.000","    0","    0"
"22:19:29:447","395557564108566","   5.029","   1.313"," 1802"," 1200"," 3700"," 1989","   1.342","   6.348","   1.763","   0.648","   2.991","   0.831"," 35","0"," 32"," 41","   0.710","   3.573","   0.992","  45.000","    0","    0"
"22:19:30:456","395559888055382","   6.037","   1.080"," 1547"," 1200"," 2600"," 1571","   0.959","   7.315","   2.032","   0.401","   3.395","   0.943"," 36","0"," 32"," 36","   0.660","   4.239","   1.177","  45.000","    0","    0"
"22:19:31:458","395562197853312","   7.040","   0.935"," 1445"," 1200"," 2500"," 1453","   0.873","   8.190","   2.275","   0.333","   3.730","   1.036"," 36","0"," 31"," 36","   0.657","   4.898","   1.360","  45.000","    0","    0"
"22:19:32:465","395564517233920","   8.046","   1.080"," 1513"," 1200"," 2600"," 1531","   0.941","   9.137","   2.538","   0.384","   4.117","   1.143"," 36","0"," 32"," 36","   0.661","   5.563","   1.545","  45.000","    0","    0"
"22:19:33:471","395566835803516","   9.053","   2.171"," 2371"," 1200"," 3700"," 2814","   2.278","  11.429","   3.175","   1.646","   5.773","   1.604"," 36","0"," 31"," 41","   0.683","   6.250","   1.736","  45.000","    0","    0"
"22:19:34:472","395569141779254","  10.054","   1.459"," 1492"," 1200"," 3400"," 1508","   1.049","  12.479","   3.466","   0.469","   6.242","   1.734"," 36","0"," 32"," 36","   0.666","   6.917","   1.921","  45.000","    0","    0"
"22:19:35:475","395571453064804","  11.057","   1.421"," 1602"," 1200"," 2700"," 1621","   1.205","  13.688","   3.802","   0.512","   6.756","   1.877"," 35","0"," 32"," 36","   0.713","   7.633","   2.120","  45.000","    0","    0"
"22:19:36:481","395573769335066","  12.062","   1.126"," 1516"," 1200"," 2500"," 1535","   0.948","  14.641","   4.067","   0.395","   7.153","   1.987"," 36","0"," 32"," 36","   0.660","   8.297","   2.305","  45.000","    0","    0"
"22:19:37:487","395576087947844","  13.068","   1.158"," 1598"," 1200"," 2900"," 1617","   1.097","  15.745","   4.373","   0.435","   7.591","   2.109"," 36","0"," 32"," 36","   0.710","   9.011","   2.503","  45.000","    0","    0"
"22:19:38:489","395578395585114","  14.070","   1.235"," 1565"," 1200"," 2700"," 1586","   1.000","  16.746","   4.652","   0.436","   8.028","   2.230"," 36","0"," 32"," 36","   0.662","   9.674","   2.687","  45.000","    0","    0"
"22:19:39:489","395580701092274","  15.071","   1.458"," 2235"," 1200"," 4400"," 2619","   1.773","  18.521","   5.145","   1.176","   9.204","   2.557"," 36","0"," 32"," 51","   0.663","  10.338","   2.872","  45.000","    0","    0"
"22:19:40:490","395583006333838","  16.071","   1.119"," 1535"," 1200"," 2600"," 1550","   1.071","  19.592","   5.442","   0.412","   9.616","   2.671"," 35","0"," 32"," 36","   0.709","  11.047","   3.069","  45.000","    0","    0"
"22:19:41:490","395585311405088","  17.072","   0.954"," 1407"," 1200"," 2400"," 1412","   0.873","  20.465","   5.685","   0.331","   9.948","   2.763"," 36","0"," 32"," 36","   0.656","  11.704","   3.251","  45.000","    0","    0"
"22:19:42:494","395587624880886","  18.076","   1.079"," 1593"," 1200"," 3000"," 1614","   1.088","  21.558","   5.988","   0.425","  10.375","   2.882"," 35","0"," 32"," 36","   0.710","  12.417","   3.449","  45.000","    0","    0"
"22:19:43:502","395589946108704","  19.083","   1.978"," 2460"," 1200"," 4100"," 3013","   2.195","  23.770","   6.603","   1.596","  11.983","   3.329"," 36","0"," 32"," 42","   0.684","  13.106","   3.641","  45.000","    0","    0"
"22:19:44:512","395592273685682","  20.093","   1.055"," 1509"," 1200"," 2800"," 1530","   0.937","  24.717","   6.866","   0.382","  12.369","   3.436"," 35","0"," 32"," 36","   0.662","  13.775","   3.826","  45.000","    0","    0"
"22:19:45:522","395594601644810","  21.104","   1.160"," 1578"," 1200"," 3200"," 1584","   1.111","  25.839","   7.178","   0.445","  12.819","   3.561"," 35","0"," 32"," 36","   0.709","  14.491","   4.025","  45.000","    0","    0"
"22:19:46:528","395596917753782","  22.109","   1.209"," 1533"," 1200"," 2500"," 1545","   1.111","  26.956","   7.488","   0.432","  13.254","   3.682"," 36","0"," 32"," 36","   0.709","  15.204","   4.223","  45.000","    0","    0"
"22:19:47:529","395599224105468","  23.110","   1.282"," 1723"," 1200"," 3000"," 1778","   1.125","  28.083","   7.801","   0.558","  13.813","   3.837"," 36","0"," 31"," 36","   0.664","  15.869","   4.408","  45.000","    0","    0"
"22:19:48:531","395601532671412","  24.112","   1.046"," 1541"," 1200"," 2900"," 1563","   0.942","  29.027","   8.063","   0.400","  14.213","   3.948"," 35","0"," 32"," 36","   0.659","  16.529","   4.591","  45.000","    0","    0"
"22:19:49:537","395603850738650","  25.118","   1.125"," 1655"," 1200"," 3600"," 1711","   1.024","  30.058","   8.349","   0.471","  14.687","   4.080"," 36","0"," 32"," 40","   0.658","  17.191","   4.775","  45.000","    0","    0"
"22:19:50:543","395606169380026","  26.125","   1.033"," 1493"," 1200"," 2500"," 1511","   0.919","  30.983","   8.606","   0.365","  15.054","   4.182"," 36","0"," 32"," 36","   0.660","  17.855","   4.960","  45.000","    0","    0"
"22:19:51:552","395608494990426","  27.134","   0.959"," 1407"," 1200"," 2500"," 1414","   0.869","  31.859","   8.850","   0.330","  15.387","   4.274"," 36","0"," 31"," 36","   0.657","  18.518","   5.144","  45.000","    0","    0"
"22:19:52:562","395610820131130","  28.143","   1.011"," 1584"," 1200"," 2800"," 1626","   0.955","  32.823","   9.118","   0.397","  15.787","   4.385"," 36","0"," 32"," 36","   0.659","  19.184","   5.329","  45.000","    0","    0"
"22:19:53:572","395613147374774","  29.153","   2.801"," 2926"," 1200"," 3800"," 3707","   3.508","  36.367","  10.102","   2.845","  18.661","   5.184"," 36","0"," 31"," 45","   0.729","  19.920","   5.533","  45.000","    0","    0"
"22:19:54:572","395615452309344","  30.154","   1.026"," 1491"," 1200"," 3100"," 1499","   0.927","  37.295","  10.360","   0.374","  19.034","   5.287"," 36","0"," 32"," 36","   0.658","  20.579","   5.716","  45.000","    0","    0"

"Total Elapsed Time (sec) = 30.153550"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 37.294861"
"Cumulative Package Energy_0 (mWh) = 10.359684"
"Average Package Power_0 (Watt) = 1.236832"

"Cumulative IA Energy_0 (Joules) = 19.034424"
"Cumulative IA Energy_0 (mWh) = 5.287340"
"Average Package IA_0 (Watt) = 0.631250"

"Cumulative DRAM Energy_0 (Joules) = 20.578613"
"Cumulative DRAM Energy_0 (mWh) = 5.716281"
"Average Package DRAM_0 (Watt) = 0.682461"
