"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:58:47:866","148821688372828","   1.004","   2.146"," 2374"," 1200"," 3700"," 2830","   2.311","   2.320","   0.644","   1.587","   1.593","   0.443"," 31","0"," 28"," 37","   0.722","   0.725","   0.201","  45.000","    0","    0"
"03:58:48:873","148824009278620","   2.011","   1.733"," 1939"," 1200"," 3700"," 2180","   1.701","   4.034","   1.120","   0.910","   2.510","   0.697"," 31","0"," 28"," 40","   0.713","   1.443","   0.401","  45.000","    0","    0"
"03:58:49:874","148826314494190","   3.012","   1.076"," 1459"," 1200"," 2600"," 1471","   0.938","   4.972","   1.381","   0.355","   2.865","   0.796"," 30","0"," 27"," 31","   0.663","   2.106","   0.585","  45.000","    0","    0"
"03:58:50:875","148828620155514","   4.012","   2.130"," 2338"," 1200"," 3800"," 2492","   2.370","   7.344","   2.040","   1.551","   4.417","   1.227"," 31","0"," 27"," 38","   0.716","   2.823","   0.784","  45.000","    0","    0"
"03:58:51:885","148830947384922","   5.022","   1.063"," 1529"," 1200"," 2800"," 1558","   0.984","   8.338","   2.316","   0.383","   4.804","   1.334"," 31","0"," 27"," 32","   0.663","   3.492","   0.970","  45.000","  350","  333"
"03:58:52:894","148833273712288","   6.032","   0.909"," 1487"," 1200"," 2500"," 1502","   0.962","   9.309","   2.586","   0.329","   5.136","   1.427"," 31","0"," 28"," 32","   0.665","   4.164","   1.157","  45.000","  350","  333"
"03:58:53:902","148835595887426","   7.040","   1.080"," 1543"," 1200"," 2500"," 1555","   0.987","  10.304","   2.862","   0.395","   5.534","   1.537"," 31","0"," 27"," 31","   0.662","   4.831","   1.342","  45.000","  350","  333"
"03:58:54:910","148837916476026","   8.047","   1.022"," 1509"," 1200"," 2500"," 1522","   0.941","  11.252","   3.126","   0.357","   5.894","   1.637"," 31","0"," 27"," 31","   0.661","   5.497","   1.527","  45.000","  350","  333"
"03:58:55:912","148840225909582","   9.050","   1.048"," 1516"," 1200"," 2700"," 1555","   1.051","  12.305","   3.418","   0.377","   6.271","   1.742"," 30","0"," 27"," 31","   0.674","   6.173","   1.715","  45.000","    0","    0"
"03:58:56:921","148842550037538","  10.058","   1.082"," 1606"," 1200"," 2800"," 1628","   1.087","  13.401","   3.723","   0.423","   6.698","   1.860"," 31","0"," 27"," 31","   0.693","   6.872","   1.909","  45.000","    0","    0"
"03:58:57:928","148844871105984","  11.066","   1.945"," 2396"," 1200"," 3700"," 2899","   2.199","  15.617","   4.338","   1.501","   8.210","   2.280"," 31","0"," 28"," 38","   0.686","   7.563","   2.101","  45.000","    0","    0"
"03:58:58:935","148847191135704","  12.073","   1.053"," 1560"," 1200"," 2600"," 1584","   0.967","  16.591","   4.609","   0.388","   8.600","   2.389"," 30","0"," 27"," 31","   0.655","   8.222","   2.284","  45.000","    0","    0"
"03:58:59:936","148849498162368","  13.074","   1.048"," 1531"," 1200"," 2500"," 1536","   1.052","  17.644","   4.901","   0.367","   8.968","   2.491"," 31","0"," 27"," 31","   0.697","   8.919","   2.478","  45.000","    0","    0"
"03:59:00:938","148851805145376","  14.075","   2.075"," 2319"," 1200"," 3800"," 2426","   2.207","  19.854","   5.515","   1.469","  10.438","   2.900"," 31","0"," 27"," 37","   0.689","   9.609","   2.669","  45.000","    0","    0"
"03:59:01:947","148854130974684","  15.085","   1.483"," 1542"," 1200"," 2800"," 1566","   1.131","  20.996","   5.832","   0.498","  10.941","   3.039"," 31","0"," 28"," 32","   0.665","  10.280","   2.856","  45.000","    0","    0"
"03:59:02:948","148856436105576","  16.085","   0.897"," 1465"," 1200"," 2500"," 1477","   0.900","  21.896","   6.082","   0.329","  11.271","   3.131"," 31","0"," 27"," 32","   0.653","  10.934","   3.037","  45.000","    0","    0"
"03:59:03:948","148858741671076","  17.086","   1.024"," 1602"," 1200"," 2900"," 1620","   0.960","  22.857","   6.349","   0.388","  11.659","   3.239"," 31","0"," 27"," 32","   0.655","  11.589","   3.219","  45.000","    0","    0"
"03:59:04:950","148861049897980","  18.088","   1.184"," 1516"," 1200"," 3000"," 1528","   1.147","  24.006","   6.668","   0.408","  12.067","   3.352"," 31","0"," 27"," 31","   0.705","  12.296","   3.415","  45.000","    0","    0"
"03:59:05:959","148863373908854","  19.096","   1.087"," 1637"," 1200"," 2700"," 1662","   1.154","  25.170","   6.992","   0.422","  12.493","   3.470"," 31","0"," 27"," 32","   0.703","  13.005","   3.612","  45.000","    0","    0"
"03:59:06:967","148865696057704","  20.104","   1.033"," 1494"," 1200"," 2700"," 1542","   0.935","  26.112","   7.253","   0.356","  12.852","   3.570"," 31","0"," 27"," 31","   0.655","  13.666","   3.796","  45.000","    0","    0"
"03:59:07:968","148868002244474","  21.105","   1.984"," 2408"," 1200"," 3700"," 2907","   2.342","  28.457","   7.905","   1.556","  14.410","   4.003"," 31","0"," 27"," 39","   0.724","  14.390","   3.997","  45.000","    0","    0"
"03:59:08:969","148870308548548","  22.106","   1.046"," 1537"," 1200"," 3200"," 1550","   0.943","  29.401","   8.167","   0.375","  14.786","   4.107"," 31","0"," 28"," 31","   0.654","  15.045","   4.179","  45.000","    0","    0"
"03:59:09:975","148872627138450","  23.113","   1.130"," 1452"," 1200"," 2500"," 1463","   1.109","  30.517","   8.477","   0.360","  15.148","   4.208"," 31","0"," 27"," 31","   0.707","  15.756","   4.377","  45.000","    0","    0"
"03:59:10:982","148874948254410","  24.120","   1.854"," 2334"," 1200"," 3800"," 2529","   2.035","  32.567","   9.046","   1.389","  16.548","   4.597"," 31","0"," 27"," 37","   0.664","  16.425","   4.563","  45.000","    0","    0"
"03:59:11:984","148877256438810","  25.122","   1.841"," 1485"," 1200"," 2700"," 1504","   1.358","  33.928","   9.424","   0.535","  17.083","   4.745"," 31","0"," 27"," 31","   0.766","  17.192","   4.776","  45.000","    0","    0"
"03:59:12:988","148879568281228","  26.125","   1.009"," 1495"," 1200"," 2500"," 1494","   0.932","  34.863","   9.684","   0.358","  17.443","   4.845"," 31","0"," 27"," 32","   0.656","  17.850","   4.958","  45.000","    0","    0"
"03:59:13:992","148881883630262","  27.130","   1.185"," 1542"," 1200"," 2500"," 1549","   1.010","  35.877","   9.966","   0.422","  17.867","   4.963"," 30","0"," 27"," 32","   0.656","  18.510","   5.142","  45.000","    0","    0"
"03:59:14:999","148884202802620","  28.137","   1.068"," 1487"," 1200"," 2900"," 1506","   1.091","  36.975","  10.271","   0.362","  18.232","   5.064"," 31","0"," 27"," 31","   0.704","  19.218","   5.338","  45.000","    0","    0"
"03:59:15:999","148886507821612","  29.137","   1.090"," 1574"," 1200"," 2700"," 1588","   0.985","  37.960","  10.545","   0.401","  18.634","   5.176"," 31","0"," 27"," 32","   0.656","  19.874","   5.521","  45.000","    0","    0"
"03:59:17:001","148888816049608","  30.139","   0.954","  nan"," 1200"," 2600"," 1568","   0.925","  38.887","  10.802","   0.355","  18.989","   5.275"," 30","0"," 27"," 31","   0.654","  20.530","   5.703","  45.000","    0","    0"

"Total Elapsed Time (sec) = 30.138983"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 38.887024"
"Cumulative Package Energy_0 (mWh) = 10.801951"
"Average Package Power_0 (Watt) = 1.290257"

"Cumulative IA Energy_0 (Joules) = 18.989441"
"Cumulative IA Energy_0 (mWh) = 5.274845"
"Average Package IA_0 (Watt) = 0.630062"

"Cumulative DRAM Energy_0 (Joules) = 20.529968"
"Cumulative DRAM Energy_0 (mWh) = 5.702769"
"Average Package DRAM_0 (Watt) = 0.681177"
