"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:52:28:403","156241770846378","   1.004","   2.236"," 2101"," 1200"," 3800"," 2228","   2.147","   2.157","   0.599","   1.371","   1.377","   0.383"," 32","0"," 28"," 39","   0.718","   0.721","   0.200","  45.000","    0","    0"
"04:52:29:415","156244103524926","   2.017","   1.202"," 1579"," 1200"," 2900"," 1618","   1.152","   3.323","   0.923","   0.442","   1.825","   0.507"," 31","0"," 28"," 32","   0.696","   1.426","   0.396","  45.000","    0","    0"
"04:52:30:425","156246429123528","   3.026","   1.454"," 1829"," 1200"," 3700"," 2052","   1.410","   4.746","   1.318","   0.728","   2.560","   0.711"," 32","0"," 28"," 40","   0.688","   2.120","   0.589","  45.000","  400","  400"
"04:52:31:426","156248735309328","   4.027","   1.758"," 1773"," 1200"," 3000"," 1937","   1.308","   6.056","   1.682","   0.687","   3.247","   0.902"," 34","0"," 28"," 34","   0.670","   2.791","   0.775","  45.000","  400","  400"
"04:52:32:433","156251056883542","   5.035","   2.497"," 2669"," 1200"," 3800"," 3638","   2.814","   8.891","   2.470","   2.078","   5.341","   1.484"," 31","0"," 28"," 41","   0.739","   3.535","   0.982","  45.000","    0","    0"
"04:52:33:434","156253361774670","   6.035","   0.828"," 1481"," 1200"," 2500"," 1500","   0.876","   9.767","   2.713","   0.316","   5.658","   1.572"," 31","0"," 28"," 32","   0.650","   4.185","   1.163","  45.000","    0","    0"
"04:52:34:435","156255669656402","   7.037","   1.920"," 2472"," 1200"," 3700"," 2990","   2.334","  12.105","   3.363","   1.592","   7.252","   2.014"," 32","0"," 28"," 38","   0.712","   4.898","   1.361","  45.000","  350","  333"
"04:52:35:436","156257976283980","   8.038","   0.995"," 1562"," 1200"," 3400"," 1576","   1.047","  13.153","   3.654","   0.402","   7.655","   2.126"," 31","0"," 28"," 32","   0.663","   5.562","   1.545","  45.000","    0","    0"
"04:52:36:443","156260295736424","   9.045","   1.034"," 1569"," 1200"," 2700"," 1602","   0.988","  14.148","   3.930","   0.393","   8.050","   2.236"," 31","0"," 28"," 32","   0.660","   6.226","   1.729","  45.000","    0","    0"
"04:52:37:444","156262602137580","  10.046","   1.147"," 1563"," 1200"," 2700"," 1581","   1.109","  15.258","   4.238","   0.425","   8.475","   2.354"," 31","0"," 28"," 32","   0.696","   6.922","   1.923","  45.000","    0","    0"
