"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:03:46:481","174392782878842","   1.005","   1.225"," 1590"," 1200"," 3000"," 1631","   1.154","   1.159","   0.322","   0.442","   0.444","   0.123"," 32","0"," 28"," 33","   0.707","   0.711","   0.197","  45.000","    0","    0"
"07:03:47:494","174395116462720","   2.018","   2.359"," 2507"," 1200"," 3900"," 2716","   2.756","   3.951","   1.097","   2.042","   2.512","   0.698"," 32","0"," 29"," 39","   0.677","   1.397","   0.388","  45.000","    0","    0"
"07:03:48:495","174397423076256","   3.019","   1.100"," 1425"," 1200"," 2500"," 1443","   0.937","   4.889","   1.358","   0.349","   2.862","   0.795"," 32","0"," 28"," 33","   0.661","   2.058","   0.572","  45.000","    0","    0"
"07:03:49:504","174399748438130","   4.028","   1.842"," 2466"," 1200"," 3700"," 2985","   2.166","   7.075","   1.965","   1.478","   4.353","   1.209"," 32","0"," 28"," 38","   0.681","   2.745","   0.763","  45.000","    0","    0"
"07:03:50:513","174402071268524","   5.036","   0.904"," 1437"," 1200"," 2500"," 1455","   0.911","   7.993","   2.220","   0.320","   4.676","   1.299"," 32","0"," 28"," 33","   0.655","   3.406","   0.946","  45.000","    0","    0"
"07:03:51:516","174404384206138","   6.040","   3.188"," 2459"," 1200"," 4400"," 2754","   3.755","  11.763","   3.268","   3.012","   7.700","   2.139"," 33","0"," 28"," 42","   0.693","   4.102","   1.139","  45.000","    0","    0"
"07:03:52:517","174406689312888","   7.041","   3.695"," 2129"," 1200"," 3700"," 2239","   2.761","  14.525","   4.035","   1.991","   9.692","   2.692"," 33","0"," 29"," 37","   0.709","   4.811","   1.336","  45.000","    0","    0"
"07:03:53:518","174408996922386","   8.042","   3.250"," 2146"," 1200"," 3600"," 2217","   2.718","  17.247","   4.791","   1.831","  11.526","   3.202"," 33","0"," 29"," 36","   0.754","   5.565","   1.546","  45.000","    0","    0"
"07:03:54:529","174411324747468","   9.052","   1.950"," 1956"," 1200"," 3600"," 2056","   1.615","  18.879","   5.244","   0.949","  12.485","   3.468"," 33","0"," 29"," 34","   0.677","   6.250","   1.736","  45.000","    0","    0"
"07:03:55:538","174413649012036","  10.061","   2.959"," 1916"," 1200"," 3600"," 2014","   2.098","  20.996","   5.832","   1.364","  13.861","   3.850"," 33","0"," 28"," 36","   0.694","   6.950","   1.931","  45.000","    0","    0"
