"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:01:37:631","107741227814984","   1.001","   1.289"," 1519"," 1200"," 2500"," 1525","   1.167","   1.168","   0.324","   0.440","   0.440","   0.122"," 34","0"," 31"," 35","   0.711","   0.711","   0.198","  45.000","    0","    0"
"23:01:38:645","107743564985520","   2.015","   2.185"," 2438"," 1200"," 3700"," 2815","   2.422","   3.625","   1.007","   1.721","   2.186","   0.607"," 34","0"," 31"," 42","   0.683","   1.404","   0.390","  45.000","    0","    0"
"23:01:39:651","107745883133820","   3.021","   1.036"," 1515"," 1200"," 3100"," 1531","   1.097","   4.729","   1.313","   0.376","   2.564","   0.712"," 34","0"," 31"," 35","   0.702","   2.110","   0.586","  45.000","    0","    0"
"23:01:40:659","107748204436072","   4.029","   2.166"," 2506"," 1200"," 4400"," 2921","   2.813","   7.563","   2.101","   2.114","   4.694","   1.304"," 34","0"," 31"," 52","   0.701","   2.817","   0.782","  45.000","    0","    0"
"23:01:41:668","107750529586786","   5.038","   2.407"," 2588"," 1200"," 3600"," 3207","   2.684","  10.271","   2.853","   1.860","   6.571","   1.825"," 34","0"," 31"," 40","   0.779","   3.603","   1.001","  45.000","    0","    0"
"23:01:42:673","107752844987638","   6.043","   1.024"," 1477"," 1200"," 2900"," 1501","   0.969","  11.245","   3.124","   0.372","   6.945","   1.929"," 34","0"," 31"," 35","   0.658","   4.265","   1.185","  45.000","    0","    0"
"23:01:43:673","107755150418862","   7.043","   0.851"," 1482"," 1200"," 2500"," 1491","   0.907","  12.153","   3.376","   0.328","   7.273","   2.020"," 33","0"," 31"," 35","   0.653","   4.918","   1.366","  45.000","    0","    0"
"23:01:44:675","107757457534226","   8.045","   1.171"," 1655"," 1200"," 3100"," 1726","   1.066","  13.220","   3.672","   0.477","   7.750","   2.153"," 34","0"," 31"," 36","   0.655","   5.574","   1.548","  45.000","    0","    0"
"23:01:45:677","107759765788924","   9.046","   1.037"," 1526"," 1200"," 2600"," 1557","   0.967","  14.189","   3.941","   0.374","   8.124","   2.257"," 34","0"," 30"," 34","   0.658","   6.234","   1.732","  45.000","    0","    0"
"23:01:46:686","107762091047098","  10.056","   1.175"," 1609"," 1200"," 2900"," 1634","   1.188","  15.388","   4.274","   0.452","   8.580","   2.383"," 34","0"," 30"," 34","   0.702","   6.942","   1.928","  45.000","    0","    0"
"23:01:47:690","107764404096890","  11.060","   0.946"," 1441"," 1200"," 2500"," 1452","   0.908","  16.299","   4.528","   0.339","   8.921","   2.478"," 33","0"," 30"," 34","   0.654","   7.598","   2.111","  45.000","    0","    0"
"23:01:48:690","107766709766514","  12.060","   1.537"," 2426"," 1200"," 3700"," 2604","   1.952","  18.253","   5.070","   1.326","  10.247","   2.846"," 34","0"," 30"," 41","   0.663","   8.262","   2.295","  45.000","    0","    0"
"23:01:49:692","107769016911496","  13.062","   0.874"," 1462"," 1200"," 3100"," 1464","   0.879","  19.133","   5.315","   0.305","  10.553","   2.931"," 34","0"," 30"," 34","   0.652","   8.914","   2.476","  45.000","    0","    0"
"23:01:50:693","107771323724946","  14.063","   1.283"," 1674"," 1200"," 2900"," 1763","   1.125","  20.260","   5.628","   0.527","  11.080","   3.078"," 33","0"," 30"," 35","   0.663","   9.578","   2.661","  45.000","    0","    0"
"23:01:51:699","107773641179648","  15.069","   2.358"," 2396"," 1200"," 3700"," 2856","   2.599","  22.874","   6.354","   1.746","  12.836","   3.566"," 34","0"," 30"," 40","   0.766","  10.349","   2.875","  45.000","    0","    0"
"23:01:52:707","107775963817388","  16.077","   2.058"," 1537"," 1200"," 3600"," 1553","   1.318","  24.202","   6.723","   0.631","  13.472","   3.742"," 33","0"," 30"," 35","   0.668","  11.022","   3.062","  45.000","    0","    0"
