"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:21:30:254","268080705360060","   1.002","   1.463"," 1553"," 1200"," 2600"," 1575","   1.202","   1.204","   0.334","   0.490","   0.490","   0.136"," 37","0"," 34"," 37","   0.722","   0.723","   0.201","  45.000","    0","    0"
"18:21:31:261","268083025538180","   2.009","   1.215"," 1609"," 1200"," 2600"," 1623","   1.041","   2.252","   0.626","   0.454","   0.948","   0.263"," 37","0"," 34"," 38","   0.668","   1.395","   0.388","  45.000","    0","    0"
"18:21:32:267","268085343856498","   3.015","   2.233"," 1875"," 1200"," 3700"," 2074","   1.765","   4.028","   1.119","   1.094","   2.049","   0.569"," 37","0"," 34"," 45","   0.681","   2.080","   0.578","  45.000","    0","    0"
"18:21:33:269","268087652067834","   4.017","   1.263"," 1586"," 1200"," 2800"," 1608","   1.021","   5.051","   1.403","   0.447","   2.497","   0.694"," 37","0"," 33"," 37","   0.666","   2.747","   0.763","  45.000","    0","    0"
"18:21:34:269","268089956991286","   5.017","   1.057"," 1528"," 1200"," 3000"," 1550","   0.961","   6.012","   1.670","   0.392","   2.889","   0.803"," 37","0"," 34"," 37","   0.665","   3.412","   0.948","  45.000","    0","    0"
"18:21:35:271","268092264191916","   6.019","   1.092"," 1482"," 1200"," 2500"," 1505","   1.049","   7.063","   1.962","   0.378","   3.268","   0.908"," 37","0"," 34"," 38","   0.709","   4.122","   1.145","  45.000","    0","    0"
"18:21:36:279","268094588156082","   7.027","   2.195"," 2282"," 1200"," 3700"," 2726","   2.204","   9.286","   2.580","   1.561","   4.842","   1.345"," 38","0"," 34"," 44","   0.688","   4.816","   1.338","  45.000","    0","    0"
"18:21:37:286","268096908740692","   8.034","   2.003"," 1594"," 1200"," 3600"," 1618","   1.329","  10.625","   2.951","   0.659","   5.505","   1.529"," 38","0"," 33"," 38","   0.721","   5.542","   1.540","  45.000","    0","    0"
"18:21:38:292","268099228331844","   9.040","   1.911"," 2317"," 1200"," 3700"," 2476","   2.064","  12.703","   3.529","   1.417","   6.932","   1.925"," 36","0"," 34"," 43","   0.679","   6.226","   1.729","  45.000","    0","    0"
"18:21:39:292","268101535544882","  10.040","   1.546"," 1698"," 1200"," 3000"," 1715","   1.197","  13.901","   3.861","   0.601","   7.534","   2.093"," 36","0"," 34"," 39","   0.673","   6.900","   1.917","  45.000","    0","    0"
"18:21:40:292","268103840908088","  11.040","   1.336"," 1521"," 1200"," 2500"," 1542","   1.153","  15.055","   4.182","   0.461","   7.995","   2.221"," 37","0"," 34"," 37","   0.714","   7.614","   2.115","  45.000","    0","    0"
"18:21:41:295","268106152993434","  12.043","   1.028"," 1457"," 1200"," 2500"," 1465","   0.924","  15.983","   4.440","   0.364","   8.360","   2.322"," 36","0"," 33"," 37","   0.661","   8.278","   2.299","  45.000","    0","    0"
