"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:39:32:638","328634892251002","   1.006","   2.424"," 2146"," 1200"," 3700"," 2444","   2.173","   2.186","   0.607","   1.490","   1.499","   0.416"," 34","0"," 31"," 41","   0.700","   0.704","   0.195","  45.000","    0","    0"
"01:39:33:651","328637224804854","   2.018","   1.645"," 1970"," 1200"," 3700"," 2194","   1.558","   3.764","   1.045","   0.943","   2.453","   0.682"," 34","0"," 31"," 41","   0.676","   1.388","   0.385","  45.000","    0","    0"
"01:39:34:658","328639546961430","   3.026","   1.296"," 1528"," 1200"," 2500"," 1532","   1.135","   4.908","   1.363","   0.446","   2.903","   0.806"," 34","0"," 31"," 34","   0.718","   2.112","   0.587","  45.000","  350","  333"
"01:39:35:659","328641852035584","   4.027","   1.027"," 1528"," 1200"," 2500"," 1545","   1.048","   5.957","   1.655","   0.379","   3.282","   0.912"," 33","0"," 31"," 34","   0.707","   2.819","   0.783","  45.000","    0","    0"
"01:39:36:664","328644166747570","   5.031","   1.268"," 1625"," 1200"," 2900"," 1634","   1.069","   7.031","   1.953","   0.482","   3.767","   1.046"," 34","0"," 31"," 34","   0.666","   3.488","   0.969","  45.000","    0","    0"
"01:39:37:665","328646473659570","   6.033","   2.341"," 1735"," 1200"," 3700"," 1889","   1.637","   8.670","   2.408","   0.937","   4.704","   1.307"," 34","0"," 31"," 40","   0.734","   4.223","   1.173","  45.000","    0","    0"
"01:39:38:670","328648790326678","   7.038","   1.940"," 2272"," 1200"," 3800"," 2403","   2.053","  10.734","   2.982","   1.382","   6.094","   1.693"," 34","0"," 31"," 41","   0.685","   4.912","   1.364","  45.000","  350","  333"
"01:39:39:671","328651094968622","   8.038","   1.078"," 1523"," 1200"," 2500"," 1538","   0.947","  11.682","   3.245","   0.402","   6.496","   1.804"," 33","0"," 31"," 34","   0.655","   5.566","   1.546","  45.000","  350","  333"
"01:39:40:673","328653405328388","   9.041","   1.234"," 1530"," 1200"," 2500"," 1535","   0.976","  12.660","   3.517","   0.407","   6.904","   1.918"," 33","0"," 31"," 34","   0.666","   6.234","   1.732","  45.000","    0","    0"
"01:39:41:675","328655713360242","  10.043","   1.360"," 1807"," 1200"," 3000"," 1869","   1.290","  13.953","   3.876","   0.615","   7.520","   2.089"," 33","0"," 31"," 36","   0.704","   6.939","   1.928","  45.000","    0","    0"
