"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:56:16:153","347535470037942","   1.004","   1.496"," 1634"," 1200"," 2600"," 1672","   1.257","   1.261","   0.350","   0.556","   0.558","   0.155"," 33","0"," 31"," 34","   0.722","   0.725","   0.201","  45.000","    0","    0"
"03:56:17:159","347537789540154","   2.011","   2.632"," 2452"," 1200"," 3800"," 2750","   2.760","   4.039","   1.122","   2.086","   2.658","   0.738"," 35","0"," 31"," 43","   0.686","   1.416","   0.393","  45.000","    0","    0"
"03:56:18:168","347540112342006","   3.019","   1.383"," 1583"," 1200"," 2900"," 1593","   1.181","   5.230","   1.453","   0.493","   3.155","   0.876"," 34","0"," 31"," 35","   0.715","   2.137","   0.594","  45.000","    0","    0"
"03:56:19:168","347542417584054","   4.019","   1.373"," 1616"," 1200"," 2800"," 1635","   1.196","   6.426","   1.785","   0.512","   3.668","   1.019"," 34","0"," 31"," 34","   0.715","   2.852","   0.792","  45.000","    0","    0"
"03:56:20:172","347544729555292","   5.023","   2.045"," 2323"," 1200"," 3700"," 2837","   2.143","   8.577","   2.382","   1.512","   5.185","   1.440"," 34","0"," 31"," 41","   0.685","   3.540","   0.983","  45.000","    0","    0"
"03:56:21:182","347547057441114","   6.033","   2.125"," 2072"," 1200"," 3700"," 2511","   1.847","  10.443","   2.901","   1.127","   6.324","   1.757"," 34","0"," 31"," 39","   0.728","   4.276","   1.188","  45.000","    0","    0"
"03:56:22:183","347549363839108","   7.034","   1.395"," 1712"," 1200"," 2900"," 1758","   1.283","  11.727","   3.258","   0.566","   6.890","   1.914"," 35","0"," 31"," 35","   0.714","   4.990","   1.386","  45.000","    0","    0"
"03:56:23:187","347551676646606","   8.038","   1.224"," 1558"," 1200"," 3600"," 1573","   1.000","  12.731","   3.536","   0.435","   7.327","   2.035"," 34","0"," 31"," 34","   0.661","   5.654","   1.571","  45.000","    0","    0"
"03:56:24:197","347554004516904","   9.048","   1.075"," 1493"," 1200"," 2500"," 1501","   0.936","  13.677","   3.799","   0.382","   7.712","   2.142"," 33","0"," 31"," 35","   0.662","   6.323","   1.756","  45.000","    0","    0"
"03:56:25:199","347556312815212","  10.050","   1.079"," 1456"," 1200"," 2500"," 1464","   0.918","  14.597","   4.055","   0.358","   8.071","   2.242"," 34","0"," 31"," 35","   0.660","   6.984","   1.940","  45.000","    0","    0"
"03:56:26:200","347558618722618","  11.051","   1.237"," 1638"," 1200"," 2500"," 1657","   1.173","  15.771","   4.381","   0.479","   8.550","   2.375"," 33","0"," 31"," 35","   0.714","   7.698","   2.138","  45.000","    0","    0"
"03:56:27:202","347560926452814","  12.053","   1.979"," 2263"," 1200"," 3700"," 2403","   2.069","  17.844","   4.957","   1.435","   9.988","   2.774"," 34","0"," 31"," 42","   0.667","   8.367","   2.324","  45.000","    0","    0"
