"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:49:58:803","280311546828042","   1.001","   2.393"," 1513"," 1200"," 3200"," 1519","   1.486","   1.487","   0.413","   0.664","   0.665","   0.185"," 31","0"," 28"," 32","   0.754","   0.755","   0.210","  45.000","    0","    0"
"19:49:59:818","280313884616278","   2.016","   2.469"," 2450"," 1200"," 4300"," 2997","   2.652","   4.179","   1.161","   2.000","   2.694","   0.748"," 31","0"," 28"," 45","   0.696","   1.461","   0.406","  45.000","    0","    0"
"19:50:00:826","280316206282906","   3.024","   2.114"," 2256"," 1200"," 3700"," 2406","   2.184","   6.379","   1.772","   1.484","   4.189","   1.164"," 31","0"," 28"," 37","   0.702","   2.169","   0.603","  45.000","    0","    0"
"19:50:01:829","280318518349768","   4.027","   1.655"," 1715"," 1200"," 3300"," 1757","   1.266","   7.649","   2.125","   0.663","   4.855","   1.349"," 31","0"," 28"," 33","   0.668","   2.840","   0.789","  45.000","    0","    0"
"19:50:02:832","280320828612470","   5.030","   1.623"," 1673"," 1200"," 2900"," 1689","   1.297","   8.950","   2.486","   0.587","   5.443","   1.512"," 31","0"," 28"," 31","   0.716","   3.558","   0.988","  45.000","    0","    0"
"19:50:03:842","280323155767452","   6.040","   1.064"," 1460"," 1200"," 2500"," 1473","   0.928","   9.887","   2.746","   0.360","   5.806","   1.613"," 31","0"," 28"," 32","   0.662","   4.226","   1.174","  45.000","    0","    0"
"19:50:04:843","280325462967396","   7.041","   1.075"," 1536"," 1200"," 2900"," 1550","   0.950","  10.838","   3.011","   0.399","   6.206","   1.724"," 31","0"," 28"," 31","   0.660","   4.887","   1.357","  45.000","    0","    0"
"19:50:05:845","280327771604164","   8.043","   1.139"," 1587"," 1200"," 2900"," 1614","   1.123","  11.963","   3.323","   0.444","   6.652","   1.848"," 32","0"," 28"," 32","   0.711","   5.599","   1.555","  45.000","    0","    0"
"19:50:06:855","280330097216956","   9.053","   1.187"," 1578"," 1200"," 2800"," 1603","   1.091","  13.065","   3.629","   0.421","   7.077","   1.966"," 32","0"," 28"," 31","   0.709","   6.315","   1.754","  45.000","    0","    0"
"19:50:07:865","280332424906660","  10.063","   1.966"," 1508"," 1200"," 2900"," 1520","   1.257","  14.335","   3.982","   0.601","   7.684","   2.134"," 31","0"," 28"," 32","   0.726","   7.049","   1.958","  45.000","    0","    0"
"19:50:08:871","280334743246778","  11.069","   1.007"," 1436"," 1200"," 2500"," 1451","   0.874","  15.215","   4.226","   0.334","   8.020","   2.228"," 31","0"," 28"," 31","   0.659","   7.712","   2.142","  45.000","    0","    0"
"19:50:09:881","280337070857966","  12.079","   2.083"," 2353"," 1200"," 3700"," 2819","   2.205","  17.443","   4.845","   1.568","   9.604","   2.668"," 32","0"," 28"," 39","   0.687","   8.406","   2.335","  45.000","    0","    0"
"19:50:10:883","280339379147380","  13.081","   1.651"," 2359"," 1200"," 3800"," 2473","   1.865","  19.311","   5.364","   1.257","  10.864","   3.018"," 32","0"," 28"," 37","   0.664","   9.071","   2.520","  45.000","    0","    0"
"19:50:11:885","280341688187958","  14.083","   1.086"," 1523"," 1200"," 2700"," 1558","   0.942","  20.255","   5.626","   0.390","  11.255","   3.126"," 32","0"," 28"," 32","   0.662","   9.734","   2.704","  45.000","    0","    0"
"19:50:12:887","280343996805168","  15.085","   1.077"," 1547"," 1200"," 2800"," 1578","   0.941","  21.198","   5.888","   0.378","  11.634","   3.232"," 31","0"," 28"," 32","   0.661","  10.397","   2.888","  45.000","    0","    0"
"19:50:13:888","280346301496876","  16.086","   2.003"," 2582"," 1200"," 4500"," 3055","   2.607","  23.806","   6.613","   1.963","  13.598","   3.777"," 31","0"," 28"," 46","   0.703","  11.101","   3.083","  45.000","    0","    0"
"19:50:14:891","280348612159776","  17.088","   1.222"," 1486"," 1200"," 2500"," 1500","   1.080","  24.889","   6.913","   0.400","  13.999","   3.889"," 31","0"," 28"," 32","   0.709","  11.812","   3.281","  45.000","    0","    0"
"19:50:15:892","280350918833230","  18.090","   1.358"," 1625"," 1200"," 2900"," 1648","   1.080","  25.970","   7.214","   0.496","  14.495","   4.026"," 31","0"," 28"," 31","   0.664","  12.476","   3.466","  45.000","    0","    0"
"19:50:16:899","280353239639638","  19.097","   1.444"," 1710"," 1200"," 3000"," 1796","   1.146","  27.124","   7.535","   0.574","  15.074","   4.187"," 31","0"," 28"," 32","   0.667","  13.148","   3.652","  45.000","    0","    0"
"19:50:17:900","280355545708326","  20.098","   1.256"," 1668"," 1200"," 2900"," 1695","   1.088","  28.213","   7.837","   0.504","  15.578","   4.327"," 31","0"," 28"," 31","   0.664","  13.813","   3.837","  45.000","    0","    0"
"19:50:18:901","280357852001200","  21.099","   0.991"," 1459"," 1200"," 2500"," 1476","   0.896","  29.109","   8.086","   0.345","  15.923","   4.423"," 31","0"," 28"," 32","   0.660","  14.474","   4.020","  45.000","    0","    0"
"19:50:19:904","280360162710232","  22.102","   1.935"," 2486"," 1200"," 3700"," 2961","   2.331","  31.447","   8.735","   1.599","  17.527","   4.869"," 31","0"," 28"," 36","   0.729","  15.205","   4.224","  45.000","    0","    0"
"19:50:20:910","280362480952506","  23.108","   1.674"," 2378"," 1200"," 3800"," 2536","   1.932","  33.391","   9.275","   1.316","  18.851","   5.236"," 31","0"," 28"," 37","   0.666","  15.875","   4.410","  45.000","    0","    0"
"19:50:21:911","280364787954872","  24.109","   1.093"," 1593"," 1200"," 2600"," 1627","   0.992","  34.384","   9.551","   0.424","  19.275","   5.354"," 31","0"," 28"," 32","   0.661","  16.536","   4.593","  45.000","    0","    0"
"19:50:22:919","280367110445170","  25.117","   1.360"," 1818"," 1200"," 3000"," 1845","   1.248","  35.641","   9.900","   0.569","  19.849","   5.513"," 31","0"," 28"," 32","   0.713","  17.255","   4.793","  45.000","    0","    0"
"19:50:23:920","280369415977490","  26.118","   1.281"," 1600"," 1200"," 2900"," 1628","   1.032","  36.674","  10.187","   0.460","  20.308","   5.641"," 31","0"," 28"," 32","   0.665","  17.921","   4.978","  45.000","    0","    0"
"19:50:24:920","280371720690852","  27.118","   1.037"," 1573"," 1200"," 2600"," 1574","   0.950","  37.624","  10.451","   0.384","  20.693","   5.748"," 31","0"," 28"," 31","   0.658","  18.579","   5.161","  45.000","    0","    0"
"19:50:25:921","280374025702562","  28.119","   1.337"," 1549"," 1200"," 2500"," 1559","   1.024","  38.649","  10.736","   0.457","  21.150","   5.875"," 31","0"," 28"," 31","   0.668","  19.247","   5.346","  45.000","    0","    0"
"19:50:26:921","280376330728466","  29.119","   1.371"," 1634"," 1200"," 2700"," 1663","   1.172","  39.822","  11.062","   0.492","  21.642","   6.012"," 32","0"," 28"," 32","   0.716","  19.963","   5.545","  45.000","    0","    0"
"19:50:27:928","280378650123342","  30.126","   1.224"," 1558"," 1200"," 2900"," 1581","   0.995","  40.823","  11.340","   0.422","  22.067","   6.130"," 31","0"," 28"," 31","   0.664","  20.631","   5.731","  45.000","    0","    0"
"19:50:28:933","280380966974386","  31.131","   1.111"," 1497"," 1200"," 2900"," 1503","   0.933","  41.762","  11.600","   0.382","  22.451","   6.236"," 30","0"," 28"," 31","   0.660","  21.295","   5.915","  45.000","    0","    0"
"19:50:29:943","280383293281130","  32.141","   2.016"," 2406"," 1200"," 3700"," 2911","   2.198","  43.981","  12.217","   1.583","  24.049","   6.680"," 33","0"," 28"," 36","   0.681","  21.982","   6.106","  45.000","    0","    0"
"19:50:30:947","280385606789198","  33.145","   1.557"," 2330"," 1200"," 3900"," 2480","   1.842","  45.831","  12.731","   1.243","  25.297","   7.027"," 31","0"," 28"," 37","   0.666","  22.651","   6.292","  45.000","    0","    0"
"19:50:31:957","280387934474226","  34.155","   1.395"," 1617"," 1200"," 2800"," 1653","   1.056","  46.898","  13.027","   0.477","  25.779","   7.161"," 32","0"," 28"," 32","   0.666","  23.323","   6.479","  45.000","    0","    0"
"19:50:32:962","280390249094784","  35.160","   1.225"," 1578"," 1200"," 2600"," 1609","   0.977","  47.880","  13.300","   0.416","  26.198","   7.277"," 32","0"," 27"," 32","   0.662","  23.989","   6.663","  45.000","    0","    0"
"19:50:33:964","280392558108748","  36.162","   1.136"," 1508"," 1200"," 2500"," 1527","   1.081","  48.963","  13.601","   0.409","  26.608","   7.391"," 31","0"," 28"," 31","   0.708","  24.698","   6.861","  45.000","    0","    0"
"19:50:34:972","280394881219056","  37.170","   1.016"," 1503"," 1200"," 2500"," 1532","   0.926","  49.897","  13.860","   0.364","  26.975","   7.493"," 31","0"," 28"," 32","   0.662","  25.366","   7.046","  45.000","    0","    0"

"Total Elapsed Time (sec) = 37.170316"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 49.896790"
"Cumulative Package Energy_0 (mWh) = 13.860219"
"Average Package Power_0 (Watt) = 1.342383"

"Cumulative IA Energy_0 (Joules) = 26.975159"
"Cumulative IA Energy_0 (mWh) = 7.493100"
"Average Package IA_0 (Watt) = 0.725718"

"Cumulative DRAM Energy_0 (Joules) = 25.365967"
"Cumulative DRAM Energy_0 (mWh) = 7.046102"
"Average Package DRAM_0 (Watt) = 0.682425"
