#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,15-10-23T19-49-58,mono,api-baseline,30.104978,170.524241,152.981974,6.456672,613.887268,550.735107,23.244019,70.33333333333333
1,15-10-23T19-49-58,mono,api-monitor,30.125989,18.336165,6.590627,5.677846,66.010193,23.726257,20.440247,50.2
1,15-10-23T19-49-58,mono,frontend-baseline,40.217189,21.746301,6.679365,7.565087,78.286682,24.045715,27.234314,39.75
1,15-10-23T19-49-58,mono,frontend-monitor,40.211479,22.923228,7.868296,7.557356,82.523621,28.325867,27.206482,39.45
10,15-10-23T19-49-58,mono,api-baseline,30.137688,11.462623,6.171282,5.635512,41.265442,22.216614,20.287842,32.266666666666666
10,15-10-23T19-49-58,mono,api-monitor,30.101552,11.802199,6.206801,5.664605,42.487915,22.344482,20.392578,31.366666666666667
10,15-10-23T19-49-58,mono,frontend-baseline,40.226047,15.114424,7.950507,7.521956,54.411926,28.621826,27.079041,31.825
10,15-10-23T19-49-58,mono,frontend-monitor,40.188442,16.376411,8.935733,7.590247,58.955078,32.168640,27.324890,34.55
11,15-10-23T19-49-58,mono,api-baseline,30.098214,14.122925,8.328688,5.702057,50.842529,29.983276,20.527405,33.0
11,15-10-23T19-49-58,mono,api-monitor,30.156933,12.407939,6.821815,5.655043,44.668579,24.558533,20.358154,31.8
11,15-10-23T19-49-58,mono,frontend-baseline,40.154643,15.505914,8.002794,7.593011,55.821289,28.810059,27.334839,31.575
11,15-10-23T19-49-58,mono,frontend-monitor,40.218857,14.196065,6.977098,7.557610,51.105835,25.117554,27.207397,34.175
12,15-10-23T19-49-58,mono,api-baseline,30.135514,11.013082,5.563422,5.668928,39.647095,20.028320,20.408142,32.2
12,15-10-23T19-49-58,mono,api-monitor,30.141218,12.564867,7.095964,5.646023,45.233521,25.545471,20.325684,31.7
12,15-10-23T19-49-58,mono,frontend-baseline,40.193575,14.103224,7.019484,7.501187,50.771606,25.270142,27.004272,31.7
12,15-10-23T19-49-58,mono,frontend-monitor,40.222083,15.693834,8.196157,7.562425,56.497803,29.506165,27.224731,33.875
13,15-10-23T19-49-58,mono,api-baseline,30.156778,11.078322,5.817617,5.619982,39.881958,20.943420,20.231934,32.7
13,15-10-23T19-49-58,mono,api-monitor,30.114834,10.908288,5.553538,5.645226,39.269836,19.992737,20.322815,31.6
13,15-10-23T19-49-58,mono,frontend-baseline,40.201293,14.898343,7.713030,7.505103,53.634033,27.766907,27.018372,31.75
13,15-10-23T19-49-58,mono,frontend-monitor,40.138471,27.320641,17.511698,7.944082,98.354309,63.042114,28.598694,36.05
14,15-10-23T19-49-58,mono,api-baseline,30.152963,11.409319,5.992042,5.641446,41.073547,21.571350,20.309204,33.0
14,15-10-23T19-49-58,mono,api-monitor,30.160821,10.657501,5.284424,5.660468,38.367004,19.023926,20.377686,31.133333333333333
14,15-10-23T19-49-58,mono,frontend-baseline,40.211464,14.270884,7.038862,7.555322,51.375183,25.339905,27.199158,32.425
14,15-10-23T19-49-58,mono,frontend-monitor,40.197196,16.060418,8.727197,7.562273,57.817505,31.417908,27.224182,33.925
15,15-10-23T19-49-58,mono,api-baseline,30.134673,11.212955,5.737152,5.663978,40.366638,20.653748,20.390320,32.266666666666666
15,15-10-23T19-49-58,mono,api-monitor,30.130321,10.604655,5.228933,5.660078,38.176758,18.824158,20.376282,31.133333333333333
15,15-10-23T19-49-58,mono,frontend-baseline,40.171736,14.627753,7.384915,7.563527,52.659912,26.585693,27.228699,32.025
