"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:09:01:033","523478724144658","   1.007","   1.742"," 1656"," 1200"," 2500"," 1669","   1.395","   1.406","   0.390","   0.652","   0.657","   0.183"," 37","0"," 33"," 37","   0.735","   0.741","   0.206","  45.000","  350","  333"
"01:09:02:046","523481058531776","   2.021","   1.960"," 1903"," 1200"," 3700"," 2076","   1.669","   3.097","   0.860","   0.984","   1.654","   0.460"," 37","0"," 33"," 43","   0.698","   1.448","   0.402","  45.000","    0","    0"
"01:09:03:052","523483375340612","   3.026","   1.432"," 1627"," 1200"," 2700"," 1665","   1.167","   4.271","   1.186","   0.518","   2.175","   0.604"," 37","0"," 33"," 37","   0.691","   2.143","   0.595","  45.000","    0","    0"
"01:09:04:061","523485700187482","   4.035","   1.264"," 1506"," 1200"," 2500"," 1515","   1.039","   5.319","   1.478","   0.434","   2.613","   0.726"," 37","0"," 33"," 36","   0.669","   2.818","   0.783","  45.000","    0","    0"
"01:09:05:071","523488027940402","   5.046","   2.090"," 2277"," 1200"," 3700"," 2440","   2.191","   7.532","   2.092","   1.439","   4.067","   1.130"," 36","0"," 33"," 41","   0.717","   3.543","   0.984","  45.000","    0","    0"
"01:09:06:080","523490352962938","   6.055","   2.141"," 2383"," 1200"," 3700"," 2781","   2.357","   9.911","   2.753","   1.682","   5.764","   1.601"," 37","0"," 33"," 41","   0.702","   4.251","   1.181","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.054639"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 9.910645"
"Cumulative Package Energy_0 (mWh) = 2.752957"
"Average Package Power_0 (Watt) = 1.636868"

"Cumulative IA Energy_0 (Joules) = 5.763794"
"Cumulative IA Energy_0 (mWh) = 1.601054"
"Average Package IA_0 (Watt) = 0.951963"

"Cumulative DRAM Energy_0 (Joules) = 4.251038"
"Cumulative DRAM Energy_0 (mWh) = 1.180844"
"Average Package DRAM_0 (Watt) = 0.702112"
