"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:30:33:156","493278499884220","   1.001","   1.708"," 1656"," 1200"," 2700"," 1687","   1.349","   1.351","   0.375","   0.595","   0.596","   0.165"," 36","0"," 32"," 36","   0.734","   0.735","   0.204","  45.000","    0","    0"
"21:30:34:163","493280818675504","   2.008","   1.772"," 1897"," 1200"," 3700"," 2171","   1.585","   2.946","   0.818","   0.869","   1.470","   0.408"," 35","0"," 32"," 44","   0.729","   1.469","   0.408","  45.000","    0","    0"
"21:30:35:166","493283129427570","   3.011","   3.266"," 2746"," 1200"," 3800"," 3354","   3.661","   6.618","   1.838","   2.931","   4.410","   1.225"," 40","0"," 32"," 47","   0.718","   2.188","   0.608","  45.000","    0","    0"
"21:30:36:166","493285434754144","   4.011","   2.083"," 2417"," 1200"," 3700"," 3109","   2.209","   8.828","   2.452","   1.456","   5.867","   1.630"," 35","0"," 32"," 47","   0.757","   2.946","   0.818","  45.000","    0","    0"
"21:30:37:170","493287746309262","   5.015","   2.066"," 1505"," 1200"," 2800"," 1518","   1.393","  10.225","   2.840","   0.611","   6.480","   1.800"," 35","0"," 32"," 36","   0.780","   3.729","   1.036","  45.000","    0","    0"
"21:30:38:173","493290058742268","   6.018","   1.831"," 1614"," 1200"," 2900"," 1633","   1.252","  11.482","   3.189","   0.620","   7.102","   1.973"," 36","0"," 32"," 36","   0.679","   4.410","   1.225","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.018288"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 11.481567"
"Cumulative Package Energy_0 (mWh) = 3.189324"
"Average Package Power_0 (Watt) = 1.907780"

"Cumulative IA Energy_0 (Joules) = 7.102478"
"Cumulative IA Energy_0 (mWh) = 1.972911"
"Average Package IA_0 (Watt) = 1.180149"

"Cumulative DRAM Energy_0 (Joules) = 4.409607"
"Cumulative DRAM Energy_0 (mWh) = 1.224891"
"Average Package DRAM_0 (Watt) = 0.732701"
