"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:52:51:336","218837023389356","   1.000","  31.599"," 3725"," 1200"," 4300"," 4711","  35.693","  35.698","   9.916","  33.919","  33.924","   9.423"," 59","0"," 34"," 62","   1.438","   1.438","   0.399","  45.000","    0","    0"
"21:52:52:367","218839399339162","   2.031","  59.467"," 3783"," 3500"," 4300"," 4800","  62.674"," 100.330","  27.869","  60.551","  96.367","  26.769"," 56","0"," 43"," 62","   1.930","   3.428","   0.952","  45.000","  400","  400"
"21:52:53:368","218841704718904","   3.032","  77.949"," 3319"," 2700"," 3600"," 4800","  52.582"," 152.943","  42.484","  48.797"," 145.193","  40.331"," 51","0"," 47"," 58","   3.354","   6.784","   1.885","  45.000","  450","  433"
"21:52:54:371","218844015427006","   4.035","  58.667"," 2967"," 2300"," 3600"," 4800","  38.436"," 191.491","  53.192","  32.853"," 178.142","  49.484"," 50","0"," 44"," 56","   3.132","   9.926","   2.757","  45.000","  900","  900"
"21:52:55:377","218846334080158","   5.041","  37.922"," 3147"," 1200"," 4300"," 4768","  33.310"," 225.013","  62.503","  29.624"," 207.955","  57.765"," 44","0"," 43"," 59","   2.018","  11.957","   3.321","  45.000","    0","    0"
"21:52:56:386","218848658510178","   6.050","  40.717"," 3479"," 1900"," 3700"," 4791","  42.255"," 267.643","  74.345","  39.110"," 247.412","  68.725"," 52","0"," 42"," 56","   2.429","  14.407","   4.002","  45.000","  350","  333"
"21:52:57:394","218850980937494","   7.058","  44.649"," 3066"," 1200"," 4100"," 4720","  30.858"," 298.748","  82.985","  27.674"," 275.307","  76.474"," 52","0"," 42"," 57","   2.388","  16.814","   4.671","  45.000","  700","  700"
"21:52:58:403","218853305341064","   8.067","  63.338"," 2898"," 2300"," 3600"," 4800","  39.789"," 338.889","  94.136","  31.370"," 306.955","  85.265"," 52","0"," 47"," 57","   3.445","  20.290","   5.636","  45.000","    0","    0"
"21:52:59:408","218855622017408","   9.072","  10.119"," 2717"," 1200"," 3600"," 3985","   9.302"," 348.242","  96.734","   6.450"," 313.440","  87.067"," 44","0"," 41"," 53","   1.259","  21.556","   5.988","  45.000","    0","    0"
"21:53:00:413","218857936490246","  10.077","   4.205"," 2620"," 1200"," 3600"," 3247","   4.192"," 352.453","  97.904","   3.258"," 316.713","  87.976"," 51","0"," 40"," 51","   0.846","  22.405","   6.224","  45.000","  350","  333"
"21:53:01:419","218860255619314","  11.083","  18.718"," 3404"," 1200"," 4100"," 4597","  22.075"," 374.673"," 104.076","  20.017"," 336.861","  93.573"," 44","0"," 42"," 61","   1.599","  24.015","   6.671","  45.000","    0","    0"
"21:53:02:420","218862560525696","  12.084","   1.852"," 1745"," 1200"," 3000"," 1845","   1.452"," 376.126"," 104.479","   0.789"," 337.650","  93.792"," 44","0"," 41"," 45","   0.689","  24.705","   6.862","  45.000","  350","  333"
"21:53:03:428","218864883238470","  13.092","   3.164"," 2453"," 1200"," 3700"," 2985","   3.434"," 379.588"," 105.441","   2.367"," 340.036","  94.455"," 49","0"," 40"," 51","   0.880","  25.592","   7.109","  45.000","  350","  333"
"21:53:04:433","218867198981940","  14.097","  61.469"," 2724"," 2200"," 3700"," 4791","  34.228"," 413.990"," 114.997","  26.631"," 366.803"," 101.890"," 52","0"," 43"," 54","   3.390","  28.999","   8.055","  45.000","    0","    0"
"21:53:05:439","218869517985484","  15.103","  28.113"," 3554"," 2600"," 3700"," 4772","  35.524"," 449.745"," 124.929","  32.730"," 399.746"," 111.041"," 50","0"," 46"," 58","   2.100","  31.113","   8.642","  45.000","  450","  433"
"21:53:06:449","218871844999434","  16.113","  36.599"," 3152"," 1200"," 4300"," 4429","  32.529"," 482.599"," 134.055","  29.128"," 429.165"," 119.213"," 53","0"," 44"," 59","   2.285","  33.420","   9.283","  45.000","  750","  733"
"21:53:07:450","218874150207852","  17.114","  71.974"," 2714"," 2300"," 2900"," 4800","  37.331"," 519.950"," 144.430","  27.452"," 456.632"," 126.842"," 54","0"," 49"," 54","   3.600","  37.022","  10.284","  45.000"," 1150"," 1200"
"21:53:08:460","218876477039246","  18.124","  45.477"," 2885"," 1200"," 3600"," 4748","  34.315"," 554.604"," 154.057","  24.627"," 481.503"," 133.751"," 49","0"," 46"," 57","   2.988","  40.040","  11.122","  45.000","    0","    0"
"21:53:09:465","218878794383788","  19.130","   6.375"," 2622"," 1200"," 4000"," 3065","   6.194"," 560.834"," 155.787","   5.166"," 486.698"," 135.194"," 50","0"," 44"," 57","   0.814","  40.858","  11.350","  45.000","    0","    0"
