"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:22:29:471","247816629424196","   1.004","   3.045"," 2073"," 1200"," 3700"," 2373","   2.649","   2.660","   0.739","   1.753","   1.759","   0.489"," 38","0"," 34"," 44","   0.763","   0.766","   0.213","  45.000","    0","    0"
"01:22:30:480","247818953647680","   2.013","   1.697"," 1797"," 1200"," 3700"," 2046","   1.463","   4.135","   1.149","   0.831","   2.598","   0.722"," 37","0"," 34"," 46","   0.666","   1.437","   0.399","  45.000","    0","    0"
"01:22:31:490","247821281937544","   3.023","   1.068"," 1468"," 1200"," 2500"," 1487","   0.970","   5.115","   1.421","   0.375","   2.977","   0.827"," 37","0"," 34"," 37","   0.675","   2.120","   0.589","  45.000","    0","    0"
"01:22:32:495","247823596927078","   4.028","   1.437"," 1879"," 1200"," 3000"," 1976","   1.270","   6.391","   1.775","   0.667","   3.648","   1.013"," 37","0"," 34"," 38","   0.669","   2.791","   0.775","  45.000","    0","    0"
"01:22:33:500","247825912778458","   5.033","   1.218"," 1650"," 1200"," 2800"," 1682","   1.272","   7.670","   2.130","   0.490","   4.140","   1.150"," 37","0"," 34"," 38","   0.734","   3.529","   0.980","  45.000","    0","    0"
"01:22:34:504","247828226539212","   6.037","   1.119"," 1632"," 1200"," 3000"," 1666","   1.100","   8.774","   2.437","   0.483","   4.625","   1.285"," 38","0"," 34"," 38","   0.675","   4.207","   1.169","  45.000","    0","    0"
"01:22:35:512","247830549169036","   7.045","   1.007"," 1443"," 1200"," 3000"," 1454","   0.922","   9.704","   2.695","   0.362","   4.990","   1.386"," 37","0"," 34"," 37","   0.657","   4.870","   1.353","  45.000","    0","    0"
"01:22:36:523","247832877105166","   8.056","   1.782"," 2438"," 1200"," 3700"," 2612","   2.160","  11.886","   3.302","   1.520","   6.526","   1.813"," 37","0"," 34"," 44","   0.661","   5.538","   1.538","  45.000","    0","    0"
"01:22:37:524","247835183402268","   9.057","   1.291"," 1770"," 1200"," 3000"," 1870","   1.173","  13.060","   3.628","   0.575","   7.101","   1.973"," 37","0"," 34"," 41","   0.661","   6.199","   1.722","  45.000","    0","    0"
"01:22:38:527","247837495632236","  10.060","   1.121"," 1631"," 1200"," 2800"," 1661","   1.238","  14.302","   3.973","   0.475","   7.578","   2.105"," 37","0"," 34"," 38","   0.728","   6.930","   1.925","  45.000","    0","    0"
