"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:44:30:689","167917674728314","   1.006","   1.394"," 1507"," 1200"," 2500"," 1509","   1.224","   1.232","   0.342","   0.478","   0.481","   0.133"," 41","0"," 36"," 41","   0.715","   0.719","   0.200","  45.000","    0","    0"
"15:44:31:704","167920013449806","   2.022","   2.606"," 2506"," 1200"," 3700"," 3089","   2.766","   4.039","   1.122","   2.085","   2.597","   0.721"," 41","0"," 37"," 48","   0.691","   1.421","   0.395","  45.000","    0","    0"
"15:44:32:706","167922321763852","   3.023","   1.234"," 1492"," 1200"," 3300"," 1498","   1.017","   5.058","   1.405","   0.403","   3.001","   0.834"," 39","0"," 36"," 41","   0.680","   2.102","   0.584","  45.000","    0","    0"
"15:44:33:707","167924628513156","   4.025","   1.069"," 1546"," 1200"," 2500"," 1566","   1.212","   6.271","   1.742","   0.408","   3.410","   0.947"," 40","0"," 36"," 41","   0.736","   2.840","   0.789","  45.000","    0","    0"
"15:44:34:709","167926936449636","   5.026","   1.591"," 1986"," 1200"," 3700"," 2263","   1.473","   7.747","   2.152","   0.870","   4.281","   1.189"," 39","0"," 36"," 48","   0.659","   3.499","   0.972","  45.000","    0","    0"
"15:44:35:719","167929263585608","   6.036","   1.142"," 1552"," 1200"," 2700"," 1579","   1.019","   8.777","   2.438","   0.413","   4.698","   1.305"," 41","0"," 36"," 40","   0.677","   4.183","   1.162","  45.000","    0","    0"
"15:44:36:721","167931571998248","   7.038","   1.123"," 1502"," 1200"," 2700"," 1533","   0.981","   9.760","   2.711","   0.407","   5.106","   1.418"," 40","0"," 36"," 41","   0.657","   4.842","   1.345","  45.000","    0","    0"
"15:44:37:730","167933897555868","   8.048","   2.094"," 2448"," 1200"," 3800"," 2622","   2.593","  12.377","   3.438","   1.723","   6.845","   1.901"," 39","0"," 37"," 46","   0.743","   5.592","   1.553","  45.000","    0","    0"
"15:44:38:739","167936220808264","   9.056","   0.929"," 1593"," 1200"," 2700"," 1619","   0.977","  13.363","   3.712","   0.384","   7.233","   2.009"," 39","0"," 36"," 40","   0.670","   6.268","   1.741","  45.000","    0","    0"
"15:44:39:749","167938548717658","  10.067","   1.127"," 1478"," 1200"," 2500"," 1496","   0.985","  14.358","   3.988","   0.395","   7.632","   2.120"," 39","0"," 36"," 40","   0.662","   6.936","   1.927","  45.000","    0","    0"
"15:44:40:758","167940873447236","  11.076","   0.975"," 1508"," 1200"," 2500"," 1527","   1.048","  15.415","   4.282","   0.389","   8.024","   2.229"," 39","0"," 36"," 40","   0.686","   7.628","   2.119","  45.000","    0","    0"
"15:44:41:765","167943194051090","  12.083","   1.976"," 2381"," 1200"," 3700"," 2878","   2.267","  17.698","   4.916","   1.496","   9.531","   2.648"," 40","0"," 36"," 45","   0.722","   8.356","   2.321","  45.000","    0","    0"
"15:44:42:766","167945499567342","  13.084","   2.422"," 1541"," 1200"," 3600"," 1563","   1.454","  19.153","   5.320","   0.713","  10.245","   2.846"," 39","0"," 36"," 41","   0.748","   9.105","   2.529","  45.000","    0","    0"
"15:44:43:767","167947805794828","  14.085","   0.980"," 1427"," 1200"," 2800"," 1433","   0.907","  20.061","   5.573","   0.347","  10.592","   2.942"," 39","0"," 36"," 40","   0.655","   9.760","   2.711","  45.000","    0","    0"
"15:44:44:768","167950111423026","  15.085","   1.206"," 1680"," 1200"," 3600"," 1826","   1.216","  21.278","   5.911","   0.527","  11.119","   3.089"," 40","0"," 36"," 42","   0.691","  10.452","   2.903","  45.000","    0","    0"
"15:44:45:778","167952438252622","  16.095","   0.955"," 1433"," 1200"," 2500"," 1446","   0.902","  22.189","   6.164","   0.336","  11.458","   3.183"," 39","0"," 36"," 40","   0.654","  11.112","   3.087","  45.000","    0","    0"
"15:44:46:779","167954745998358","  17.097","   1.346"," 1668"," 1200"," 3000"," 1728","   1.340","  23.531","   6.536","   0.559","  12.018","   3.338"," 42","0"," 36"," 42","   0.731","  11.844","   3.290","  45.000","    0","    0"
"15:44:47:785","167957062867488","  18.103","   1.711"," 2592"," 1200"," 3700"," 2715","   2.306","  25.849","   7.180","   1.572","  13.599","   3.777"," 39","0"," 37"," 46","   0.694","  12.543","   3.484","  45.000","    0","    0"
"15:44:48:795","167959389424032","  19.112","   1.130"," 1766"," 1200"," 3700"," 1993","   1.145","  27.006","   7.502","   0.564","  14.168","   3.936"," 39","0"," 36"," 44","   0.655","  13.204","   3.668","  45.000","    0","    0"
"15:44:49:796","167961695971374","  20.113","   1.190"," 1570"," 1200"," 2600"," 1591","   1.032","  28.039","   7.789","   0.448","  14.616","   4.060"," 39","0"," 36"," 40","   0.659","  13.864","   3.851","  45.000","    0","    0"
"15:44:50:797","167964001488552","  21.114","   1.062"," 1503"," 1200"," 2500"," 1515","   0.977","  29.017","   8.060","   0.372","  14.989","   4.164"," 39","0"," 36"," 41","   0.674","  14.538","   4.038","  45.000","    0","    0"
"15:44:51:805","167966325134018","  22.123","   1.672"," 2282"," 1200"," 3700"," 2731","   2.077","  31.111","   8.642","   1.228","  16.227","   4.508"," 45","0"," 36"," 45","   0.747","  15.292","   4.248","  45.000","    0","    0"
"15:44:52:806","167968630675308","  23.123","   1.291"," 1845"," 1200"," 3700"," 1978","   1.246","  32.358","   8.988","   0.651","  16.878","   4.688"," 40","0"," 36"," 45","   0.664","  15.956","   4.432","  45.000","    0","    0"
"15:44:53:809","167970941147058","  24.126","   0.965"," 1440"," 1200"," 2500"," 1458","   0.911","  33.271","   9.242","   0.344","  17.224","   4.784"," 39","0"," 36"," 40","   0.655","  16.613","   4.615","  45.000","    0","    0"
"15:44:54:809","167973246089220","  25.127","   1.509"," 2126"," 1200"," 4400"," 2448","   1.786","  35.058","   9.738","   1.015","  18.239","   5.066"," 39","0"," 36"," 50","   0.724","  17.338","   4.816","  45.000","    0","    0"
"15:44:55:810","167975551546468","  26.127","   1.345"," 1759"," 1200"," 2900"," 1854","   1.173","  36.232","  10.064","   0.588","  18.828","   5.230"," 39","0"," 36"," 41","   0.662","  18.000","   5.000","  45.000","    0","    0"
"15:44:56:810","167977856651032","  27.128","   1.391"," 1716"," 1200"," 3500"," 1818","   1.203","  37.435","  10.399","   0.590","  19.418","   5.394"," 41","0"," 36"," 42","   0.676","  18.677","   5.188","  45.000","    0","    0"
"15:44:57:812","167980163739602","  28.129","   1.649"," 2566"," 1200"," 3900"," 2695","   2.126","  39.564","  10.990","   1.496","  20.916","   5.810"," 39","0"," 36"," 46","   0.664","  19.341","   5.373","  45.000","    0","    0"
"15:44:58:812","167982469032700","  29.130","   1.016"," 1464"," 1200"," 2500"," 1475","   1.027","  40.592","  11.275","   0.370","  21.286","   5.913"," 39","0"," 36"," 40","   0.686","  20.028","   5.563","  45.000","    0","    0"
"15:44:59:813","167984774984420","  30.131","   1.030"," 1544"," 1200"," 2700"," 1565","   0.951","  41.543","  11.540","   0.381","  21.668","   6.019"," 39","0"," 36"," 40","   0.656","  20.684","   5.746","  45.000","    0","    0"
"15:45:00:819","167987091572696","  31.136","   1.729"," 2443"," 1200"," 4600"," 2730","   2.557","  44.114","  12.254","   1.892","  23.571","   6.547"," 39","0"," 36"," 59","   0.681","  21.369","   5.936","  45.000","    0","    0"
"15:45:01:820","167989399184760","  32.138","   1.278"," 2011"," 1200"," 3000"," 2142","   1.240","  45.356","  12.599","   0.650","  24.222","   6.728"," 39","0"," 36"," 40","   0.669","  22.039","   6.122","  45.000","    0","    0"

"Total Elapsed Time (sec) = 32.137755"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 45.356384"
"Cumulative Package Energy_0 (mWh) = 12.598996"
"Average Package Power_0 (Watt) = 1.411312"

"Cumulative IA Energy_0 (Joules) = 24.221619"
"Cumulative IA Energy_0 (mWh) = 6.728227"
"Average Package IA_0 (Watt) = 0.753681"

"Cumulative DRAM Energy_0 (Joules) = 22.038574"
"Cumulative DRAM Energy_0 (mWh) = 6.121826"
"Average Package DRAM_0 (Watt) = 0.685753"
