"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:28:16:777","273499709714240","   1.004","   1.987"," 2259"," 1200"," 4400"," 2544","   2.195","   2.205","   0.612","   1.446","   1.453","   0.404"," 36","0"," 32"," 47","   0.728","   0.731","   0.203","  45.000","    0","    0"
"04:28:17:785","273502032848170","   2.013","   1.623"," 1903"," 1200"," 3600"," 2120","   1.383","   3.599","   1.000","   0.760","   2.219","   0.616"," 41","0"," 32"," 41","   0.681","   1.417","   0.394","  45.000","    0","    0"
"04:28:18:788","273504344775402","   3.016","   2.524"," 2603"," 1200"," 4400"," 2977","   3.217","   6.828","   1.897","   2.482","   4.710","   1.308"," 36","0"," 32"," 52","   0.719","   2.138","   0.594","  45.000","    0","    0"
"04:28:19:792","273506656499002","   4.020","   1.005"," 1472"," 1200"," 2500"," 1490","   0.934","   7.766","   2.157","   0.363","   5.074","   1.409"," 36","0"," 32"," 36","   0.657","   2.797","   0.777","  45.000","    0","    0"
"04:28:20:800","273508980345564","   5.028","   1.067"," 1501"," 1200"," 2500"," 1519","   1.182","   8.958","   2.488","   0.391","   5.468","   1.519"," 36","0"," 32"," 36","   0.734","   3.538","   0.983","  45.000","    0","    0"
"04:28:21:806","273511297272598","   6.034","   1.034"," 1628"," 1200"," 2900"," 1660","   1.008","   9.972","   2.770","   0.423","   5.894","   1.637"," 36","0"," 32"," 36","   0.674","   4.215","   1.171","  45.000","    0","    0"
"04:28:22:808","273513605957934","   7.036","   1.942"," 2390"," 1200"," 3700"," 2869","   2.336","  12.313","   3.420","   1.489","   7.386","   2.052"," 36","0"," 32"," 42","   0.754","   4.971","   1.381","  45.000","    0","    0"
"04:28:23:811","273515916945196","   8.039","   1.000"," 1604"," 1200"," 2900"," 1644","   0.967","  13.283","   3.690","   0.399","   7.786","   2.163"," 35","0"," 32"," 36","   0.657","   5.630","   1.564","  45.000","    0","    0"
"04:28:24:815","273518230192938","   9.043","   1.099"," 1496"," 1200"," 2500"," 1516","   0.981","  14.268","   3.963","   0.383","   8.171","   2.270"," 36","0"," 32"," 36","   0.674","   6.306","   1.752","  45.000","    0","    0"
"04:28:25:825","273520557844836","  10.053","   1.922"," 2530"," 1200"," 3700"," 2725","   2.477","  16.770","   4.658","   1.702","   9.890","   2.747"," 35","0"," 32"," 42","   0.716","   7.030","   1.953","  45.000","    0","    0"
"04:28:26:831","273522874275808","  11.058","   1.095"," 1552"," 1200"," 2700"," 1586","   1.099","  17.874","   4.965","   0.397","  10.289","   2.858"," 35","0"," 32"," 36","   0.706","   7.740","   2.150","  45.000","    0","    0"
"04:28:27:832","273525182258416","  12.060","   1.180"," 1570"," 1200"," 2800"," 1603","   1.043","  18.919","   5.255","   0.432","  10.723","   2.979"," 35","0"," 32"," 36","   0.680","   8.421","   2.339","  45.000","    0","    0"
"04:28:28:841","273527506327666","  13.069","   0.981"," 1538"," 1200"," 2900"," 1569","   0.938","  19.865","   5.518","   0.374","  11.100","   3.083"," 36","0"," 32"," 36","   0.657","   9.084","   2.523","  45.000","    0","    0"
"04:28:29:845","273529818719126","  14.072","   0.904"," 1517"," 1200"," 2500"," 1539","   1.007","  20.875","   5.799","   0.352","  11.453","   3.181"," 35","0"," 32"," 36","   0.685","   9.771","   2.714","  45.000","    0","    0"
"04:28:30:846","273532125244392","  15.074","   0.942"," 1518"," 1200"," 2500"," 1545","   0.917","  21.793","   6.054","   0.348","  11.801","   3.278"," 36","0"," 31"," 36","   0.656","  10.427","   2.897","  45.000","    0","    0"
"04:28:31:854","273534447234898","  16.081","   1.045"," 1586"," 1200"," 2900"," 1611","   1.031","  22.833","   6.342","   0.416","  12.221","   3.395"," 35","0"," 32"," 36","   0.680","  11.113","   3.087","  45.000","    0","    0"
"04:28:32:854","273536752099632","  17.082","   2.165"," 2435"," 1200"," 3700"," 2885","   2.304","  25.138","   6.983","   1.656","  13.878","   3.855"," 36","0"," 32"," 42","   0.682","  11.795","   3.276","  45.000","    0","    0"
"04:28:33:859","273539067995994","  18.087","   1.322"," 1564"," 1200"," 2900"," 1596","   1.293","  26.437","   7.344","   0.474","  14.355","   3.987"," 35","0"," 32"," 36","   0.738","  12.537","   3.483","  45.000","    0","    0"
"04:28:34:862","273541378232120","  19.090","   1.279"," 1707"," 1200"," 2900"," 1751","   1.094","  27.534","   7.648","   0.492","  14.848","   4.124"," 35","0"," 32"," 36","   0.674","  13.213","   3.670","  45.000","    0","    0"
"04:28:35:870","273543701102664","  20.098","   1.813"," 2479"," 1200"," 3700"," 2620","   2.218","  29.771","   8.270","   1.565","  16.426","   4.563"," 36","0"," 32"," 41","   0.664","  13.882","   3.856","  45.000","    0","    0"
"04:28:36:872","273546009951506","  21.100","   1.050"," 1500"," 1200"," 2500"," 1535","   1.061","  30.834","   8.565","   0.390","  16.817","   4.671"," 36","0"," 32"," 36","   0.691","  14.575","   4.049","  45.000","    0","    0"
"04:28:37:875","273548320578598","  22.103","   1.293"," 1617"," 1200"," 2900"," 1647","   1.211","  32.049","   8.902","   0.487","  17.305","   4.807"," 36","0"," 32"," 36","   0.708","  15.285","   4.246","  45.000","    0","    0"
"04:28:38:877","273550628231856","  23.104","   1.151"," 1604"," 1200"," 2800"," 1646","   0.998","  33.048","   9.180","   0.416","  17.722","   4.923"," 36","0"," 32"," 36","   0.658","  15.944","   4.429","  45.000","    0","    0"
"04:28:39:878","273552936392494","  24.106","   1.088"," 1541"," 1200"," 2500"," 1552","   1.022","  34.072","   9.464","   0.394","  18.116","   5.032"," 35","0"," 31"," 36","   0.678","  16.623","   4.617","  45.000","    0","    0"
