"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:49:37:620","442336454774794","   1.003","   3.789"," 2131"," 1200"," 3800"," 2401","   3.185","   3.194","   0.887","   2.266","   2.273","   0.631"," 38","0"," 34"," 46","   0.781","   0.783","   0.217","  45.000","  350","  333"
"00:49:38:635","442338792605658","   2.018","   1.931"," 1841"," 1200"," 3700"," 2140","   1.661","   4.880","   1.356","   0.912","   3.198","   0.888"," 37","0"," 35"," 46","   0.703","   1.497","   0.416","  45.000","    0","    0"
"00:49:39:635","442341097960630","   3.018","   1.064"," 1427"," 1200"," 2500"," 1437","   0.927","   5.808","   1.613","   0.351","   3.550","   0.986"," 38","0"," 34"," 39","   0.659","   2.156","   0.599","  45.000","    0","    0"
"00:49:40:637","442343406370656","   4.020","   1.884"," 2369"," 1200"," 3700"," 2854","   2.160","   7.972","   2.215","   1.434","   4.987","   1.385"," 38","0"," 34"," 44","   0.711","   2.868","   0.797","  45.000","  350","  333"
"00:49:41:639","442345714015394","   5.022","   1.593"," 1915"," 1200"," 3000"," 2082","   1.356","   9.331","   2.592","   0.752","   5.741","   1.595"," 39","0"," 34"," 41","   0.666","   3.534","   0.982","  45.000","  400","  400"
"00:49:42:643","442348028187346","   6.026","   1.958"," 2491"," 1200"," 3900"," 2677","   2.286","  11.627","   3.230","   1.636","   7.384","   2.051"," 39","0"," 35"," 45","   0.663","   4.201","   1.167","  45.000","  350","  333"
"00:49:43:645","442350336192604","   7.028","   1.364"," 1571"," 1200"," 2500"," 1597","   1.115","  12.744","   3.540","   0.463","   7.847","   2.180"," 37","0"," 35"," 39","   0.678","   4.880","   1.356","  45.000","    0","    0"
"00:49:44:647","442352644161574","   8.030","   1.331"," 1533"," 1200"," 2500"," 1551","   1.170","  13.915","   3.865","   0.458","   8.306","   2.307"," 38","0"," 34"," 38","   0.695","   5.577","   1.549","  45.000","    0","    0"
"00:49:45:648","442354952077790","   9.031","   1.074"," 1576"," 1200"," 2500"," 1593","   0.977","  14.894","   4.137","   0.399","   8.706","   2.418"," 38","0"," 34"," 39","   0.661","   6.238","   1.733","  45.000","  350","  333"
"00:49:46:656","442357273056516","  10.039","   1.096"," 1747"," 1200"," 2800"," 1786","   1.028","  15.929","   4.425","   0.445","   9.154","   2.543"," 39","0"," 34"," 39","   0.660","   6.903","   1.918","  45.000","    0","    0"
"00:49:47:662","442359592293896","  11.045","   1.271"," 1575"," 1200"," 2800"," 1612","   1.038","  16.974","   4.715","   0.450","   9.607","   2.669"," 37","0"," 34"," 38","   0.664","   7.572","   2.103","  45.000","    0","    0"
"00:49:48:671","442361916137978","  12.054","   1.246"," 1513"," 1200"," 2600"," 1535","   1.029","  18.012","   5.003","   0.426","  10.037","   2.788"," 38","0"," 34"," 38","   0.664","   8.241","   2.289","  45.000","    0","    0"
"00:49:49:673","442364225505070","  13.056","   1.188"," 1543"," 1200"," 2500"," 1559","   1.019","  19.033","   5.287","   0.429","  10.467","   2.907"," 37","0"," 34"," 38","   0.656","   8.899","   2.472","  45.000","    0","    0"
"00:49:50:675","442366532792114","  14.058","   1.870"," 2309"," 1200"," 3700"," 2736","   2.067","  21.103","   5.862","   1.424","  11.893","   3.303"," 37","0"," 34"," 44","   0.682","   9.582","   2.662","  45.000","    0","    0"
"00:49:51:677","442368841519874","  15.060","   1.268"," 1637"," 1200"," 3500"," 1662","   1.197","  22.303","   6.195","   0.495","  12.388","   3.441"," 38","0"," 34"," 38","   0.698","  10.282","   2.856","  45.000","    0","    0"
"00:49:52:682","442371157349568","  16.065","   2.569"," 2496"," 1200"," 3600"," 2972","   2.489","  24.805","   6.890","   1.776","  14.174","   3.937"," 38","0"," 34"," 45","   0.743","  11.029","   3.063","  45.000","  350","  333"
"00:49:53:685","442373469352992","  17.068","   1.066"," 1431"," 1200"," 2500"," 1439","   0.949","  25.757","   7.155","   0.360","  14.535","   4.037"," 38","0"," 34"," 38","   0.658","  11.689","   3.247","  45.000","    0","    0"
"00:49:54:689","442375781892786","  18.072","   1.032"," 1429"," 1200"," 2500"," 1447","   0.923","  26.683","   7.412","   0.353","  14.889","   4.136"," 38","0"," 34"," 38","   0.656","  12.347","   3.430","  45.000","    0","    0"
"00:49:55:694","442378098328540","  19.077","   1.255"," 1612"," 1200"," 2500"," 1626","   1.058","  27.747","   7.707","   0.458","  15.350","   4.264"," 37","0"," 34"," 38","   0.661","  13.012","   3.614","  45.000","    0","    0"
"00:49:56:696","442380405232840","  20.079","   1.178"," 1665"," 1200"," 2900"," 1715","   1.054","  28.803","   8.001","   0.474","  15.825","   4.396"," 37","0"," 34"," 38","   0.660","  13.673","   3.798","  45.000","    0","    0"
"00:49:57:700","442382717995520","  21.083","   1.224"," 1554"," 1200"," 2800"," 1581","   1.019","  29.825","   8.285","   0.435","  16.261","   4.517"," 37","0"," 34"," 38","   0.662","  14.337","   3.983","  45.000","    0","    0"
"00:49:58:701","442385026083570","  22.084","   1.020"," 1494"," 1200"," 2500"," 1506","   0.941","  30.768","   8.547","   0.362","  16.624","   4.618"," 38","0"," 34"," 39","   0.656","  14.994","   4.165","  45.000","    0","    0"
"00:49:59:708","442387345446390","  23.091","   1.095"," 1518"," 1200"," 2500"," 1534","   1.090","  31.865","   8.851","   0.390","  17.016","   4.727"," 37","0"," 34"," 38","   0.702","  15.701","   4.361","  45.000","    0","    0"
"00:50:00:715","442389666055340","  24.098","   2.046"," 2339"," 1200"," 3700"," 2811","   2.162","  34.043","   9.456","   1.473","  18.500","   5.139"," 38","0"," 34"," 44","   0.703","  16.408","   4.558","  45.000","    0","    0"
"00:50:01:726","442391993972040","  25.109","   1.458"," 1582"," 1200"," 3000"," 1610","   1.216","  35.272","   9.798","   0.512","  19.017","   5.283"," 37","0"," 34"," 38","   0.705","  17.120","   4.756","  45.000","    0","    0"
"00:50:02:727","442394300880704","  26.110","   1.993"," 2542"," 1200"," 3800"," 2721","   2.360","  37.635","  10.454","   1.711","  20.731","   5.759"," 38","0"," 34"," 44","   0.668","  17.789","   4.941","  45.000","    0","    0"
"00:50:03:730","442396612632344","  27.113","   0.977"," 1508"," 1200"," 2500"," 1532","   0.945","  38.583","  10.718","   0.377","  21.109","   5.863"," 38","0"," 34"," 38","   0.655","  18.446","   5.124","  45.000","    0","    0"
"00:50:04:731","442398918622504","  28.114","   1.113"," 1637"," 1200"," 2500"," 1659","   1.158","  39.743","  11.040","   0.440","  21.549","   5.986"," 38","0"," 34"," 38","   0.703","  19.150","   5.319","  45.000","    0","    0"
"00:50:05:740","442401244076046","  29.123","   1.126"," 1576"," 1200"," 2500"," 1596","   1.122","  40.875","  11.354","   0.411","  21.964","   6.101"," 37","0"," 34"," 37","   0.703","  19.859","   5.516","  45.000","    0","    0"
"00:50:06:743","442403554881174","  30.126","   1.195"," 1590"," 1200"," 2800"," 1612","   1.025","  41.903","  11.640","   0.440","  22.405","   6.224"," 37","0"," 34"," 38","   0.662","  20.523","   5.701","  45.000","    0","    0"
"00:50:07:744","442405861310002","  31.127","   1.174"," 1620"," 1200"," 2900"," 1647","   1.033","  42.937","  11.927","   0.440","  22.845","   6.346"," 37","0"," 34"," 38","   0.661","  21.185","   5.885","  45.000","    0","    0"
"00:50:08:745","442408167094828","  32.128","   1.182"," 1620"," 1200"," 2500"," 1643","   1.166","  44.104","  12.251","   0.450","  23.295","   6.471"," 37","0"," 34"," 37","   0.705","  21.891","   6.081","  45.000","    0","    0"
"00:50:09:747","442410475046946","  33.130","   0.948"," 1679"," 1200"," 2500"," 1713","   0.963","  45.068","  12.519","   0.395","  23.691","   6.581"," 37","0"," 34"," 38","   0.654","  22.546","   6.263","  45.000","    0","    0"
"00:50:10:757","442412802667392","  34.140","   1.771"," 2437"," 1200"," 3700"," 2978","   2.016","  47.104","  13.085","   1.380","  25.085","   6.968"," 37","0"," 34"," 45","   0.676","  23.229","   6.452","  45.000","    0","    0"
"00:50:11:758","442415107476394","  35.141","   1.641"," 1940"," 1200"," 3600"," 2048","   1.483","  48.588","  13.497","   0.747","  25.832","   7.176"," 37","0"," 34"," 38","   0.714","  23.943","   6.651","  45.000","    0","    0"
"00:50:12:762","442417422621390","  36.145","   2.073"," 2431"," 1200"," 3700"," 2631","   2.356","  50.955","  14.154","   1.685","  27.526","   7.646"," 37","0"," 34"," 44","   0.667","  24.614","   6.837","  45.000","    0","    0"
"00:50:13:763","442419728590598","  37.146","   1.366"," 1713"," 1200"," 2800"," 1749","   1.114","  52.070","  14.464","   0.517","  28.043","   7.790"," 37","0"," 34"," 38","   0.662","  25.277","   7.021","  45.000","    0","    0"
"00:50:14:770","442422047196822","  38.153","   1.067"," 1541"," 1200"," 2500"," 1551","   0.956","  53.032","  14.731","   0.383","  28.429","   7.897"," 38","0"," 34"," 38","   0.658","  25.939","   7.205","  45.000","    0","    0"
"00:50:15:770","442424352233404","  39.153","   1.192"," 1420"," 1200"," 2500"," 1431","   0.954","  53.987","  14.996","   0.378","  28.807","   8.002"," 37","0"," 34"," 38","   0.660","  26.599","   7.389","  45.000","    0","    0"
"00:50:16:780","442426680149238","  40.163","   1.249"," 1628"," 1200"," 2900"," 1661","   1.056","  55.054","  15.293","   0.474","  29.286","   8.135"," 37","0"," 34"," 38","   0.663","  27.269","   7.575","  45.000","    0","    0"
"00:50:17:785","442428995466510","  41.168","   1.438"," 1632"," 1200"," 2900"," 1658","   1.274","  56.334","  15.648","   0.536","  29.824","   8.285"," 38","0"," 34"," 38","   0.710","  27.983","   7.773","  45.000","    0","    0"
"00:50:18:795","442431322624634","  42.178","   1.438"," 2067"," 1200"," 3700"," 2353","   1.437","  57.785","  16.051","   0.837","  30.670","   8.519"," 37","0"," 34"," 43","   0.662","  28.651","   7.959","  45.000","    0","    0"
"00:50:19:803","442433644226482","  43.186","   1.592"," 2043"," 1200"," 3700"," 2266","   1.656","  59.454","  16.515","   0.900","  31.576","   8.771"," 37","0"," 34"," 44","   0.710","  29.366","   8.157","  45.000","    0","    0"
"00:50:20:804","442435949639342","  44.187","   1.839"," 2401"," 1200"," 3700"," 2903","   2.033","  61.489","  17.080","   1.396","  32.973","   9.159"," 37","0"," 34"," 43","   0.679","  30.045","   8.346","  45.000","    0","    0"
"00:50:21:811","442438269875664","  45.194","   1.199"," 1655"," 1200"," 2700"," 1690","   1.037","  62.533","  17.370","   0.457","  33.434","   9.287"," 37","0"," 34"," 38","   0.661","  30.712","   8.531","  45.000","    0","    0"
"00:50:22:818","442440591061792","  46.201","   2.576"," 2506"," 1200"," 3600"," 3013","   2.371","  64.922","  18.034","   1.723","  35.169","   9.769"," 37","0"," 34"," 44","   0.729","  31.446","   8.735","  45.000","    0","    0"
"00:50:23:820","442442898798802","  47.203","   1.347"," 1464"," 1200"," 2800"," 1481","   1.156","  66.079","  18.355","   0.433","  35.602","   9.890"," 37","0"," 34"," 38","   0.702","  32.149","   8.930","  45.000","    0","    0"
"00:50:24:829","442445222998738","  48.212","   1.105"," 1424"," 1200"," 2500"," 1430","   0.984","  67.072","  18.631","   0.371","  35.977","   9.994"," 37","0"," 34"," 37","   0.661","  32.816","   9.116","  45.000","    0","    0"
"00:50:25:833","442447537617174","  49.216","   1.208"," 1589"," 1200"," 2600"," 1612","   1.006","  68.083","  18.912","   0.429","  36.408","  10.113"," 37","0"," 34"," 37","   0.658","  33.477","   9.299","  45.000","    0","    0"
"00:50:26:834","442449843670776","  50.217","   1.219"," 1683"," 1200"," 2800"," 1723","   1.050","  69.134","  19.204","   0.460","  36.868","  10.241"," 37","0"," 34"," 37","   0.663","  34.140","   9.483","  45.000","    0","    0"
"00:50:27:835","442452150656320","  51.218","   1.610"," 1723"," 1200"," 2800"," 1750","   1.346","  70.482","  19.578","   0.594","  37.463","  10.406"," 37","0"," 34"," 38","   0.711","  34.852","   9.681","  45.000","    0","    0"
"00:50:28:842","442454468934710","  52.225","   1.289"," 1674"," 1200"," 3000"," 1772","   1.099","  71.588","  19.886","   0.517","  37.984","  10.551"," 37","0"," 34"," 39","   0.660","  35.517","   9.866","  45.000","    0","    0"
"00:50:29:842","442456774089724","  53.225","   1.065"," 1568"," 1200"," 2500"," 1585","   1.133","  72.721","  20.200","   0.425","  38.409","  10.669"," 37","0"," 34"," 38","   0.702","  36.219","  10.061","  45.000","    0","    0"
"00:50:30:853","442459101927254","  54.236","   2.082"," 2563"," 1200"," 3700"," 3086","   2.489","  75.236","  20.899","   1.849","  40.277","  11.188"," 37","0"," 34"," 44","   0.679","  36.904","  10.251","  45.000","    0","    0"
"00:50:31:853","442461407237480","  55.236","   2.534"," 1961"," 1200"," 3800"," 2101","   1.860","  77.097","  21.416","   1.188","  41.466","  11.518"," 38","0"," 34"," 40","   0.677","  37.582","  10.439","  45.000","    0","    0"
"00:50:32:853","442463711993248","  56.236","  10.877"," 1707","  700"," 4800"," 1868","   7.788","  84.888","  23.580","   5.601","  47.069","  13.075"," 42","0"," 34"," 53","   0.813","  38.395","  10.665","  45.000","    0","    0"
