"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:27:09:786","447525311110632","   1.003","   2.107"," 2359"," 1200"," 3700"," 2707","   2.409","   2.417","   0.671","   1.613","   1.618","   0.450"," 39","0"," 35"," 45","   0.735","   0.737","   0.205","  45.000","    0","    0"
"01:27:10:800","447527647417900","   2.017","   4.957"," 1647"," 1200"," 3700"," 1727","   2.545","   4.998","   1.388","   1.673","   3.315","   0.921"," 39","0"," 35"," 46","   0.662","   1.409","   0.391","  45.000","    0","    0"
"01:27:11:811","447529975917846","   3.028","   1.562"," 1747"," 1200"," 3000"," 1826","   1.250","   6.261","   1.739","   0.635","   3.957","   1.099"," 39","0"," 35"," 39","   0.672","   2.088","   0.580","  45.000","    0","    0"
"01:27:12:812","447532282345452","   4.029","   3.802"," 1438"," 1200"," 3600"," 1445","   1.671","   7.933","   2.204","   0.940","   4.897","   1.360"," 39","0"," 35"," 40","   0.666","   2.755","   0.765","  45.000","    0","    0"
"01:27:13:812","447534587341516","   5.030","   8.340"," 1821"," 1200"," 4700"," 1864","   5.001","  12.936","   3.593","   3.945","   8.844","   2.457"," 39","0"," 35"," 58","   0.651","   3.406","   0.946","  45.000","    0","    0"
"01:27:14:813","447536893179858","   6.030","  43.584"," 3908"," 1400"," 4200"," 4771","  61.826","  74.811","  20.781","  60.454","  69.346","  19.263"," 60","0"," 37"," 64","   1.117","   4.524","   1.257","  45.000","    0","    0"
"01:27:15:820","447539213860888","   7.038","  19.428"," 4173"," 3800"," 4500"," 4800","  43.803"," 118.932","  33.037","  42.608"," 112.262","  31.184"," 62","0"," 44"," 66","   0.803","   5.333","   1.481","  45.000","    0","    0"
"01:27:16:824","447541526789224","   8.042","  10.114"," 4334"," 3800"," 4600"," 4800","  29.368"," 148.414","  41.226","  28.170"," 140.541","  39.039"," 62","0"," 42"," 66","   0.728","   6.064","   1.684","  45.000","    0","    0"
"01:27:17:831","447543844834342","   9.048","   9.116"," 4399"," 3800"," 4700"," 4800","  28.624"," 177.213","  49.226","  27.467"," 168.176","  46.716"," 61","0"," 43"," 67","   0.703","   6.771","   1.881","  45.000","    0","    0"
"01:27:18:837","447546163911496","  10.055","   9.808"," 3648"," 1200"," 4500"," 4335","  17.922"," 195.252","  54.237","  16.933"," 185.220","  51.450"," 46","0"," 41"," 65","   0.737","   7.513","   2.087","  45.000","    0","    0"
"01:27:19:844","447548482970064","  11.062","   4.233"," 2404"," 1200"," 4100"," 2662","   3.777"," 199.054","  55.293","   2.978"," 188.217","  52.283"," 43","0"," 40"," 51","   0.718","   8.236","   2.288","  45.000","    0","    0"
"01:27:20:848","447550795262688","  12.065","   4.045"," 2549"," 1200"," 4600"," 2638","   5.005"," 204.077","  56.688","   4.221"," 192.454","  53.459"," 42","0"," 40"," 64","   0.675","   8.914","   2.476","  45.000","    0","    0"
