"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:11:13:670","461911151814204","   1.000","  10.525"," 1491"," 1200"," 3600"," 1501","   4.313","   4.314","   1.198","   2.504","   2.504","   0.696"," 49","0"," 47"," 52","   0.944","   0.944","   0.262","  45.000","    0","    0"
"03:11:14:685","461913488326006","   2.014","   9.598"," 1629"," 1200"," 3700"," 1696","   4.927","   9.310","   2.586","   3.072","   5.620","   1.561"," 49","0"," 47"," 59","   0.944","   1.901","   0.528","  45.000","    0","    0"
"03:11:15:686","461915796514964","   3.016","  11.581"," 1921"," 1200"," 4400"," 1985","   7.381","  16.705","   4.640","   5.491","  11.121","   3.089"," 50","0"," 46"," 59","   0.982","   2.885","   0.801","  45.000","    0","    0"
"03:11:16:687","461918101420214","   4.017","   8.179"," 1472"," 1200"," 3600"," 1483","   3.942","  20.649","   5.736","   2.017","  13.138","   3.650"," 50","0"," 47"," 51","   0.955","   3.840","   1.067","  45.000","    0","    0"
"03:11:17:695","461920424605856","   5.025","   9.536"," 1488"," 1200"," 3600"," 1499","   4.157","  24.841","   6.900","   2.330","  15.488","   4.302"," 49","0"," 47"," 51","   0.924","   4.771","   1.325","  45.000","    0","    0"
"03:11:18:695","461922729556558","   6.025","   9.032"," 1505"," 1200"," 3600"," 1516","   4.188","  29.030","   8.064","   2.358","  17.847","   4.958"," 50","0"," 47"," 55","   0.938","   5.709","   1.586","  45.000","  350","  333"
"03:11:19:697","461925036680688","   7.027","   9.144"," 1450"," 1200"," 3600"," 1460","   4.016","  33.051","   9.181","   2.183","  20.033","   5.565"," 50","0"," 47"," 53","   0.943","   6.653","   1.848","  45.000","  350","  333"
"03:11:20:698","461927343807620","   8.028","   7.614"," 1430"," 1200"," 3600"," 1439","   3.577","  36.633","  10.176","   1.732","  21.767","   6.046"," 50","0"," 47"," 51","   0.919","   7.573","   2.104","  45.000","  350","  333"
"03:11:21:705","461929662865404","   9.035","   7.856"," 1762"," 1200"," 3700"," 1901","   5.037","  41.703","  11.584","   3.170","  24.958","   6.933"," 50","0"," 46"," 58","   0.937","   8.517","   2.366","  45.000","  350","  333"
"03:11:22:705","461931968397528","  10.035","  11.439"," 1486"," 1200"," 3600"," 1492","   4.572","  46.278","  12.855","   2.854","  27.814","   7.726"," 50","0"," 47"," 52","   0.982","   9.499","   2.639","  45.000","  350","  333"
"03:11:23:715","461934293613120","  11.044","   8.012"," 1360"," 1200"," 3200"," 1365","   3.543","  49.853","  13.848","   1.672","  29.501","   8.195"," 50","0"," 47"," 50","   0.919","  10.427","   2.896","  45.000","  350","  333"
"03:11:24:721","461936612268864","  12.051","  10.871"," 1365"," 1200"," 3600"," 1370","   4.097","  53.977","  14.994","   2.313","  31.828","   8.841"," 49","0"," 47"," 50","   0.928","  11.361","   3.156","  45.000","    0","    0"
"03:11:25:722","461938918415272","  13.052","   9.801"," 1690"," 1200"," 3900"," 1735","   5.533","  59.515","  16.532","   3.591","  35.423","   9.840"," 50","0"," 47"," 57","   0.960","  12.322","   3.423","  45.000","  350","  333"
"03:11:26:728","461941236354496","  14.058","  10.896"," 1413"," 1200"," 3100"," 1420","   4.139","  63.679","  17.689","   2.298","  37.735","  10.482"," 50","0"," 47"," 51","   0.928","  13.255","   3.682","  45.000","  350","  333"
"03:11:27:729","461943543362778","  15.059","  12.844"," 1489"," 1200"," 3600"," 1500","   4.823","  68.508","  19.030","   3.029","  40.767","  11.324"," 50","0"," 47"," 54","   0.952","  14.209","   3.947","  45.000","    0","    0"
"03:11:28:736","461945862698446","  16.066","  10.514"," 1380"," 1200"," 2700"," 1389","   4.171","  72.706","  20.196","   2.282","  43.064","  11.962"," 50","0"," 47"," 51","   0.943","  15.158","   4.211","  45.000","    0","    0"
"03:11:29:736","461948167508630","  17.066","  11.358"," 1356"," 1200"," 3600"," 1363","   3.998","  76.706","  21.307","   2.166","  45.231","  12.564"," 50","0"," 47"," 50","   0.919","  16.077","   4.466","  45.000","    0","    0"
"03:11:30:737","461950473719404","  18.067","   9.755"," 1475"," 1200"," 3600"," 1489","   4.073","  80.783","  22.440","   2.168","  47.401","  13.167"," 50","0"," 47"," 52","   0.961","  17.039","   4.733","  45.000","    0","    0"
"03:11:31:743","461952790343120","  19.072","   8.350"," 1904"," 1200"," 3700"," 2112","   5.733","  86.548","  24.041","   3.744","  51.166","  14.213"," 51","0"," 47"," 57","   0.973","  18.017","   5.005","  45.000","  350","  333"
"03:11:32:748","461955105994568","  20.077","  10.148"," 1467"," 1200"," 3200"," 1486","   3.876","  90.443","  25.123","   2.129","  53.306","  14.807"," 50","0"," 47"," 54","   0.886","  18.908","   5.252","  45.000","    0","    0"
