"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:19:31:593","504529849504250","   1.013","  30.437"," 3493"," 1200"," 4300"," 4493","  35.071","  35.519","   9.866","  32.411","  32.825","   9.118"," 81","0"," 60"," 83","   1.540","   1.559","   0.433","  45.000","    0","    0"
"08:19:32:627","504532229594360","   2.046","  67.265"," 3691"," 3300"," 4300"," 4800","  66.746"," 104.470","  29.019","  63.855","  98.789","  27.441"," 81","0"," 68"," 84","   2.126","   3.756","   1.043","  45.000","  350","  333"
"08:19:33:627","504534534815472","   3.046","  74.740"," 3322"," 2700"," 3700"," 4800","  54.621"," 159.120","  44.200","  50.608"," 149.424","  41.507"," 77","0"," 71"," 83","   3.039","   6.796","   1.888","  45.000","    0","    0"
"08:19:34:634","504536853903292","   4.053","  44.307"," 3211"," 2600"," 4100"," 4800","  38.117"," 197.487","  54.857","  33.511"," 183.155","  50.876"," 73","0"," 67"," 81","   2.605","   9.419","   2.616","  45.000","  650","  633"
"08:19:35:634","504539158879178","   5.053","  52.414"," 2949"," 2300"," 4300"," 4800","  38.547"," 236.049","  65.569","  33.596"," 216.765","  60.212"," 78","0"," 68"," 88","   2.600","  12.020","   3.339","  45.000","    0","    0"
"08:19:36:643","504541483409308","   6.062","  43.718"," 3260"," 1200"," 4100"," 4751","  40.201"," 276.608","  76.836","  36.576"," 253.667","  70.463"," 75","0"," 68"," 84","   2.384","  14.425","   4.007","  45.000","  550","  533"
"08:19:37:652","504543809177614","   7.072","  37.110"," 3235"," 1200"," 4100"," 4712","  35.847"," 312.794","  86.887","  32.729"," 286.705","  79.640"," 76","0"," 68"," 83","   2.122","  16.567","   4.602","  45.000","  500","  500"
"08:19:38:659","504546128399942","   8.078","  64.898"," 3039"," 2600"," 3700"," 4800","  44.589"," 357.678","  99.355","  38.207"," 325.164","  90.323"," 76","0"," 73"," 85","   3.293","  19.881","   5.523","  45.000","    0","    0"
"08:19:39:660","504548435261048","   9.080","  35.665"," 2736"," 1200"," 3600"," 4422","  24.082"," 381.789"," 106.053","  17.262"," 342.448","  95.124"," 70","0"," 68"," 78","   2.234","  22.118","   6.144","  45.000","    0","    0"
"08:19:40:670","504550762007180","  10.089","   8.232"," 1612"," 1200"," 3000"," 1629","   4.690"," 386.525"," 107.368","   2.696"," 345.171","  95.881"," 70","0"," 67"," 72","   0.951","  23.078","   6.411","  45.000","    0","    0"
"08:19:41:678","504553083508172","  11.097","  22.400"," 3213"," 1200"," 4100"," 4430","  25.913"," 412.635"," 114.621","  22.960"," 368.305"," 102.307"," 80","0"," 67"," 87","   1.706","  24.797","   6.888","  45.000","    0","    0"
"08:19:42:686","504555405812800","  12.105","   8.841"," 2220"," 1200"," 3600"," 2496","   7.960"," 420.658"," 116.850","   5.692"," 374.042"," 103.901"," 70","0"," 67"," 84","   1.060","  25.866","   7.185","  45.000","    0","    0"
"08:19:43:691","504557722130148","  13.110","   8.134"," 1575"," 1200"," 3100"," 1592","   4.789"," 425.473"," 118.187","   2.490"," 376.545"," 104.596"," 71","0"," 67"," 71","   1.046","  26.918","   7.477","  45.000","    0","    0"
"08:19:44:700","504560047563460","  14.120","  45.112"," 2629"," 1200"," 3600"," 4516","  23.694"," 449.387"," 124.830","  18.863"," 395.584"," 109.884"," 76","0"," 67"," 80","   2.494","  29.435","   8.176","  45.000"," 1050"," 1033"
"08:19:45:705","504562363556376","  15.125","  45.811"," 3060"," 2300"," 3600"," 4800","  40.469"," 490.067"," 136.130","  34.385"," 430.147"," 119.485"," 81","0"," 73"," 85","   2.597","  32.045","   8.901","  45.000","  600","  600"
"08:19:46:715","504564690389612","  16.135","  22.170"," 3146"," 1200"," 3700"," 4228","  24.783"," 515.095"," 143.082","  21.682"," 452.045"," 125.568"," 73","0"," 70"," 85","   1.687","  33.749","   9.375","  45.000","    0","    0"
"08:19:47:723","504567011768362","  17.142","  62.959"," 2874"," 2500"," 3600"," 4799","  40.000"," 555.397"," 154.277","  32.182"," 484.469"," 134.575"," 79","0"," 70"," 81","   3.353","  37.128","  10.313","  45.000"," 1150"," 1200"
