#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,24-10-23T15-12-45,mono,api-baseline,32.129576,13.380483,7.158593,6.210921,48.169739,25.770935,22.359314,44.78125
1,24-10-23T15-12-45,mono,api-monitor,32.166442,14.141388,7.770945,6.304762,50.908997,27.975403,22.697144,40.84375
1,24-10-23T15-12-45,mono,frontend-baseline,79.340392,31.834073,16.736688,15.245022,114.602661,60.252075,54.882080,40.87341772151899
1,24-10-23T15-12-45,mono,frontend-monitor,79.432463,276.982914,233.615367,27.600437,997.138489,841.015320,99.361572,50.936708860759495
10,24-10-23T15-12-45,mono,api-baseline,32.146338,13.114726,7.131721,6.157125,47.213013,25.674194,22.165649,37.0
10,24-10-23T15-12-45,mono,api-monitor,32.112507,12.560815,6.700575,6.141001,45.218933,24.122070,22.107605,35.9375
10,24-10-23T15-12-45,mono,frontend-baseline,79.326283,33.940498,18.075392,15.384454,122.185791,65.071411,55.384033,38.20253164556962
10,24-10-23T15-12-45,mono,frontend-monitor,79.380461,279.769508,234.812130,27.915938,1007.170227,845.323669,100.497375,48.620253164556964
11,24-10-23T15-12-45,mono,api-baseline,32.174933,12.905138,6.980099,6.149004,46.458496,25.128357,22.136414,37.5
11,24-10-23T15-12-45,mono,api-monitor,32.158413,13.401557,7.429572,6.177063,48.245605,26.746460,22.237427,36.21875
11,24-10-23T15-12-45,mono,frontend-baseline,79.332699,30.048099,15.582835,15.125970,108.173157,56.098206,54.453491,37.037974683544306
11,24-10-23T15-12-45,mono,frontend-monitor,79.333325,280.451457,242.677629,26.348029,1009.625244,873.639465,94.852905,47.9873417721519
12,24-10-23T15-12-45,mono,api-baseline,32.085706,17.217526,9.852142,6.477458,61.983093,35.467712,23.318848,37.125
12,24-10-23T15-12-45,mono,api-monitor,32.146279,58.426598,51.372342,6.509959,210.335754,184.940430,23.435852,42.21875
12,24-10-23T15-12-45,mono,frontend-baseline,79.343814,35.740526,19.651574,15.513713,128.665894,70.745667,55.849365,37.54430379746835
12,24-10-23T15-12-45,mono,frontend-monitor,79.388997,275.699446,230.150079,28.410831,992.518005,828.540283,102.278992,48.54430379746835
13,24-10-23T15-12-45,mono,api-baseline,32.163316,13.906080,7.892287,6.179674,50.061890,28.412231,22.246826,37.125
13,24-10-23T15-12-45,mono,api-monitor,32.150686,11.459283,5.768670,6.089800,41.253418,20.767212,21.923279,36.03125
13,24-10-23T15-12-45,mono,frontend-baseline,79.336589,38.924289,22.624274,15.522190,140.127441,81.447388,55.879883,37.08860759493671
13,24-10-23T15-12-45,mono,frontend-monitor,79.415107,273.254734,229.715220,27.836321,983.717041,826.974792,100.210754,48.139240506329116
14,24-10-23T15-12-45,mono,api-baseline,32.179484,13.066169,6.995121,6.150716,47.038208,25.182434,22.142578,37.3125
14,24-10-23T15-12-45,mono,api-monitor,32.136436,13.706631,7.635956,6.201409,49.343872,27.489441,22.325073,35.875
14,24-10-23T15-12-45,mono,frontend-baseline,79.283694,84.991574,67.602386,15.092095,305.969666,243.368591,54.331543,39.91139240506329
14,24-10-23T15-12-45,mono,frontend-monitor,79.333473,246.179996,215.600382,23.586307,886.247986,776.161377,84.910706,46.24050632911393
15,24-10-23T15-12-45,mono,api-baseline,32.159589,18.348982,10.787201,6.482239,66.056335,38.833923,23.336060,37.3125
15,24-10-23T15-12-45,mono,api-monitor,32.168270,14.456329,8.210466,6.170553,52.042786,29.557678,22.213989,35.84375
15,24-10-23T15-12-45,mono,frontend-baseline,79.378908,37.311300,21.012031,15.515001,134.320679,75.643311,55.854004,37.265822784810126
15,24-10-23T15-12-45,mono,frontend-monitor,79.375526,292.685767,240.231645,29.691450,1053.668762,864.833923,106.889221,49.34177215189873
16,24-10-23T15-12-45,mono,api-baseline,32.111249,40.454831,22.742530,8.450623,145.637390,81.873108,30.422241,60.78125
16,24-10-23T15-12-45,mono,api-monitor,32.084209,39.602322,21.684621,8.407830,142.568359,78.064636,30.268188,64.4375
16,24-10-23T15-12-45,mono,frontend-baseline,79.330163,103.312446,61.510841,20.663232,371.924805,221.439026,74.387634,65.24050632911393
16,24-10-23T15-12-45,mono,frontend-monitor,79.411785,322.397834,260.845642,31.165839,1160.632202,939.044312,112.197021,74.56962025316456
17,24-10-23T15-12-45,mono,api-baseline,32.134346,34.392938,18.447469,8.256785,123.814575,66.410889,29.724426,62.3125
17,24-10-23T15-12-45,mono,api-monitor,32.166684,39.536743,23.021037,8.325314,142.332275,82.875732,29.971130,62.0
17,24-10-23T15-12-45,mono,frontend-baseline,79.384100,90.821482,50.887316,20.457933,326.957336,183.194336,73.648560,61.35443037974684
17,24-10-23T15-12-45,mono,frontend-monitor,79.384259,308.410950,251.660088,30.079193,1110.279419,905.976318,108.285095,72.88607594936708
18,24-10-23T15-12-45,mono,api-baseline,32.123740,13.674554,7.601183,6.170112,49.228394,27.364258,22.212402,47.5
18,24-10-23T15-12-45,mono,api-monitor,32.134511,34.759386,27.332018,6.133270,125.133789,98.395264,22.079773,44.6875
18,24-10-23T15-12-45,mono,frontend-baseline,79.413339,31.110789,16.576233,15.108388,111.998840,59.674438,54.390198,41.22784810126582
18,24-10-23T15-12-45,mono,frontend-monitor,79.404374,269.029253,228.846944,26.561279,968.505310,823.848999,95.620605,51.0253164556962
19,24-10-23T15-12-45,mono,api-baseline,32.134492,12.494100,6.453705,6.172689,44.978760,23.233337,22.221680,37.46875
19,24-10-23T15-12-45,mono,api-monitor,32.173561,12.747074,6.869032,6.148122,45.889465,24.728516,22.133240,36.40625
19,24-10-23T15-12-45,mono,frontend-baseline,79.430066,31.479221,16.797791,15.193871,113.325195,60.472046,54.697937,37.08860759493671
19,24-10-23T15-12-45,mono,frontend-monitor,79.389150,271.961500,232.506782,26.531067,979.061401,837.024414,95.511841,47.32911392405063
2,24-10-23T15-12-45,mono,api-baseline,32.137755,12.598996,6.728227,6.121826,45.356384,24.221619,22.038574,39.6875
2,24-10-23T15-12-45,mono,api-monitor,32.116309,32.081129,21.716885,5.943129,115.492065,78.180786,21.395264,39.40625
2,24-10-23T15-12-45,mono,frontend-baseline,79.288126,31.294166,16.454671,15.218048,112.658997,59.236816,54.784973,39.21518987341772
2,24-10-23T15-12-45,mono,frontend-monitor,79.447670,259.163022,220.160811,26.298370,932.986877,792.578918,94.674133,48.55696202531646
20,24-10-23T15-12-45,mono,api-baseline,32.130596,28.388926,20.557217,6.562059,102.200134,74.005981,23.623413,37.75
20,24-10-23T15-12-45,mono,api-monitor,32.086477,117.118988,106.741655,6.419135,421.628357,384.269958,23.108887,59.46875
