"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:14:14:046","252652272921722","   1.006","   2.232"," 1612"," 1200"," 2900"," 1636","   1.525","   1.534","   0.426","   0.750","   0.754","   0.210"," 36","0"," 32"," 37","   0.777","   0.781","   0.217","  45.000","    0","    0"
"06:14:15:061","252654610030044","   2.020","   2.043"," 1959"," 1200"," 3700"," 2136","   1.856","   3.416","   0.949","   1.067","   1.836","   0.510"," 36","0"," 32"," 44","   0.740","   1.532","   0.426","  45.000","  350","  333"
"06:14:16:067","252656928629744","   3.027","   1.665"," 1869"," 1200"," 3600"," 2068","   1.542","   4.968","   1.380","   0.780","   2.621","   0.728"," 36","0"," 32"," 39","   0.741","   2.278","   0.633","  45.000","  350","  333"
"06:14:17:077","252659256469548","   4.037","   1.109"," 1578"," 1200"," 2500"," 1616","   1.028","   6.007","   1.669","   0.410","   3.036","   0.843"," 36","0"," 32"," 36","   0.677","   2.962","   0.823","  45.000","    0","    0"
"06:14:18:086","252661579569124","   5.045","   1.177"," 1549"," 1200"," 2500"," 1562","   1.004","   7.020","   1.950","   0.420","   3.459","   0.961"," 36","0"," 32"," 37","   0.667","   3.635","   1.010","  45.000","    0","    0"
"06:14:19:090","252663893807746","   6.050","   1.350"," 1636"," 1200"," 2700"," 1663","   1.192","   8.217","   2.283","   0.509","   3.970","   1.103"," 36","0"," 32"," 36","   0.711","   4.349","   1.208","  45.000","    0","    0"
"06:14:20:091","252666200710766","   7.051","   1.368"," 1748"," 1200"," 2900"," 1878","   1.313","   9.532","   2.648","   0.573","   4.544","   1.262"," 36","0"," 32"," 37","   0.728","   5.077","   1.410","  45.000","    0","    0"
"06:14:21:092","252668506711692","   8.052","   1.797"," 1592"," 1200"," 2600"," 1650","   1.228","  10.761","   2.989","   0.578","   5.122","   1.423"," 36","0"," 32"," 36","   0.688","   5.766","   1.602","  45.000","    0","    0"
"06:14:22:097","252670822140054","   9.057","   1.417"," 1674"," 1200"," 2700"," 1713","   1.220","  11.987","   3.330","   0.531","   5.656","   1.571"," 36","0"," 32"," 36","   0.710","   6.480","   1.800","  45.000","    0","    0"
"06:14:23:097","252673126833432","  10.057","   1.126"," 1584"," 1200"," 2500"," 1600","   1.014","  13.001","   3.612","   0.440","   6.096","   1.693"," 36","0"," 32"," 36","   0.665","   7.146","   1.985","  45.000","    0","    0"
"06:14:24:106","252675450518382","  11.065","   1.395"," 1842"," 1200"," 2900"," 1974","   1.337","  14.350","   3.986","   0.644","   6.745","   1.874"," 36","0"," 32"," 36","   0.715","   7.867","   2.185","  45.000","    0","    0"
"06:14:25:112","252677768990956","  12.072","   1.393"," 1770"," 1200"," 2900"," 1895","   1.311","  15.670","   4.353","   0.594","   7.344","   2.040"," 36","0"," 32"," 36","   0.719","   8.591","   2.386","  45.000","    0","    0"
"06:14:26:116","252680081819172","  13.076","   1.304"," 1604"," 1200"," 2500"," 1634","   1.091","  16.765","   4.657","   0.481","   7.827","   2.174"," 36","0"," 32"," 36","   0.676","   9.269","   2.575","  45.000","    0","    0"
"06:14:27:117","252682388032174","  14.076","   1.109"," 1586"," 1200"," 2500"," 1610","   1.011","  17.777","   4.938","   0.424","   8.251","   2.292"," 36","0"," 32"," 36","   0.671","   9.941","   2.761","  45.000","    0","    0"
"06:14:28:119","252684695833668","  15.078","   1.298"," 1611"," 1200"," 2900"," 1639","   1.078","  18.856","   5.238","   0.480","   8.732","   2.426"," 36","0"," 32"," 36","   0.669","  10.611","   2.948","  45.000","    0","    0"
"06:14:29:120","252687002387680","  16.079","   1.220"," 1612"," 1200"," 2800"," 1650","   1.045","  19.902","   5.528","   0.457","   9.189","   2.553"," 36","0"," 32"," 36","   0.673","  11.285","   3.135","  45.000","    0","    0"
"06:14:30:126","252689320155986","  17.085","   1.604"," 1925"," 1200"," 3700"," 2130","   1.688","  21.601","   6.000","   0.801","   9.995","   2.776"," 36","0"," 32"," 41","   0.788","  12.077","   3.355","  45.000","    0","    0"
"06:14:31:128","252691629670426","  18.088","   1.278"," 1626"," 1200"," 2500"," 1651","   1.110","  22.713","   6.309","   0.489","  10.485","   2.912"," 36","0"," 32"," 36","   0.682","  12.761","   3.545","  45.000","    0","    0"
"06:14:32:133","252693944613052","  19.092","   1.127"," 1563"," 1200"," 2500"," 1578","   0.994","  23.712","   6.587","   0.414","  10.901","   3.028"," 36","0"," 32"," 36","   0.667","  13.431","   3.731","  45.000","    0","    0"
"06:14:33:140","252696264011694","  20.099","   1.166"," 1679"," 1200"," 2600"," 1714","   1.177","  24.896","   6.916","   0.480","  11.384","   3.162"," 36","0"," 32"," 36","   0.714","  14.150","   3.930","  45.000","    0","    0"
"06:14:34:140","252698569334428","  21.100","   1.202"," 1639"," 1200"," 2700"," 1684","   1.034","  25.931","   7.203","   0.456","  11.841","   3.289"," 36","0"," 32"," 36","   0.668","  14.818","   4.116","  45.000","    0","    0"
