"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:49:24:430","191159984318016","   1.009","   1.535"," 1749"," 1200"," 3000"," 1799","   1.460","   1.473","   0.409","   0.657","   0.663","   0.184"," 40","0"," 36"," 41","   0.760","   0.767","   0.213","  45.000","    0","    0"
"22:49:25:437","191162304770208","   2.016","   3.515"," 1808"," 1200"," 3700"," 1970","   2.390","   3.880","   1.078","   1.424","   2.097","   0.582"," 40","0"," 36"," 47","   0.767","   1.539","   0.428","  45.000","    0","    0"
"22:49:26:439","191164611957326","   3.018","   3.888"," 1442"," 1200"," 3100"," 1453","   1.799","   5.682","   1.578","   0.944","   3.042","   0.845"," 39","0"," 36"," 41","   0.664","   2.204","   0.612","  45.000","    0","    0"
"22:49:27:448","191166938572612","   4.027","   1.269"," 1630"," 1200"," 3000"," 1665","   1.100","   6.792","   1.887","   0.494","   3.540","   0.983"," 40","0"," 36"," 41","   0.673","   2.884","   0.801","  45.000","    0","    0"
"22:49:28:459","191169266166486","   5.038","   1.811"," 2005"," 1200"," 3600"," 2151","   1.697","   8.506","   2.363","   0.935","   4.484","   1.246"," 40","0"," 36"," 45","   0.739","   3.631","   1.009","  45.000","    0","    0"
"22:49:29:463","191171579166550","   6.041","   1.333"," 1731"," 1200"," 3600"," 1770","   1.213","   9.723","   2.701","   0.555","   5.041","   1.400"," 39","0"," 36"," 41","   0.699","   4.333","   1.204","  45.000","    0","    0"
"22:49:30:468","191173895380412","   7.047","   1.458"," 1692"," 1200"," 3200"," 1721","   1.206","  10.935","   3.038","   0.584","   5.628","   1.563"," 40","0"," 36"," 41","   0.684","   5.020","   1.395","  45.000","    0","    0"
"22:49:31:469","191176201622060","   8.048","   1.197"," 1613"," 1200"," 3000"," 1643","   1.082","  12.018","   3.338","   0.463","   6.091","   1.692"," 39","0"," 36"," 41","   0.678","   5.699","   1.583","  45.000","    0","    0"
"22:49:32:470","191178508202322","   9.049","   1.111"," 1566"," 1200"," 2500"," 1581","   0.998","  13.017","   3.616","   0.414","   6.506","   1.807"," 39","0"," 36"," 41","   0.668","   6.368","   1.769","  45.000","    0","    0"
"22:49:33:472","191180816028220","  10.050","   1.373"," 1709"," 1200"," 2900"," 1729","   1.266","  14.285","   3.968","   0.548","   7.055","   1.960"," 39","0"," 35"," 40","   0.723","   7.092","   1.970","  45.000","    0","    0"
