"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:27:14:122","38798158470578","   1.002","   4.782"," 1538"," 1200"," 3600"," 1547","  13.510","  13.530","   3.758","   2.870","   2.874","   0.798"," 71","0"," 61"," 64","   0.974","   0.975","   0.271","  45.000"," 1150"," 1200"
"04:27:15:139","38800500347336","   2.019","   5.198"," 1699"," 1200"," 3600"," 1757","  14.188","  27.951","   7.764","   3.477","   6.408","   1.780"," 73","0"," 61"," 73","   0.954","   1.945","   0.540","  45.000"," 1150"," 1133"
"04:27:16:148","38802823011808","   3.028","   5.013"," 1520"," 1200"," 3600"," 1530","  13.614","  41.676","  11.577","   2.928","   9.360","   2.600"," 70","0"," 61"," 65","   0.975","   2.927","   0.813","  45.000","    0","    0"
"04:27:17:155","38805142571452","   4.035","   4.695"," 1450"," 1200"," 3600"," 1461","  13.007","  54.770","  15.214","   2.698","  12.076","   3.355"," 67","0"," 61"," 64","   0.930","   3.864","   1.073","  45.000","    0","    0"
"04:27:18:161","38807457925914","   5.041","   4.698"," 1463"," 1200"," 2500"," 1469","  13.253","  68.089","  18.914","   2.735","  14.825","   4.118"," 72","0"," 61"," 64","   0.929","   4.798","   1.333","  45.000"," 1150"," 1200"
"04:27:19:162","38809762823564","   6.042","   4.744"," 1478"," 1200"," 3600"," 1487","  13.332","  81.427","  22.619","   2.781","  17.607","   4.891"," 69","0"," 61"," 64","   0.934","   5.732","   1.592","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.041700"
"Measured RDTSC Frequency (GHz) = 2.303"

"Cumulative Package Energy_0 (Joules) = 81.426636"
"Cumulative Package Energy_0 (mWh) = 22.618510"
"Average Package Power_0 (Watt) = 13.477437"

"Cumulative IA Energy_0 (Joules) = 17.606934"
"Cumulative IA Energy_0 (mWh) = 4.890815"
"Average Package IA_0 (Watt) = 2.914235"

"Cumulative DRAM Energy_0 (Joules) = 5.731934"
"Cumulative DRAM Energy_0 (mWh) = 1.592204"
"Average Package DRAM_0 (Watt) = 0.948729"
