"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:33:35:520","72853909551818","   1.005","   6.064"," 1688"," 1200"," 3700"," 1712","  14.732","  14.803","   4.112","   3.572","   3.590","   0.997"," 76","0"," 61"," 71","   1.016","   1.021","   0.284","  45.000"," 1150"," 1200"
"08:33:36:538","72856256056530","   2.023","   5.823"," 1896"," 1200"," 3700"," 1951","  15.113","  30.194","   8.387","   4.120","   7.785","   2.163"," 74","0"," 61"," 74","   1.007","   2.047","   0.569","  45.000"," 1150"," 1133"
"08:33:37:547","72858580619872","   3.032","   5.031"," 1483"," 1200"," 3600"," 1492","  13.684","  44.000","  12.222","   2.886","  10.697","   2.971"," 71","0"," 61"," 64","   0.953","   3.008","   0.836","  45.000","    0","    0"
"08:33:38:552","72860895862524","   4.037","   6.562"," 1787"," 1200"," 3600"," 1796","  14.660","  58.732","  16.314","   3.528","  14.243","   3.956"," 76","0"," 61"," 70","   0.988","   4.002","   1.112","  45.000"," 1150"," 1133"
"08:33:39:559","72863215634098","   5.044","   6.665"," 1796"," 1200"," 3600"," 1808","  14.419","  73.249","  20.347","   3.603","  17.870","   4.964"," 69","0"," 61"," 66","   0.994","   5.003","   1.390","  45.000"," 1100"," 1100"
"08:33:40:565","72865532497454","   6.049","   6.501"," 1770"," 1200"," 3600"," 1777","  14.549","  87.879","  24.411","   3.507","  21.397","   5.944"," 73","0"," 61"," 65","   1.004","   6.013","   1.670","  45.000"," 1150"," 1200"
"08:33:41:572","72867853403680","   7.057","   7.415"," 1834"," 1200"," 3600"," 1842","  14.975"," 102.963","  28.601","   3.685","  25.109","   6.975"," 75","0"," 61"," 65","   1.072","   7.093","   1.970","  45.000"," 1150"," 1133"
"08:33:42:573","72870160276912","   8.058","   6.750"," 1830"," 1200"," 3600"," 1843","  14.750"," 117.732","  32.703","   3.624","  28.738","   7.983"," 71","0"," 61"," 66","   1.007","   8.101","   2.250","  45.000"," 1100"," 1100"
"08:33:43:579","72872477988722","   9.064","   5.749"," 1665"," 1200"," 3600"," 1676","  13.062"," 130.872","  36.353","   3.067","  31.823","   8.840"," 72","0"," 61"," 65","   0.962","   9.069","   2.519","  45.000"," 1100"," 1100"
"08:33:44:589","72874805468686","  10.074","   4.998"," 1560"," 1200"," 3000"," 1569","  13.995"," 145.009","  40.280","   2.997","  34.850","   9.681"," 74","0"," 61"," 64","   0.986","  10.065","   2.796","  45.000"," 1150"," 1200"
"08:33:45:591","72877113707684","  11.076","   5.090"," 1692"," 1200"," 3900"," 1728","  14.663"," 159.700","  44.361","   3.469","  38.326","  10.646"," 77","0"," 61"," 72","   0.982","  11.049","   3.069","  45.000"," 1150"," 1200"
"08:33:46:598","72879433566166","  12.083","   5.034"," 1617"," 1200"," 3600"," 1625","  14.188"," 173.985","  48.329","   3.203","  41.551","  11.542"," 76","0"," 61"," 69","   1.000","  12.056","   3.349","  45.000"," 1150"," 1200"
"08:33:47:601","72881743586572","  13.086","   4.996"," 1532"," 1200"," 3100"," 1541","  13.687"," 187.708","  52.141","   2.931","  44.490","  12.358"," 71","0"," 61"," 64","   0.946","  13.004","   3.612","  45.000"," 1150"," 1200"
"08:33:48:602","72884051006606","  14.087","   7.335"," 1856"," 1200"," 3700"," 1868","  15.189"," 202.920","  56.367","   3.753","  48.249","  13.402"," 75","0"," 61"," 66","   1.018","  14.024","   3.895","  45.000"," 1150"," 1200"
"08:33:49:603","72886356119072","  15.088","   6.723"," 1873"," 1200"," 3600"," 1887","  14.350"," 217.277","  60.355","   3.475","  51.726","  14.368"," 72","0"," 61"," 65","   0.982","  15.006","   4.168","  45.000"," 1150"," 1200"
