"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"09:57:28:238","84449069608786","   1.006","   4.769"," 1500"," 1200"," 3100"," 1511","   4.554","   4.580","   1.272","   1.436","   1.444","   0.401"," 62","0"," 57"," 62","   0.992","   0.998","   0.277","  45.000","  550","  533"
"09:57:29:247","84451393936854","   2.015","   5.393"," 1603"," 1200"," 3700"," 1672","   5.271","   9.897","   2.749","   2.012","   3.474","   0.965"," 61","0"," 57"," 69","   0.999","   2.006","   0.557","  45.000","    0","    0"
"09:57:30:254","84453715662734","   3.022","   5.015"," 1455"," 1200"," 3200"," 1467","   4.884","  14.819","   4.117","   1.471","   4.956","   1.377"," 63","0"," 57"," 62","   1.027","   3.041","   0.845","  45.000","  650","  633"
"09:57:31:263","84456038463790","   4.030","   5.058"," 1489"," 1200"," 3600"," 1499","   4.724","  19.582","   5.439","   1.580","   6.549","   1.819"," 61","0"," 57"," 63","   0.979","   4.027","   1.119","  45.000","    0","    0"
"09:57:32:263","84458343270370","   5.031","   4.977"," 1514"," 1200"," 3600"," 1529","   4.605","  24.188","   6.719","   1.597","   8.147","   2.263"," 61","0"," 57"," 65","   0.986","   5.013","   1.393","  45.000","    0","    0"
"09:57:33:263","84460648003802","   6.031","   5.583"," 1619"," 1200"," 2500"," 1632","   7.361","  31.552","   8.764","   2.197","  10.345","   2.874"," 67","0"," 57"," 61","   1.070","   6.083","   1.690","  45.000"," 1000"," 1000"

"Total Elapsed Time (sec) = 6.031182"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 31.551636"
"Cumulative Package Energy_0 (mWh) = 8.764343"
"Average Package Power_0 (Watt) = 5.231418"

"Cumulative IA Energy_0 (Joules) = 10.344666"
"Cumulative IA Energy_0 (mWh) = 2.873518"
"Average Package IA_0 (Watt) = 1.715197"

"Cumulative DRAM Energy_0 (Joules) = 6.083374"
"Cumulative DRAM Energy_0 (mWh) = 1.689826"
"Average Package DRAM_0 (Watt) = 1.008654"
