"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:25:44:407","96651278692112","   1.004","   1.237"," 1577"," 1200"," 2900"," 1588","   1.197","   1.201","   0.334","   0.463","   0.465","   0.129"," 37","0"," 33"," 38","   0.719","   0.722","   0.201","  45.000","    0","    0"
"11:25:45:417","96653605907194","   2.014","   1.696"," 1848"," 1200"," 3700"," 1921","   1.533","   2.750","   0.764","   0.864","   1.337","   0.372"," 37","0"," 33"," 45","   0.678","   1.406","   0.391","  45.000","    0","    0"
"11:25:46:418","96655912741960","   3.015","   1.272"," 1536"," 1200"," 2900"," 1564","   1.218","   3.969","   1.103","   0.477","   1.815","   0.504"," 37","0"," 32"," 37","   0.717","   2.124","   0.590","  45.000","    0","    0"
"11:25:47:419","96658219438956","   4.016","   1.633"," 1934"," 1200"," 3700"," 2060","   1.626","   5.597","   1.555","   0.830","   2.646","   0.735"," 37","0"," 33"," 44","   0.740","   2.865","   0.796","  45.000","    0","    0"
"11:25:48:423","96660530986240","   5.019","   0.974"," 1390"," 1200"," 2500"," 1401","   0.925","   6.524","   1.812","   0.337","   2.983","   0.829"," 37","0"," 33"," 37","   0.663","   3.530","   0.981","  45.000","    0","    0"
"11:25:49:428","96662846439122","   6.024","   1.178"," 1676"," 1200"," 3000"," 1778","   1.144","   7.674","   2.132","   0.533","   3.518","   0.977"," 37","0"," 32"," 38","   0.665","   4.199","   1.166","  45.000","    0","    0"
"11:25:50:430","96665156381142","   7.027","   1.546"," 1511"," 1200"," 2700"," 1533","   1.142","   8.819","   2.450","   0.507","   4.027","   1.119"," 36","0"," 32"," 37","   0.673","   4.874","   1.354","  45.000","    0","    0"
"11:25:51:435","96667471368780","   8.032","   1.338"," 1650"," 1200"," 2900"," 1709","   1.401","  10.226","   2.841","   0.544","   4.574","   1.270"," 36","0"," 32"," 37","   0.765","   5.642","   1.567","  45.000","    0","    0"
"11:25:52:439","96669784945028","   9.036","   1.056"," 1409"," 1200"," 2500"," 1419","   0.987","  11.217","   3.116","   0.364","   4.939","   1.372"," 37","0"," 32"," 37","   0.672","   6.317","   1.755","  45.000","    0","    0"
"11:25:53:442","96672095006458","  10.038","   1.024"," 1395"," 1200"," 2500"," 1401","   0.934","  12.154","   3.376","   0.352","   5.292","   1.470"," 36","0"," 32"," 37","   0.662","   6.981","   1.939","  45.000","    0","    0"
"11:25:54:445","96674405815162","  11.041","   1.258"," 1600"," 1200"," 2500"," 1620","   1.209","  13.367","   3.713","   0.492","   5.785","   1.607"," 36","0"," 32"," 37","   0.715","   7.698","   2.138","  45.000","    0","    0"
"11:25:55:448","96676717332502","  12.045","   1.095"," 1539"," 1200"," 2700"," 1566","   1.012","  14.382","   3.995","   0.419","   6.205","   1.724"," 37","0"," 32"," 37","   0.667","   8.367","   2.324","  45.000","    0","    0"
"11:25:56:452","96679030000416","  13.048","   1.160"," 1562"," 1200"," 2900"," 1602","   1.181","  15.568","   4.324","   0.461","   6.668","   1.852"," 36","0"," 32"," 37","   0.708","   9.077","   2.521","  45.000","    0","    0"
"11:25:57:455","96681341910070","  14.052","   0.994"," 1414"," 1200"," 2500"," 1421","   0.989","  16.561","   4.600","   0.363","   7.032","   1.953"," 36","0"," 32"," 36","   0.671","   9.751","   2.709","  45.000","    0","    0"
"11:25:58:458","96683652613390","  15.055","   1.072"," 1452"," 1200"," 2500"," 1461","   1.089","  17.653","   4.904","   0.390","   7.423","   2.062"," 36","0"," 32"," 36","   0.709","  10.462","   2.906","  45.000","    0","    0"
"11:25:59:462","96685966339050","  16.059","   1.244"," 1731"," 1200"," 3000"," 1839","   1.159","  18.817","   5.227","   0.546","   7.971","   2.214"," 36","0"," 32"," 38","   0.666","  11.130","   3.092","  45.000","    0","    0"
"11:26:00:467","96688280211586","  17.063","   1.682"," 1596"," 1200"," 2700"," 1625","   1.297","  20.120","   5.589","   0.575","   8.548","   2.375"," 36","0"," 32"," 36","   0.733","  11.866","   3.296","  45.000","    0","    0"
"11:26:01:470","96690591348782","  18.066","   1.126"," 1653"," 1200"," 2900"," 1702","   1.187","  21.310","   5.919","   0.470","   9.020","   2.506"," 36","0"," 32"," 37","   0.711","  12.579","   3.494","  45.000","    0","    0"
"11:26:02:475","96692906386812","  19.071","   0.957"," 1466"," 1200"," 2500"," 1477","   0.973","  22.287","   6.191","   0.353","   9.375","   2.604"," 36","0"," 32"," 36","   0.669","  13.251","   3.681","  45.000","    0","    0"
"11:26:03:475","96695211485914","  20.072","   0.975"," 1407"," 1200"," 2500"," 1409","   0.942","  23.230","   6.453","   0.342","   9.717","   2.699"," 36","0"," 32"," 36","   0.663","  13.914","   3.865","  45.000","    0","    0"
"11:26:04:480","96697526226828","  21.076","   0.992"," 1491"," 1200"," 2500"," 1503","   0.978","  24.212","   6.726","   0.380","  10.098","   2.805"," 36","0"," 32"," 36","   0.663","  14.580","   4.050","  45.000","    0","    0"
