"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:50:55:345","236648818861412","   1.006","  12.365"," 3468"," 1200"," 4500"," 3799","  23.541","  23.689","   6.580","  21.807","  21.944","   6.095"," 74","0"," 61"," 89","   0.958","   0.964","   0.268","  45.000","    0","    0"
"00:50:56:355","236651145756480","   2.016","  10.504"," 3572"," 1200"," 4400"," 3722","  20.540","  44.433","  12.343","  19.192","  41.326","  11.479"," 76","0"," 62"," 80","   0.658","   1.628","   0.452","  45.000","    0","    0"
"00:50:57:359","236653458340748","   3.020","  10.697"," 3861"," 1200"," 4500"," 4027","  26.992","  71.526","  19.868","  25.609","  67.030","  18.619"," 93","0"," 62"," 94","   0.709","   2.339","   0.650","  45.000","    0","    0"
"00:50:58:359","236655763338660","   4.020","   8.683"," 4308"," 3500"," 4500"," 4800","  40.704"," 112.248","  31.180","  38.927"," 105.974","  29.437"," 96","0"," 65"," 98","   0.865","   3.205","   0.890","  45.000","    0","    0"
"00:50:59:365","236658080146930","   5.026","   4.065"," 3919"," 1200"," 4600"," 4264","  18.553"," 130.904","  36.362","  16.011"," 122.074","  33.909"," 67","0"," 62"," 97","   0.844","   4.053","   1.126","  45.000","    0","    0"
"00:51:00:371","236660397918782","   6.032","   3.373"," 2092"," 1200"," 4500"," 2163","   3.830"," 134.757","  37.432","   2.351"," 124.439","  34.566"," 63","0"," 61"," 71","   0.883","   4.942","   1.373","  45.000","    0","    0"
"00:51:01:378","236662719620130","   7.040","   1.512"," 1578"," 1200"," 2500"," 1601","   1.792"," 136.562","  37.934","   0.617"," 125.061","  34.739"," 63","0"," 60"," 64","   0.859","   5.807","   1.613","  45.000","  350","  333"

"Total Elapsed Time (sec) = 7.039655"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 136.562195"
"Cumulative Package Energy_0 (mWh) = 37.933943"
"Average Package Power_0 (Watt) = 19.398988"

"Cumulative IA Energy_0 (Joules) = 125.061340"
"Cumulative IA Energy_0 (mWh) = 34.739261"
"Average Package IA_0 (Watt) = 17.765264"

"Cumulative DRAM Energy_0 (Joules) = 5.807312"
"Cumulative DRAM Energy_0 (mWh) = 1.613142"
"Average Package DRAM_0 (Watt) = 0.824943"
