"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:56:08:503","237370330168544","   1.005","   8.818"," 1729"," 1200"," 4300"," 1765","   4.633","   4.654","   1.293","   3.248","   3.262","   0.906"," 56","0"," 51"," 68","   0.693","   0.697","   0.193","  45.000","    0","    0"
"00:56:09:511","237372652310080","   2.012","  11.025"," 2574"," 1200"," 4400"," 2695","  10.621","  15.359","   4.266","   9.188","  12.523","   3.479"," 56","0"," 51"," 72","   0.779","   1.482","   0.412","  45.000","    0","    0"
"00:56:10:514","237374961843868","   3.015","  10.370"," 2043"," 1200"," 4400"," 2140","   6.094","  21.467","   5.963","   4.841","  17.375","   4.826"," 55","0"," 51"," 65","   0.644","   2.128","   0.591","  45.000","    0","    0"
"00:56:11:520","237377279591592","   4.021","   9.446"," 2024"," 1200"," 4400"," 2076","   5.859","  27.361","   7.600","   4.298","  21.698","   6.027"," 54","0"," 51"," 68","   0.833","   2.966","   0.824","  45.000","    0","    0"
"00:56:12:526","237379598969804","   5.027","   7.947"," 1512"," 1200"," 3600"," 1526","   3.502","  30.886","   8.580","   2.142","  23.855","   6.626"," 54","0"," 51"," 56","   0.690","   3.660","   1.017","  45.000","    0","    0"
"00:56:13:530","237381912590074","   6.032","   7.185"," 2789"," 1200"," 4500"," 3063","   9.570","  40.496","  11.249","   8.069","  31.957","   8.877"," 59","0"," 51"," 61","   0.778","   4.441","   1.234","  45.000","    0","    0"
"00:56:14:533","237384222803916","   7.034","   5.025"," 3694"," 1600"," 4600"," 4021","  11.033","  51.559","  14.322","   9.630","  41.613","  11.559"," 58","0"," 52"," 63","   0.634","   5.077","   1.410","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.034358"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 51.559021"
"Cumulative Package Energy_0 (mWh) = 14.321950"
"Average Package Power_0 (Watt) = 7.329598"

"Cumulative IA Energy_0 (Joules) = 41.613220"
"Cumulative IA Energy_0 (mWh) = 11.559228"
"Average Package IA_0 (Watt) = 5.915710"

"Cumulative DRAM Energy_0 (Joules) = 5.077148"
"Cumulative DRAM Energy_0 (mWh) = 1.410319"
"Average Package DRAM_0 (Watt) = 0.721764"
