"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:00:39:564","262877629944316","   1.006","   5.863"," 1549"," 1200"," 3500"," 1561","   4.439","   4.464","   1.240","   1.725","   1.734","   0.482"," 64","0"," 60"," 66","   0.995","   1.000","   0.278","  45.000","  600","  600"
"04:00:40:584","262879977985192","   2.025","   7.678"," 1741"," 1200"," 4400"," 1853","   5.078","   9.640","   2.678","   3.386","   5.185","   1.440"," 70","0"," 60"," 72","   0.882","   1.899","   0.528","  45.000","    0","    0"
"04:00:41:584","262882283593024","   3.026","   5.643"," 1839"," 1200"," 4400"," 1997","   5.575","  15.218","   4.227","   2.769","   7.956","   2.210"," 62","0"," 60"," 71","   0.977","   2.877","   0.799","  45.000","    0","    0"
"04:00:42:589","262884597728232","   4.030","   6.347"," 1455"," 1200"," 2900"," 1468","   3.981","  19.217","   5.338","   1.548","   9.511","   2.642"," 62","0"," 60"," 63","   0.950","   3.832","   1.064","  45.000","    0","    0"
"04:00:43:590","262886904104224","   5.031","   8.576"," 1562"," 1200"," 4400"," 1618","   4.994","  24.216","   6.727","   2.885","  12.399","   3.444"," 62","0"," 60"," 78","   1.005","   4.838","   1.344","  45.000","    0","    0"
"04:00:44:592","262889212741132","   6.033","   6.318"," 1474"," 1200"," 3600"," 1486","   3.424","  27.646","   7.680","   1.847","  14.249","   3.958"," 63","0"," 60"," 65","   0.820","   5.660","   1.572","  45.000","  400","  400"
"04:00:45:602","262891539827228","   7.043","   5.825"," 1427"," 1200"," 2500"," 1437","   4.237","  31.926","   8.868","   1.436","  15.699","   4.361"," 63","0"," 60"," 63","   0.950","   6.619","   1.839","  45.000","  450","  433"

"Total Elapsed Time (sec) = 7.043036"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 31.925964"
"Cumulative Package Energy_0 (mWh) = 8.868323"
"Average Package Power_0 (Watt) = 4.532983"

"Cumulative IA Energy_0 (Joules) = 15.699341"
"Cumulative IA Energy_0 (mWh) = 4.360928"
"Average Package IA_0 (Watt) = 2.229059"

"Cumulative DRAM Energy_0 (Joules) = 6.618835"
"Cumulative DRAM Energy_0 (mWh) = 1.838565"
"Average Package DRAM_0 (Watt) = 0.939770"
