"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:20:30:126","249032109995706","   1.002","   9.359"," 1594"," 1200"," 3600"," 1614","   5.803","   5.813","   1.615","   3.074","   3.079","   0.855"," 67","0"," 64"," 71","   1.010","   1.012","   0.281","  45.000","    0","    0"
"02:20:31:134","249034431614026","   2.009","   8.599"," 1766"," 1200"," 3600"," 1881","   7.002","  12.868","   3.575","   3.850","   6.958","   1.933"," 73","0"," 64"," 77","   1.030","   2.049","   0.569","  45.000","  750","  733"
"02:20:32:140","249036749563428","   3.015","   7.115"," 1511"," 1200"," 3600"," 1569","   5.799","  18.702","   5.195","   2.366","   9.339","   2.594"," 66","0"," 64"," 74","   0.966","   3.022","   0.839","  45.000","    0","    0"
"02:20:33:147","249039069673482","   4.022","   8.667"," 1601"," 1200"," 3600"," 1624","   5.493","  24.234","   6.732","   2.775","  12.133","   3.370"," 66","0"," 64"," 71","   0.975","   4.004","   1.112","  45.000","    0","    0"
"02:20:34:147","249041374597166","   5.023","   9.500"," 1429"," 1200"," 3600"," 1438","   4.609","  28.844","   8.012","   2.348","  14.482","   4.023"," 66","0"," 63"," 67","   0.972","   4.976","   1.382","  45.000","    0","    0"
"02:20:35:152","249043690585728","   6.028","   6.765"," 1629"," 1200"," 3600"," 1640","   4.994","  33.865","   9.407","   2.473","  16.968","   4.713"," 65","0"," 63"," 70","   0.945","   5.926","   1.646","  45.000","    0","    0"
"02:20:36:156","249046002280302","   7.031","   6.443"," 1604"," 1200"," 3600"," 1634","   6.088","  39.974","  11.104","   2.352","  19.328","   5.369"," 66","0"," 63"," 67","   1.000","   6.930","   1.925","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.031465"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 39.973572"
"Cumulative Package Energy_0 (mWh) = 11.103770"
"Average Package Power_0 (Watt) = 5.684957"

"Cumulative IA Energy_0 (Joules) = 19.327698"
"Cumulative IA Energy_0 (mWh) = 5.368805"
"Average Package IA_0 (Watt) = 2.748744"

"Cumulative DRAM Energy_0 (Joules) = 6.929810"
"Cumulative DRAM Energy_0 (mWh) = 1.924947"
"Average Package DRAM_0 (Watt) = 0.985543"
