"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:36:21:688","251224378595204","   1.006","   5.631"," 1635"," 1200"," 3100"," 1654","   3.676","   3.697","   1.027","   1.657","   1.667","   0.463"," 60","0"," 57"," 62","   0.955","   0.960","   0.267","  45.000","    0","    0"
"02:36:22:699","251226706871388","   2.016","   5.950"," 1609"," 1200"," 3600"," 1677","   4.336","   8.079","   2.244","   1.926","   3.613","   1.004"," 60","0"," 57"," 69","   0.961","   1.932","   0.537","  45.000","  450","  433"
"02:36:23:708","251229032968942","   3.026","   6.290"," 1438"," 1200"," 2900"," 1449","   3.807","  11.922","   3.312","   1.425","   5.052","   1.403"," 60","0"," 57"," 61","   0.960","   2.901","   0.806","  45.000","    0","    0"
"02:36:24:716","251231355055334","   4.034","   5.064"," 1638"," 1200"," 2700"," 1652","   3.954","  15.907","   4.419","   1.906","   6.973","   1.937"," 60","0"," 57"," 62","   0.889","   3.797","   1.055","  45.000","  400","  400"
"02:36:25:722","251233673510478","   5.040","   5.103"," 1469"," 1200"," 2500"," 1481","   3.435","  19.364","   5.379","   1.311","   8.292","   2.303"," 60","0"," 57"," 61","   0.944","   4.747","   1.319","  45.000","  350","  333"
"02:36:26:732","251236000260718","   6.050","   6.095"," 1384"," 1200"," 2900"," 1390","   3.671","  23.072","   6.409","   1.279","   9.583","   2.662"," 60","0"," 57"," 60","   0.913","   5.669","   1.575","  45.000","    0","    0"
"02:36:27:740","251238321461804","   7.057","   5.210"," 1479"," 1200"," 3000"," 1499","   3.597","  26.695","   7.415","   1.316","  10.909","   3.030"," 59","0"," 57"," 61","   0.921","   6.597","   1.832","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.057373"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 26.695374"
"Cumulative Package Energy_0 (mWh) = 7.415382"
"Average Package Power_0 (Watt) = 3.782622"

"Cumulative IA Energy_0 (Joules) = 10.909485"
"Cumulative IA Energy_0 (mWh) = 3.030412"
"Average Package IA_0 (Watt) = 1.545828"

"Cumulative DRAM Energy_0 (Joules) = 6.596680"
"Cumulative DRAM Energy_0 (mWh) = 1.832411"
"Average Package DRAM_0 (Watt) = 0.934722"
