"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:44:49:218","260688052382472","   1.007","   1.940"," 1883"," 1200"," 3100"," 1931","   1.830","   1.843","   0.512","   0.945","   0.952","   0.264"," 52","0"," 49"," 53","   0.739","   0.744","   0.207","  45.000","    0","    0"
"03:44:50:227","260690377991802","   2.017","   2.261"," 1833"," 1200"," 3700"," 2058","   1.863","   3.724","   1.034","   1.074","   2.036","   0.566"," 52","0"," 49"," 61","   0.690","   1.440","   0.400","  45.000","    0","    0"
"03:44:51:234","260692696776140","   3.023","   1.357"," 1594"," 1200"," 2700"," 1607","   1.360","   5.092","   1.415","   0.544","   2.584","   0.718"," 51","0"," 48"," 52","   0.728","   2.173","   0.604","  45.000","    0","    0"
"03:44:52:242","260695020763584","   4.032","   1.306"," 1637"," 1200"," 2500"," 1669","   1.211","   6.314","   1.754","   0.514","   3.103","   0.862"," 52","0"," 48"," 53","   0.674","   2.853","   0.792","  45.000","    0","    0"
"03:44:53:243","260697325786606","   5.033","   2.140"," 2454"," 1200"," 3700"," 2955","   2.493","   8.808","   2.447","   1.741","   4.844","   1.346"," 51","0"," 48"," 59","   0.697","   3.550","   0.986","  45.000","    0","    0"
"03:44:54:245","260699633571832","   6.034","   3.106"," 1960"," 1200"," 4400"," 2044","   2.802","  11.614","   3.226","   1.902","   6.749","   1.875"," 52","0"," 48"," 58","   0.679","   4.230","   1.175","  45.000","    0","    0"
"03:44:55:245","260701938429650","   7.035","   5.695"," 3305"," 1200"," 3700"," 3388","   8.956","  20.573","   5.715","   7.640","  14.392","   3.998"," 56","0"," 49"," 64","   0.762","   4.992","   1.387","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.034590"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 20.573059"
"Cumulative Package Energy_0 (mWh) = 5.714739"
"Average Package Power_0 (Watt) = 2.924557"

"Cumulative IA Energy_0 (Joules) = 14.392273"
"Cumulative IA Energy_0 (mWh) = 3.997854"
"Average Package IA_0 (Watt) = 2.045929"

"Cumulative DRAM Energy_0 (Joules) = 4.991882"
"Cumulative DRAM Energy_0 (mWh) = 1.386634"
"Average Package DRAM_0 (Watt) = 0.709620"
