"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:22:01:420","207770982232498","   1.004","   6.049"," 1577"," 1200"," 3600"," 1593","   4.535","   4.553","   1.265","   1.595","   1.601","   0.445"," 46","0"," 43"," 47","   1.008","   1.012","   0.281","  45.000","    0","    0"
"21:22:02:433","207773316529346","   2.017","  11.132"," 2094"," 1200"," 4300"," 2235","   8.588","  13.253","   3.681","   5.789","   7.466","   2.074"," 48","0"," 43"," 61","   1.043","   2.069","   0.575","  45.000","    0","    0"
"21:22:03:442","207775642683110","   3.027","   8.668"," 1470"," 1200"," 3600"," 1484","   4.343","  17.638","   4.900","   1.957","   9.442","   2.623"," 46","0"," 43"," 49","   0.959","   3.037","   0.844","  45.000","    0","    0"
"21:22:04:443","207777948313980","   4.027","   7.313"," 1467"," 1200"," 3600"," 1480","   4.121","  21.763","   6.045","   1.701","  11.144","   3.096"," 46","0"," 43"," 48","   0.949","   3.987","   1.107","  45.000","    0","    0"
"21:22:05:444","207780253286038","   5.028","  12.556"," 2106"," 1200"," 4400"," 2186","   9.208","  30.975","   8.604","   6.731","  17.878","   4.966"," 48","0"," 43"," 66","   1.030","   5.017","   1.394","  45.000","  550","  533"
"21:22:06:447","207782564173776","   6.031","  10.720"," 1622"," 1200"," 3600"," 1636","   9.567","  40.570","  11.269","   3.431","  21.319","   5.922"," 53","0"," 44"," 49","   1.098","   6.119","   1.700","  45.000"," 1000"," 1000"
"21:22:07:448","207784870725764","   7.032","  11.245"," 1606"," 1200"," 3600"," 1616","  13.718","  54.303","  15.084","   4.281","  25.605","   7.112"," 58","0"," 44"," 51","   1.162","   7.282","   2.023","  45.000"," 1150"," 1133"

"Total Elapsed Time (sec) = 7.031786"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 54.303467"
"Cumulative Package Energy_0 (mWh) = 15.084296"
"Average Package Power_0 (Watt) = 7.722571"

"Cumulative IA Energy_0 (Joules) = 25.604736"
"Cumulative IA Energy_0 (mWh) = 7.112427"
"Average Package IA_0 (Watt) = 3.641285"

"Cumulative DRAM Energy_0 (Joules) = 7.282166"
"Cumulative DRAM Energy_0 (mWh) = 2.022824"
"Average Package DRAM_0 (Watt) = 1.035607"
