"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:27:14:610","208492578182678","   1.008","   5.294"," 1642"," 1200"," 3600"," 1653","  14.820","  14.942","   4.151","   3.199","   3.226","   0.896"," 72","0"," 59"," 63","   1.033","   1.041","   0.289","  45.000","    0","    0"
"21:27:15:620","208494905203600","   2.018","   6.268"," 2089"," 1200"," 3700"," 2329","  16.560","  31.668","   8.797","   4.932","   8.207","   2.280"," 74","0"," 60"," 72","   1.031","   2.083","   0.579","  45.000"," 1150"," 1200"
"21:27:16:620","208497210245916","   3.019","   5.150"," 1546"," 1200"," 3600"," 1554","  14.172","  45.846","  12.735","   2.938","  11.146","   3.096"," 68","0"," 59"," 63","   0.978","   3.061","   0.850","  45.000","    0","    0"
"21:27:17:629","208499533919432","   4.027","   4.935"," 1634"," 1200"," 3100"," 1644","  14.277","  60.245","  16.735","   2.990","  14.162","   3.934"," 73","0"," 59"," 63","   0.972","   4.042","   1.123","  45.000"," 1150"," 1200"
"21:27:18:634","208501849925042","   5.032","   5.246"," 1623"," 1200"," 3200"," 1633","  14.691","  75.012","  20.837","   3.128","  17.306","   4.807"," 74","0"," 59"," 63","   0.990","   5.037","   1.399","  45.000","    0","    0"
"21:27:19:644","208504177872818","   6.043","   5.057"," 1565"," 1200"," 3600"," 1576","  14.248","  89.408","  24.836","   2.954","  20.291","   5.636"," 73","0"," 59"," 63","   0.973","   6.020","   1.672","  45.000"," 1150"," 1200"
"21:27:20:652","208506499736102","   7.051","   5.262"," 1650"," 1200"," 3100"," 1667","  14.565"," 104.086","  28.913","   3.139","  23.454","   6.515"," 70","0"," 59"," 63","   0.990","   7.017","   1.949","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.050510"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 104.085999"
"Cumulative Package Energy_0 (mWh) = 28.912777"
"Average Package Power_0 (Watt) = 14.762903"

"Cumulative IA Energy_0 (Joules) = 23.453979"
"Cumulative IA Energy_0 (mWh) = 6.514994"
"Average Package IA_0 (Watt) = 3.326565"

"Cumulative DRAM Energy_0 (Joules) = 7.017395"
"Cumulative DRAM Energy_0 (mWh) = 1.949276"
"Average Package DRAM_0 (Watt) = 0.995303"
