"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:37:40:712","209935130470536","   1.009","  14.427"," 2431"," 1200"," 3600"," 2836","  21.723","  21.912","   6.087","   9.952","  10.038","   2.788"," 75","0"," 65"," 78","   1.202","   1.213","   0.337","  45.000"," 1100"," 1100"
"21:37:41:717","209937444886944","   2.013","  11.829"," 1680"," 1200"," 3700"," 1694","  10.690","  32.650","   9.069","   4.184","  14.242","   3.956"," 66","0"," 64"," 72","   0.797","   2.014","   0.559","  45.000","    0","    0"
"21:37:42:719","209939754182770","   3.015","   9.710"," 2160"," 1200"," 4300"," 2436","   6.568","  39.233","  10.898","   5.335","  19.589","   5.441"," 66","0"," 64"," 81","   0.684","   2.699","   0.750","  45.000","    0","    0"
"21:37:43:728","209942079704896","   4.025","   4.700"," 2194"," 1200"," 3700"," 2369","   4.696","  43.973","  12.215","   3.003","  22.620","   6.283"," 66","0"," 63"," 76","   0.973","   3.681","   1.023","  45.000","    0","    0"
"21:37:44:734","209944397194890","   5.031","   1.548"," 1784"," 1200"," 3600"," 1816","   1.658","  45.641","  12.678","   0.806","  23.430","   6.508"," 66","0"," 63"," 68","   0.700","   4.385","   1.218","  45.000","    0","    0"
"21:37:45:741","209946716946650","   6.038","   4.796"," 2944"," 1200"," 4300"," 3258","   8.477","  54.176","  15.049","   7.349","  30.829","   8.564"," 72","0"," 63"," 90","   0.737","   5.127","   1.424","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.037504"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 54.175598"
"Cumulative Package Energy_0 (mWh) = 15.048777"
"Average Package Power_0 (Watt) = 8.973178"

"Cumulative IA Energy_0 (Joules) = 30.829163"
"Cumulative IA Energy_0 (mWh) = 8.563656"
"Average Package IA_0 (Watt) = 5.106276"

"Cumulative DRAM Energy_0 (Joules) = 5.126892"
"Cumulative DRAM Energy_0 (mWh) = 1.424137"
"Average Package DRAM_0 (Watt) = 0.849174"
