"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:29:32:379","233692880115136","   1.003","   9.072"," 1825"," 1200"," 3700"," 1846","   4.539","   4.554","   1.265","   3.202","   3.213","   0.892"," 59","0"," 57"," 65","   0.667","   0.669","   0.186","  45.000","    0","    0"
"00:29:33:394","233695218284544","   2.018","   8.465"," 1642"," 1200"," 3900"," 1668","   4.099","   8.713","   2.420","   2.864","   6.119","   1.700"," 59","0"," 57"," 69","   0.595","   1.274","   0.354","  45.000","    0","    0"
"00:29:34:402","233697541515868","   3.027","   7.182"," 2496"," 1200"," 4600"," 2579","   8.429","  17.213","   4.781","   7.113","  13.292","   3.692"," 62","0"," 56"," 69","   0.595","   1.873","   0.520","  45.000","    0","    0"
"00:29:35:412","233699868014444","   4.036","   5.343"," 3724"," 1200"," 4600"," 4111","  12.304","  29.637","   8.233","  10.679","  24.075","   6.688"," 63","0"," 57"," 71","   0.773","   2.654","   0.737","  45.000","    0","    0"
"00:29:36:413","233702173997368","   5.037","   7.422"," 3841"," 1200"," 4500"," 4284","  17.026","  46.678","  12.966","  15.601","  39.690","  11.025"," 68","0"," 58"," 78","   0.713","   3.367","   0.935","  45.000","    0","    0"
"00:29:37:423","233704500563354","   6.047","  35.302"," 3203"," 1200"," 4400"," 3610","  30.831","  77.811","  21.614","  29.035","  69.009","  19.169"," 72","0"," 60"," 80","   1.179","   4.557","   1.266","  45.000","    0","    0"
"00:29:38:423","233706805279218","   7.047","  22.776"," 2947"," 1200"," 4300"," 3461","  17.709","  95.525","  26.535","  16.344","  85.358","  23.711"," 60","0"," 59"," 78","   0.741","   5.298","   1.472","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.047329"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 95.525452"
"Cumulative Package Energy_0 (mWh) = 26.534848"
"Average Package Power_0 (Watt) = 13.554845"

"Cumulative IA Energy_0 (Joules) = 85.358032"
"Cumulative IA Energy_0 (mWh) = 23.710565"
"Average Package IA_0 (Watt) = 12.112111"

"Cumulative DRAM Energy_0 (Joules) = 5.298157"
"Cumulative DRAM Energy_0 (mWh) = 1.471710"
"Average Package DRAM_0 (Watt) = 0.751796"
