"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:45:12:366","235858601357292","   1.001","  12.082"," 1780"," 1200"," 4500"," 1837","   7.804","   7.812","   2.170","   5.907","   5.913","   1.643"," 64","0"," 62"," 86","   0.953","   0.953","   0.265","  45.000","    0","    0"
"00:45:13:381","235860941038012","   2.017","  11.503"," 1678"," 1200"," 3600"," 1790","   5.283","  13.177","   3.660","   3.764","   9.736","   2.704"," 68","0"," 62"," 71","   0.982","   1.951","   0.542","  45.000","    0","    0"
"00:45:14:383","235863248766138","   3.018","  10.422"," 2343"," 1200"," 4400"," 2690","   9.439","  22.631","   6.286","   7.819","  17.568","   4.880"," 65","0"," 62"," 79","   1.066","   3.019","   0.839","  45.000","    0","    0"
"00:45:15:383","235865553655186","   4.019","   5.872"," 1530"," 1200"," 3300"," 1544","   3.622","  26.254","   7.293","   1.823","  19.392","   5.387"," 64","0"," 61"," 67","   0.895","   3.914","   1.087","  45.000","  450","  433"
"00:45:16:391","235867876456554","   5.027","   4.788"," 1470"," 1200"," 3600"," 1485","   3.418","  29.700","   8.250","   1.411","  20.815","   5.782"," 63","0"," 61"," 65","   0.898","   4.820","   1.339","  45.000","    0","    0"
"00:45:17:399","235870197225696","   6.034","   5.295"," 1437"," 1200"," 3600"," 1447","   2.868","  32.589","   9.052","   1.464","  22.289","   6.192"," 63","0"," 61"," 65","   0.850","   5.676","   1.577","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.033991"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 32.588562"
"Cumulative Package Energy_0 (mWh) = 9.052378"
"Average Package Power_0 (Watt) = 5.400831"

"Cumulative IA Energy_0 (Joules) = 22.289429"
"Cumulative IA Energy_0 (mWh) = 6.191508"
"Average Package IA_0 (Watt) = 3.693978"

"Cumulative DRAM Energy_0 (Joules) = 5.676025"
"Cumulative DRAM Energy_0 (mWh) = 1.576674"
"Average Package DRAM_0 (Watt) = 0.940675"
